2012 rank,City,State,2012 estimate,2010 Census,Change,2010 land area,2010 population density,Location
30,Milwaukee,Wisconsin,"5,98,916","5,94,833",0.69%,96.122 sq mi,"6,188 per sq mi",43.0633°N 87.9667°W
,,,,,,248.955 km2,"2,389 km-2",
31,Las Vagas,Nevada,"5,96,424","5,83,756",2.17%,135.815 sq mi,"4,298 per sq mi",36.2277°N 115.2640°W
,,,,,,351.759 km2,"1,660 km-2",
32,Albuquerque,New Mexico,"5,55,417","5,45,852",1.75%,187.730 sq mi,"2,908 per sq mi",35.1056°N 106.6474°W
,,,,,,486.218 km2,"1,123 km-2",
33,Tucson,Arizona,"5,24,295","5,20,116",0.80%,226.709 sq mi,"2,294 per sq mi",32.1543°N 110.8711°W
,,,,,,587.173 km2,886 km-2,
34,Fresno,California,"5,05,882","4,94,665",2.27%,111.957 sq mi,"4,418 per sq mi",36.7827°N 119.7945°W
,,,,,,289.967 km2,"1,706 km-2",
35,Sacramento,California,"4,75,516","4,66,488",1.94%,97.915 sq mi,"4,764 per sq mi",38.5666°N 121.4686°W
,,,,,,253.600 km2,"1,839 km-2",
36,Long Beach,California,"4,67,892","4,62,257",1.22%,50.293 sq mi,"9,191 per sq mi",33.8091°N 118.1553°W
,,,,,,130.259 km2,"3,549 km-2",
37,Kansas City,Missouri,"4,64,310","4,59,787",0.98%,314.950 sq mi,"1,460 per sq mi",39.1252°N 94.5511°W
,,,,,,815.717 km2,564 km-2,
38,Mesa,Arizona,"4,52,084","4,39,041",2.97%,136.452 sq mi,"3,218 per sq mi",33.4019°N 111.7174°W
,,,,,,353.410 km2,"1,242 km-2",
39,Virginia Beach,Virginia,"4,47,021","4,37,994",2.06%,249.016 sq mi,"1,759 per sq mi",36.7793°N 76.0240°W
,,,,,,644.949 km2,679 km-2,
40,Atlanta,Georgia,"4,43,775","4,20,003",5.66%,133.152 sq mi,"3,154 per sq mi",33.7629°N 84.4227°W
,,,,,,344.861 km2,"1,218 km-2",
41,Colorado Springs,Colorado,"4,31,834","4,16,427",3.70%,194.540 sq mi,"2,141 per sq mi",38.8673°N 104.7607°W
,,,,,,503.858 km2,826 km-2,
42,Raleigh,North Carolina,"4,23,179","4,03,892",4.78%,142.903 sq mi,"2,826 per sq mi",35.8302°N 78.6414°W
,,,,,,370.117 km2,"1,091 km-2",
43,Omaha,Nebraska,"4,21,570","4,08,958",3.08%,127.088 sq mi,"3,218 per sq mi",41.2647°N 96.0419°W
,,,,,,329.157 km2,"1,242 km-2",
44,Miami,Florida,"4,13,892","3,99,457",3.61%,35.871 sq mi,"11,136 per sq mi",25.7752°N 80.2086°W
,,,,,,92.906 km2,"4,300 km-2",
45,Oakland,California,"4,00,740","3,90,724",2.56%,55.786 sq mi,"7,004 per sq mi",37.7699°N 122.2256°W
,,,,,,144.485 km2,"2,704 km-2",
46,Tulsa,Oklahoma,"3,93,987","3,91,906",0.53%,196.754 sq mi,"1,992 per sq mi",36.1279°N 95.9023°W
,,,,,,509.590 km2,769 km-2,
47,Omaha,Minnesota,"3,92,880","3,82,578",2.69%,53.973 sq mi,"7,088 per sq mi",44.9633°N 93.2683°W
,,,,,,139.789 km2,"2,737 km-2",
48,Cleveland,Ohio,"3,90,928","3,96,815",?1.48%,77.697 sq mi,"5,107 per sq mi",41.4781°N 81.6795°W
,,,,,,201.234 km2,"1,972 km-2",
49,Omaha,Kansas,"3,85,577","3,82,368",0.84%,159.295 sq mi,"2,400 per sq mi",37.6907°N 97.3427°W
,,,,,,412.571 km2,927 km-2,
50,Arlington,Texas,"3,75,600","3,65,438",2.78%,95.882 sq mi,"3,811 per sq mi",32.7007°N 97.1247°W
,,,,,,248.332 km2,"1,472 km-2",
51,Omaha,Louisiana,"3,69,250","3,43,829",7.39%,169.423 sq mi,"2,029 per sq mi",30.0686°N 89.9390°W
,,,,,,438.803 km2,784 km-2,
52,Bakersfield,California,"3,58,597","3,47,483",3.20%,142.164 sq mi,"2,444 per sq mi",35.3212°N 119.0183°W
,,,,,,368.204 km2,944 km-2,
53,Tampa,Florida,"3,47,645","3,35,709",3.56%,113.409 sq mi,"2,960 per sq mi",27.9701°N 82.4797°W
,,,,,,293.728 km2,"1,143 km-2",
54,Honolulu,Hawai'i,"3,45,610","3,37,256",2.48%,60.521 sq mi,"5,573 per sq mi",21.3259°N 157.8453°W
,,,,,,156.748 km2,"2,152 km-2",
55,Anaheim,California,"3,43,248","3,36,265",2.08%,49.835 sq mi,"6,748 per sq mi",33.8555°N 117.7601°W
,,,,,,129.073 km2,"2,605 km-2",
56,Aurora,Colorado,"3,39,030","3,25,078",4.29%,154.100 sq mi,"2,110 per sq mi",32.7007°N 97.1247°W
,,,,,,369.100 km2,881 km-2,
57,Santa Ana,California,"3,30,920","3,24,528",1.97%,27.270 sq mi,"11,901 per sq mi",33.7365°N 117.8826°W
,,,,,,70.628 km2,"4,595 km-2",
58,St. Louis,Missouri,"3,18,172","3,19,294",?0.35%,61.909 sq mi,"5,157 per sq mi",38.6357°N 90.2446°W
,,,,,,160.343 km2,"1,991 km-2",
59,Riverside,California,"3,13,673","3,03,871",3.23%,81.140 sq mi,"3,745 per sq mi",33.9381°N 117.3932°W
,,,,,,210.152 km2,"1,446 km-2",
60,Corpus Christi,Texas,"3,12,195","3,05,215",2.29%,160.612 sq mi,"1,900 per sq mi",27.7543°N 97.1734°W
,,,,,,415.982 km2,734 km-2,
61,Pittsburgh,Pennsylvania,"3,06,211","3,05,704",0.17%,55.367 sq mi,"5,521 per sq mi",40.4398°N 79.9766°W
,,,,,,143.400 km2,"2,132 km-2",
62,Lexington,Kentucky,"3,10,573","2,95,803",4.99%,283.649 sq mi,"1,043 per sq mi",38.0402°N 84.4584°W
,,,,,,734.649 km2,403 km-2,
63,Anchorage,Alaska,"2,98,610","2,91,826",2.32%,"1,704.683 sq mi",171 per sq mi,61.1775°N 149.2744°W
,,,,,,"4,415.109 km2",66 km-2,
64,Stockton,California,"2,97,984","2,91,707",2.15%,61.670 sq mi,"4,730 per sq mi",37.9763°N 121.3133°W
,,,,,,159.723 km2,"1,826 km-2",
65,Cincinnati,Ohio,"2,96,550","2,96,943",?0.13%,77.942 sq mi,"3,810 per sq mi",39.1399°N 84.5064°W
,,,,,,201.870 km2,"1,471 km-2",
66,Saint Paul,Minnesota,"2,90,770","2,85,068",2.00%,51.979 sq mi,"5,484 per sq mi",44.9489°N 93.1039°W
,,,,,,134.624 km2,"2,118 km-2",
67,Toledo,Ohio,"2,84,012","2,87,208",?1.11%,80.692 sq mi,"3,559 per sq mi",41.6641°N 83.5819°W
,,,,,,208.991 km2,"1,374 km-2",
68,Newark,New Jersey,"2,77,727","2,77,140",0.21%,24.187 sq mi,"11,458 per sq mi",40.7242°N 74.1726°W
,,,,,,62.644 km2,"4,424 km-2",
69,Greensboro,North Carolina,"2,77,080","2,69,666",2.75%,126.515 sq mi,"2,131 per sq mi",36.0965°N 79.8271°W
,,,,,,327.673 km2,823 km-2,
70,Plano,Texas,"2,72,068","2,59,841",4.71%,71.581 sq mi,"3,630 per sq mi",33.0508°N 96.7479°W
,,,,,,185.395 km2,"1,402 km-2",
71,Henderson,Nevada,"2,65,679","2,57,729",3.08%,107.732 sq mi,"2,392 per sq mi",36.0122°N 115.0375°W
,,,,,,279.024 km2,924 km-2,
72,Lincoln,Nebraska,"2,65,404","2,58,379",2.72%,89.114 sq mi,"2,899 per sq mi",40.8090°N 96.6804°W
,,,,,,230.804 km2,"1,119 km-2",
73,Buffalo,New York,"2,59,384","2,61,310",?0.74%,40.384 sq mi,"6,471 per sq mi",42.8925°N 78.8597°W
,,,,,,104.594 km2,"2,498 km-2",
74,Fort Wayne,Indiana,"2,54,555","2,53,691",0.34%,110.618 sq mi,"2,293 per sq mi",41.0882°N 85.1439°W
,,,,,,286.500 km2,885 km-2,
75,Jersey City,New Jersey,"2,54,441","2,47,597",2.76%,14.794 sq mi,"16,737 per sq mi",40.7114°N 74.0648°W
,,,,,,38.316 km2,"6,462 km-2",
76,Chula Vista,California,"2,52,422","2,43,916",3.49%,49.631 sq mi,"4,915 per sq mi",32.6277°N 117.0152°W
,,,,,,128.545 km2,"1,898 km-2",
77,Orlando,Florida,"2,49,562","2,38,300",4.73%,102.395 sq mi,"2,327 per sq mi",28.4159°N 81.2988°W
,,,,,,265.203 km2,899 km-2,
78,St. Petersburg,Florida,"2,46,541","2,44,769",0.72%,61.742 sq mi,"3,964 per sq mi",27.7620°N 82.6441°W
,,,,,,159.910 km2,"1,531 km-2",
79,Norfolk,Virginia,"2,45,782","2,42,803",1.23%,54.120 sq mi,"4,486 per sq mi",36.9230°N 76.2446°W
,,,,,,140.171 km2,"1,732 km-2",
80,Chandler,Arizona,"2,45,628","2,36,123",4.03%,64.413 sq mi,"3,666 per sq mi",33.2829°N 111.8549°W
,,,,,,166.828 km2,"1,415 km-2",
81,Laredo,Texas,"2,44,731","2,36,091",3.66%,88.908 sq mi,"2,655 per sq mi",27.5477°N 99.4869°W
,,,,,,230.271 km2,"1,025 km-2",
82,Madison,Wisconsin,"2,40,323","2,33,209",3.05%,76.789 sq mi,"3,037 per sq mi",43.0878°N 89.4301°W
,,,,,,198.882 km2,"1,173 km-2",
83,Durham,North Carolina,"2,39,358","2,28,330",4.83%,107.370 sq mi,"2,127 per sq mi",35.9810°N 78.9056°W
,,,,,,278.088 km2,821 km-2,
84,Lubbock,Texas,"2,36,065","2,29,573",2.83%,122.410 sq mi,"1,875 per sq mi",33.5665°N 101.8867°W
,,,,,,317.041 km2,724 km-2,
85,Winston–Salem,North Carolina,"2,34,349","2,29,617",2.06%,132.449 sq mi,"1,734 per sq mi",36.1033°N 80.2606°W
,,,,,,343.041 km2,669 km-2,
86,Garland,Texas,"2,33,564","2,26,876",2.95%,57.085 sq mi,"3,974 per sq mi",32.9098°N 96.6304°W
,,,,,,147.849 km2,"1,535 km-2",
87,Glendale,Arizona,"2,32,143","2,26,721",2.39%,59.976 sq mi,"3,780 per sq mi",33.5331°N 112.1899°W
,,,,,,155.337 km2,"1,460 km-2",
88,Hialeah,Florida,"2,31,941","2,24,669",3.24%,21.450 sq mi,"10,474 per sq mi",25.8699°N 80.3029°W
,,,,,,55.555 km2,"4,044 km-2",
89,Reno,Nevada,"2,31,027","2,25,221",2.58%,103.009 sq mi,"2,186 per sq mi",39.4745°N 119.7765°W
,,,,,,266.793 km2,844 km-2,
90,Baton Rouge,Louisiana,"2,30,058","2,29,493",0.25%,76.947 sq mi,"2,982 per sq mi",30.4485°N 91.1259°W
,,,,,,199.292 km2,"1,152 km-2",
91,Irvine,California,"2,29,985","2,12,375",8.29%,66.106 sq mi,"3,213 per sq mi",33.6784°N 117.7713°W
,,,,,,171.214 km2,"1,240 km-2",
92,Chesapeake,Virginia,"2,28,417","2,22,209",2.79%,340.800 sq mi,652 per sq mi,36.6794°N 76.3018°W
,,,,,,882.669 km2,252 km-2,
93,Irving,Texas,"2,25,427","2,16,290",4.22%,67.017 sq mi,"3,227 per sq mi",32.8577°N 96.9700°W
,,,,,,173.574 km2,"1,246 km-2",
94,Scottsdale,Arizona,"2,23,514","2,17,385",2.82%,183.920 sq mi,"1,182 per sq mi",33.6687°N 111.8237°W
,,,,,,476.350 km2,456 km-2,
95,North Las Vegas,Nevada,"2,23,491","2,16,961",3.01%,101.345 sq mi,"2,141 per sq mi",36.2830°N 115.0893°W
,,,,,,262.483 km2,827 km-2,
96,Fremont,California,"2,21,986","2,14,089",3.69%,77.459 sq mi,"2,764 per sq mi",37.4944°N 121.9411°W
,,,,,,200.618 km2,"1,067 km-2",
97,Gilbert,Arizona,"2,21,140","2,08,453",6.09%,67.963 sq mi,"3,067 per sq mi",33.3102°N 111.7422°W
,,,,,,176.023 km2,"1,184 km-2",
98,San Bernardino,California,"2,13,295","2,09,924",1.61%,59.201 sq mi,"3,546 per sq mi",34.1393°N 117.2953°W
,,,,,,153.330 km2,"1,369 km-2",
99,Boise[,Idaho,"2,12,303","2,05,671",3.22%,79.364 sq mi,"2,592 per sq mi",43.5985°N 116.2311°W
,,,,,,205.551 km2,"1,001 km-2",
100,Birmingham,Alabama,"2,12,038","2,12,237",?0.09%,146.067 sq mi,"1,453 per sq mi",33.5274°N 86.7990°W
,,,,,,378.311 km2,561 km-2,
101,Rochester,New York,"2,10,532","2,10,565",?0.02%,35.781 sq mi,"5,885 per sq mi",43.1699°N 77.6169°W
,,,,,,92.672 km2,"2,272 km-2",
102,Richmond,Virginia,"2,10,309","2,04,214",2.98%,59.805 sq mi,"3,415 per sq mi",37.5314°N 77.4760°W
,,,,,,154.895 km2,"1,318 km-2",
103,Spokane,Washington,"2,09,525","2,08,916",0.29%,59.247 sq mi,"3,526 per sq mi",47.6736°N 117.4166°W
,,,,,,153.448 km2,"1,361 km-2",
104,Des Moines,Iowa,"2,06,688","2,03,433",1.60%,80.869 sq mi,"2,516 per sq mi",41.5739°N 93.6167°W
,,,,,,209.451 km2,971 km-2,
105,Montgomery,Alabama,"2,05,293","2,05,764",?0.23%,159.565 sq mi,"1,290 per sq mi",32.3463°N 86.2686°W
,,,,,,413.272 km2,498 km-2,
106,Modesto,California,"2,03,547","2,01,165",1.18%,36.867 sq mi,"5,456 per sq mi",37.6609°N 120.9891°W
,,,,,,95.486 km2,"2,107 km-2",
107,Fayetteville,North Carolina,"2,02,103","2,00,564",0.77%,145.845 sq mi,"1,375 per sq mi",35.0851°N 78.9803°W
,,,,,,377.736 km2,531 km-2,
108,Tacoma,Washington,"2,02,010","1,98,397",1.82%,49.721 sq mi,"3,990 per sq mi",47.2522°N 122.4598°W
,,,,,,128.777 km2,"1,541 km-2",
109,Shreveport,Louisiana,"2,01,867","1,99,311",1.28%,105.375 sq mi,"1,891 per sq mi",32.4670°N 93.7927°W
,,,,,,272.920 km2,730 km-2,
110,Fontana,California,"2,01,812","1,96,069",2.93%,42.432 sq mi,"4,621 per sq mi",34.1088°N 117.4627°W
,,,,,,109.899 km2,"1,784 km-2",
111,Oxnard,California,"2,01,555","1,97,899",1.85%,26.894 sq mi,"7,358 per sq mi",34.2023°N 119.2046°W
,,,,,,69.656 km2,"2,841 km-2",
112,Aurora,Illinois,"1,99,932","1,97,899",1.03%,44.936 sq mi,"4,404 per sq mi",41.7635°N 88.2901°W
,,,,,,116.384 km2,"1,700 km-2",
113,Moreno Valley,California,"1,99,552","1,93,365",3.20%,51.275 sq mi,"3,771 per sq mi",33.9233°N 117.2057°W
,,,,,,132.800 km2,"1,456 km-2",
114,Akron,Ohio,"1,98,549","1,99,110",?0.28%,62.033 sq mi,"3,210 per sq mi",41.0805°N 81.5214°W
,,,,,,160.664 km2,"1,239 km-2",
115,Yonkers,New York,"1,98,449","1,95,976",1.26%,18.012 sq mi,"10,880 per sq mi",40.9459°N 73.8674°W
,,,,,,46.651 km2,"4,201 km-2",
116,Columbus,Georgia,"1,98,413","1,89,885",4.49%,216.385 sq mi,878 per sq mi,32.5102°N 84.8749°W
,,,,,,560.435 km2,339 km-2,
117,Augusta,Georgia,"1,97,872","1,95,844",1.04%,302.474 sq mi,647 per sq mi,33.3655°N 82.0734°W
,,,,,,783.404 km2,250 km-2,
118,Little Rock,Arkansas,"1,96,537","1,93,524",1.56%,119.200 sq mi,"1,624 per sq mi",34.7254°N 92.3586°W
,,,,,,308.726 km2,627 km-2,
119,Amarillo,Texas,"1,95,250","1,90,695",2.39%,99.476 sq mi,"1,917 per sq mi",35.1978°N 101.8287°W
,,,,,,257.641 km2,740 km-2,
120,Mobile,Alabama,"1,94,822","1,95,111",?0.15%,139.109 sq mi,"1,403 per sq mi",30.6684°N 88.1002°W
,,,,,,360.290 km2,542 km-2,
121,Huntington Beach,California,"1,94,708","1,89,992",2.48%,26.748 sq mi,"7,103 per sq mi",33.6906°N 118.0093°W
,,,,,,69.278 km2,"2,742 km-2",
122,Glendale,California,"1,94,478","1,91,719",1.44%,30.453 sq mi,"6,295 per sq mi",34.1814°N 118.2458°W
,,,,,,78.874 km2,"2,431 km-2",
123,Grand Rapids,Michigan,"1,90,411","1,88,040",1.26%,44.395 sq mi,"4,236 per sq mi",42.9612°N 85.6556°W
,,,,,,114.984 km2,"1,635 km-2",
124,Salt Lake City,Utah,"1,89,314","1,86,440",1.54%,111.110 sq mi,"1,678 per sq mi",40.7785°N 111.9314°W
,,,,,,287.773 km2,648 km-2,
125,Tallahassee,Florida,"1,86,971","1,81,376",3.08%,100.247 sq mi,"1,809 per sq mi",30.4551°N 84.2534°W
,,,,,,259.638 km2,699 km-2,
126,Huntsville,Alabama,"1,83,739","1,80,105",2.02%,209.054 sq mi,862 per sq mi,34.7843°N 86.5390°W
,,,,,,541.447 km2,333 km-2,
127,Worcester,Massachusetts,"1,82,669","1,81,045",0.90%,37.371 sq mi,"4,845 per sq mi",42.2695°N 71.8078°W
,,,,,,96.790 km2,"1,870 km-2",
128,Knoxville,Tennessee,"1,82,200","1,78,874",1.86%,98.521 sq mi,"1,816 per sq mi",35.9709°N 83.9465°W
,,,,,,255.167 km2,701 km-2,
129,Grand Prairie,Texas,"1,81,824","1,75,396",3.66%,72.105 sq mi,"2,433 per sq mi",32.6842°N 97.0210°W
,,,,,,186.750 km2,939 km-2,
130,Newport News,Virginia,"1,80,726","1,80,719",0.00%,68.714 sq mi,"2,630 per sq mi",37.0760°N 76.5217°W
,,,,,,177.968 km2,"1,015 km-2",
131,Brownsville,Texas,"1,80,097","1,75,023",2.90%,132.330 sq mi,"1,323 per sq mi",26.0183°N 97.4538°W
,,,,,,342.734 km2,511 km-2,
132,Santa Clarita,California,"1,79,013","1,76,320",1.53%,52.716 sq mi,"3,345 per sq mi",34.4049°N 118.5047°W
,,,,,,136.535 km2,"1,291 km-2",
133,Overland Park,Kansas,"1,78,919","1,73,372",3.20%,74.841 sq mi,"2,317 per sq mi",38.8890°N 94.6906°W
,,,,,,193.839 km2,894 km-2,
134,Providence,Rhode Island,"1,78,432","1,78,042",0.22%,18.400 sq mi,"9,676 per sq mi",41.8231°N 71.4188°W
,,,,,,47.656 km2,"3,736 km-2",
135,Jackson,Mississippi,"1,75,437","1,73,514",1.11%,111.046 sq mi,"1,563 per sq mi",32.3158°N 90.2128°W
,,,,,,287.608 km2,603 km-2,
136,Garden Grove,California,"1,74,389","1,70,883",2.05%,17.941 sq mi,"9,525 per sq mi",33.7788°N 117.9605°W
,,,,,,46.467 km2,"3,677 km-2",
137,Oceanside,California,"1,71,293","1,67,086",2.52%,41.235 sq mi,"4,052 per sq mi",33.2246°N 117.3062°W
,,,,,,106.798 km2,"1,565 km-2",
138,Chattanooga,Tennessee,"1,71,279","1,67,674",2.15%,137.152 sq mi,"1,223 per sq mi",35.0665°N 85.2471°W
,,,,,,355.222 km2,472 km-2,
139,Fort Lauderdale,Florida,"1,70,747","1,65,521",3.16%,34.765 sq mi,"4,761 per sq mi",26.1413°N 80.1439°W
,,,,,,90.042 km2,"1,838 km-2",
140,Rancho Cucamonga,California,"1,70,746","1,65,269",3.31%,39.851 sq mi,"4,147 per sq mi",34.1233°N 117.5642°W
,,,,,,103.212 km2,"1,601 km-2",
141,Santa Rosa,California,"1,70,685","1,67,815",1.71%,41.294 sq mi,"4,064 per sq mi",38.4468°N 122.7061°W
,,,,,,106.950 km2,"1,569 km-2",
142,Port St. Lucie,Florida,"1,68,716","1,64,603",2.50%,113.953 sq mi,"1,444 per sq mi",27.2810°N 80.3838°W
,,,,,,295.136 km2,558 km-2,
143,Ontario,California,"1,67,211","1,63,924",2.01%,49.941 sq mi,"3,282 per sq mi",34.0395°N 117.6088°W
,,,,,,129.345 km2,"1,267 km-2",
144,Tempe,Arizona,"1,66,842","1,61,719",3.17%,39.929 sq mi,"4,050 per sq mi",33.3884°N 111.9318°W
,,,,,,103.416 km2,"1,564 km-2",
145,Vancouver,Washington,"1,65,489","1,61,791",2.29%,46.456 sq mi,"3,483 per sq mi",45.6372°N 122.5965°W
,,,,,,120.322 km2,"1,345 km-2",
146,Springfield,Missouri,"1,62,191","1,59,498",1.69%,81.720 sq mi,"1,952 per sq mi",37.1942°N 93.2913°W
,,,,,,211.654 km2,754 km-2,
147,Cape Coral,Florida,"1,61,248","1,54,305",4.50%,105.673 sq mi,"1,460 per sq mi",26.6431°N 81.9973°W
,,,,,,273.691 km2,564 km-2,
148,Pembroke Pines,Florida,"1,60,306","1,54,019",4.08%,33.124 sq mi,"4,672 per sq mi",26.0212°N 80.3404°W
,,,,,,85.790 km2,"1,804 km-2",
149,Sioux Falls,South Dakota,"1,59,908","1,53,888",3.91%,72.964 sq mi,"2,109 per sq mi",43.5383°N 96.7320°W
,,,,,,188.977 km2,814 km-2,
150,Peoria,Arizona,"1,59,789","1,54,065",3.72%,174.404 sq mi,883 per sq mi,33.7877°N 112.3111°W
,,,,,,451.704 km2,341 km-2,
151,Lancaster,California,"1,59,055","1,56,633",1.55%,94.276 sq mi,"1,661 per sq mi",34.6936°N 118.1753°W
,,,,,,244.175 km2,641 km-2,
152,Elk Grove,California,"1,59,038","1,53,015",3.94%,42.190 sq mi,"3,627 per sq mi",38.4144°N 121.3849°W
,,,,,,109.271 km2,"1,400 km-2",
153,Corona,California,"1,58,391","1,52,374",3.95%,38.825 sq mi,"3,925 per sq mi",33.8624°N 117.5639°W
,,,,,,100.558 km2,"1,515 km-2",
154,Eugene,Oregon,"1,57,986","1,56,185",1.15%,43.723 sq mi,"3,572 per sq mi",44.0567°N 123.1162°W
,,,,,,113.241 km2,"1,379 km-2",
155,Salem,Oregon,"1,57,429","1,54,637",1.81%,47.896 sq mi,"3,229 per sq mi",44.9237°N 123.0231°W
,,,,,,124.049 km2,"1,247 km-2",
156,Palmdale,California,"1,55,650","1,52,750",1.90%,105.961 sq mi,"1,442 per sq mi",34.5913°N 118.1090°W
,,,,,,274.439 km2,557 km-2,
157,Salinas,California,"1,54,484","1,50,441",2.69%,23.179 sq mi,"6,490 per sq mi",36.6902°N 121.6337°W
,,,,,,60.033 km2,"2,506 km-2",
158,Springfield,Massachusetts,"1,53,552","1,53,060",0.32%,31.865 sq mi,"4,803 per sq mi",42.1155°N 72.5400°W
,,,,,,82.530 km2,"1,855 km-2",
159,Pasadena,Texas,"1,52,272","1,49,043",2.17%,42.762 sq mi,"3,485 per sq mi",29.6583°N 95.1505°W
,,,,,,110.754 km2,"1,346 km-2",
160,Rockford,Illinois,"1,50,843","1,52,871",?1.33%,61.081 sq mi,"2,503 per sq mi",42.2634°N 89.0628°W
,,,,,,158.200 km2,966 km-2,
161,Pomona,California,"1,50,812","1,49,058",1.18%,22.952 sq mi,"6,494 per sq mi",34.0586°N 117.7613°W
,,,,,,59.444 km2,"2,508 km-2",
