index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
animation_18.jpg3,animation_18,3,#dcc080,220,192,128,86.53767286,43.84236403,35.92610034,41.73509494,70.87475249,88.56603268,36.82301829,65.5215731,63.70948769,99.82903097,61.67744154,71.3502061,128.7652232,169.975743,48.81283521,104.6863385,138.187258,48.60785176
animation_18.jpg4,animation_18,4,#89919e,137,145,158,60.43468407,10.08550579,19.43491954,40.83741799,74.91627357,110.0715657,66.26853902,110.968755,78.60958837,128.3022505,30.98210827,57.5333099,87.79393506,130.6189486,91.31819704,72.24284073,111.7464132,59.96397444
animation_18.jpg5,animation_18,5,#dddcdc,221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
animation_18.jpg6,animation_18,6,#291b19,41,27,25,13.83783777,42.8424603,66.70562075,88.8874723,55.39614739,105.4905938,69.10046484,127.6565117,81.85286505,143.7779273,52.61214265,98.32282867,80.09837652,135.0945447,99.64332476,68.75325542,122.5157747,49.28930101
animation_18.jpg7,animation_18,7,#e5c65d,229,198,93,97.94537038,61.82295794,55.66413959,58.85985894,75.98234867,86.61249372,31.0833012,46.89104949,61.34156642,89.59715807,76.89750052,84.63001326,146.3600948,188.459341,34.82857619,121.1714569,154.4602708,53.3244755
animation_18.jpg8,animation_18,8,#5e5350,94,83,80,36.6351816,18.08923754,41.76807023,63.94997861,57.10315288,100.7808771,58.01866186,112.4755677,73.19198537,130.9064113,36.87875091,77.60881992,84.13484852,134.3821593,87.18996435,68.24218134,116.603251,43.8149937
animation_18.jpg9,animation_18,9,#d1a943,209,169,67,90.71500173,58.99976387,56.72606973,63.32039614,66.01364984,79.06240091,25.53924128,52.8117424,61.20118492,95.4599126,75.99745683,89.70206006,141.0749523,184.6567285,30.57442366,115.4634548,150.7312983,43.27430557
animation_18.jpg10,animation_18,10,#9f8361,159,131,97,61.10432474,23.33586164,31.35646803,49.22982642,54.70146775,86.82091029,39.33148133,87.11924927,64.55783723,114.5664411,47.14338364,73.70560428,105.9582875,151.4789087,62.16146182,83.7191244,124.4533842,33.69905815
animation_19.jpg1,animation_19,1,#202737,32,39,55,19.42087787,39.61926822,63.09239313,85.11261389,68.37988562,117.0893899,78.44459104,135.5755684,86.8676683,147.8810908,44.82523015,90.49201347,70.31489246,124.8344951,110.2476514,63.99884773,117.2357381,61.80696382
animation_19.jpg2,animation_19,2,#bdd0e1,189,208,225,83.29925837,30.99095212,11.98748788,20.58077309,90.63812979,117.4712399,74.59071885,107.6689932,85.76299591,125.4829073,43.05787978,46.09677368,101.5826913,136.8894595,93.76451201,85.35336137,115.1346202,74.52342096
animation_19.jpg3,animation_19,3,#070911,7,9,17,4.612333824,51.19136117,75.26431958,97.53739985,67.16151501,117.8781019,79.21604202,138.2065466,86.85715806,149.6106076,54.68598624,101.6963309,77.48618437,133.6717398,112.3324609,72.06186467,126.8487414,62.29371345
