word,freq
ride,35
passage,35
hollywood,35
te,35
criticize,35
identity,35
thorough,35
touche,35
bunch,35
bar,35
mood,35
odd,35
provide,35
hour,35
impression,35
till,34
turne,34
anger,34
sitt,34
whose,34
sibling,34
twice,34
isolation,34
record,34
laughe,34
instance,34
no,34
onto,34
fascinat,34
interaction,34
appeal,34
us,34
result,34
wow,34
ideal,34
fast,34
window,34
painful,34
rat,34
robert,34
sick,34
vivid,34
major,34
seek,34
anymore,34
rate,34
comfort,34
green,33
straight,33
picture,33
someday,33
h,33
profanity,33
mad,33
looke,33
please,33
tear,33
physical,33
slight,33
rule,33
lie,33
spoiler,33
classe,33
account,33
lik,33
train,33
popular,33
hypocrisy,33
serve,33
third,33
buy,33
aware,33
art,33
shouldn,32
reache,32
cool,32
personaje,32
random,32
path,32
curse,32
direct,32
passe,32
flaw,32
wall,32
biggest,32
spiritual,32
month,32
smok,32
indee,32
mentione,32
bought,32
discussion,32
admire,32
mere,32
refuse,32
adore,31
sneak,31
ready,31
recommende,31
culture,31
witty,31
dear,31
winter,31
male,31
women,31
claim,31
peer,31
est,31
showe,31
wear,31
song,31
grew,31
frustrate,31
fictional,31
staye,31
sett,31
draw,31
creat,30
14,30
http,30
incredible,30
sarcasm,30
nervou,30
as,30
minute,30
include,30
profound,30
judgmental,30
hair,30
gotten,30
pay,30
everyday,30
outlook,30
terrible,30
reflection,30
twenty,30
house,30
misunderstood,30
throw,30
interpretation,30
happines,30
psychological,30
deserve,30
stage,29
shock,29
sweet,29
pull,29
pennsylvania,29
metaphor,29
critical,29
hypocrite,29
tire,29
privilege,29
frightene,29
uno,29
compare,29
affecte,29
began,29
muy,29
empathize,29
universal,29
manner,29
regard,29
mistake,29
honesty,29
literal,29
sent,29
casual,29
protagonista,29
ho,29
smoke,29
thu,29
large,29
historia,29
spent,29
mundo,29
liar,29
secret,29
ackley,29
shit,29
hidden,29
library,29
perk,28
per,28
relat,28
involve,28
fair,28
tragic,28
identifie,28
flow,28
appear,28
paper,28
shape,28
realise,28
raw,28
opposite,28
copperfield,28
round,28
decade,28
initial,28
earlier,28
prose,28
sadnes,28
vez,28
memory,28
frequent,27
famou,27
jump,27
public,27
rid,27
reveal,27
30,27
40,27
portraye,27
pictur,27
power,27
cap,27
intrigu,27
comment,27
worse,27
chapman,27
slang,27
driver,27
multiple,27
beside,27
audience,27
therefore,27
expresse,27
fine,27
america,27
sobre,27
poco,27
assigne,27
vocabulary,27
depend,27
six,27
disappoint,27
conclusion,27
send,26
