word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike
much,786.0,0.00345987252175,446.0,0.00298212064885,321.0,0.00346506331027,350.0,0.00297048189703,672.0,0.00424631133298,660.0,0.00360460734357,80.0,0.00451849759955,500.0,0.00320401912159,74.0,0.00442848593656,98.0,0.00504894384338,227.0,0.00371260814811,380.0,0.00439022135958
megan,780.0,0.00343346128112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,776.0,0.00341585378737,547.0,0.00365744393479,247.0,0.00266626366865,274.0,0.00232546297082,798.0,0.00504249470791,713.0,0.00389406823631,97.0,0.00547867833945,756.0,0.00484447691184,84.0,0.00502692998205,61.0,0.00314270994333,1008.0,0.0164859427899,202.0,0.00233374924904
feel,769.0,0.00338504067331,406.0,0.00271466588213,360.0,0.00388605231058,491.0,0.00416716174698,806.0,0.0050930460333,492.0,0.00268707092884,50.0,0.00282406099972,701.0,0.00449203480846,20.0,0.00119688809096,68.0,0.00350334878928,225.0,0.00367989794416,166.0,0.00191783354129
hawkin,768.0,0.00338063879987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
life,765.0,0.00336743317956,394.0,0.00263442945212,307.0,0.00331393905375,333.0,0.00282620134775,768.0,0.00485292723769,689.0,0.00376299160563,267.0,0.0150804857385,814.0,0.00521614312994,225.0,0.0134649910233,84.0,0.00432766615147,556.0,0.00909343669758,400.0,0.00462128564167
m,756.0,0.00332781631863,341.0,0.00228005188622,304.0,0.00328155528449,347.0,0.00294502062363,551.0,0.00348172253641,462.0,0.0025232251405,63.0,0.00355831685964,383.0,0.00245427864713,48.0,0.00287253141831,57.0,0.00293663060278,165.0,0.00269859182572,278.0,0.00321179352096
mystery,729.0,0.00320896573582,12.0,8.02364300138e-05,26.0,0.000280659333542,19.0,0.000161254731553,9.0,5.68702410666e-05,106.0,0.000578921785482,0.0,0.0,43.0,0.000275545644456,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.000150191783354
anna,707.0,0.0031121245202,0.0,0.0,21.0,0.000226686384784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twist,705.0,0.00310332077332,59.0,0.000394495780901,27.0,0.000291453923294,40.0,0.000339483645375,17.0,0.000107421566459,41.0,0.000223922577403,0.0,0.0,44.0,0.0002819536827,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.000543001062896
