,Apartment,Rent,Url
55,53-21 206th Street #1,"$2,850",http://streeteasy.com/building/53_21-206-street-queens/1
56,12 East 86th Street #321,"$7,000",http://streeteasy.com/building/the-croydon/321?featured=1
57,31-35 31st Street #705,"$3,600",http://streeteasy.com/building/astor-condominiums/705?featured=1
58,1 Morningside Drive #1616,"$3,700",http://streeteasy.com/building/avalon-morningside-park/1616
59,67-30 Clyde Street #7J,"$1,750",http://streeteasy.com/building/67_30-clyde-street-queens/7j
60,506 W 213th #3,"$1,450",http://streeteasy.com/building/506-west-213-street-manhattan/3
61,140 Montague Street #41,"$1,675",http://streeteasy.com/building/140-montague-street-brooklyn/41
62,229 Malcolm X Boulevard #2,"$3,400",http://streeteasy.com/building/229-malcolm-x-boulevard-brooklyn/2
63,200 North 11th Street #3D,"$3,050",http://streeteasy.com/building/200-north-11th-st-brooklyn/3d
64,59-11 Queens Boulevard #3M,"$1,900",http://streeteasy.com/building/59_11-queens-boulevard-queens/3m
65,60 Maspeth Avenue #3,"$3,150",http://streeteasy.com/rental/1734475
66,170 Hawthorne #3K,"$1,490",http://streeteasy.com/building/170-hawthorne-street-brooklyn/3k
67,164 Havemeyer Street #2,"$3,050",http://streeteasy.com/building/164-havemeyer-street-brooklyn/2
68,247 W 46 #2404,"$5,000",http://streeteasy.com/building/platinum-condominium/2404
69,35 Ten Eyck Street #2,"$2,750",http://streeteasy.com/building/35-ten-eyck-street-brooklyn/2
70,301 Sullivan Place #5G,"$2,900",http://streeteasy.com/building/the-plex/5g?featured=1
71,601 West 137th Street #34,"$4,200",http://streeteasy.com/building/the-westbourne-601-west-137th-street-new_york/34?featured=1
72,383 South 3rd Street #21,"$3,199",http://streeteasy.com/building/383-south-3-street-brooklyn/21
73,"15 Jackson Street, #2B","$3,516",http://streeteasy.com/rental/1734468
74,25-04 44th Street #A,"$2,350",http://streeteasy.com/building/43_18-25-avenue-queens/a
75,200 East 71st Street #3D,"$2,695",http://streeteasy.com/building/200-east-71-street-new_york/3d
76,15 Jackson Street #4B,"$2,625",http://streeteasy.com/rental/1734464
77,979 New York Avenue #17,"$2,000",http://streeteasy.com/building/979-new-york-avenue-brooklyn/17
78,42-25 213th Street #2,"$3,500",http://streeteasy.com/building/42_25-213-street-queens/2
79,248 Stockholm Street #3F,"$2,400",http://streeteasy.com/building/248-stockholm-street-brooklyn/3f
80,419 Pacific Street #1,"$3,200",http://streeteasy.com/building/419-pacific-street-brooklyn/1
81,119-49 Union Tpke ,"$3,295",http://streeteasy.com/rental/1734456
82,578 Vanderbilt Avenue #1,"$3,750",http://streeteasy.com/building/578-vanderbilt-avenue-brooklyn/1
83,53 Broadway #605A,"$3,300",http://streeteasy.com/building/53-broadway-brooklyn/605a
84,425 Central Park West #6D,"$5,500",http://streeteasy.com/building/425-central-park-west-new_york/6d?featured=1
85,322 W 57th Street #39H,"$13,600",http://streeteasy.com/building/the-sheffield/39h?featured=1
86,62 East 66th Street #3B,"$2,700",http://streeteasy.com/building/62-east-66-street-manhattan/3b
87,250 Washington Avenue #B2,"$3,700",http://streeteasy.com/building/250-washington-avenue-brooklyn/b2
88,210 East 83rd Street #2B,"$3,195",http://streeteasy.com/building/210-east-83-street-new_york/2b
89,4230 Broadway #2A,"$2,600",http://streeteasy.com/building/4230-broadway-manhattan/2a
90,4230 Broadway #1B,"$2,600",http://streeteasy.com/building/4230-broadway-manhattan/1b
91,60 Duffield Street #10B,"$3,831",http://streeteasy.com/rental/1734433
92,635 West 42nd Street #32C,"$5,800",http://streeteasy.com/building/atelier-condominium/32c
93,635 West 42nd Street #43C,"$7,000",http://streeteasy.com/building/atelier-condominium/43c
94,635 West 42nd Street #42L,"$5,500",http://streeteasy.com/building/atelier-condominium/42l
95,635 West 42nd Street #41M,"$5,000",http://streeteasy.com/building/atelier-condominium/41m
96,635 West 42nd Street #39L,"$6,500",http://streeteasy.com/building/atelier-condominium/39l
97,635 West 42nd Street #19S,"$3,500",http://streeteasy.com/building/atelier-condominium/19s
98,170 East 100th Street #2F,"$2,750",http://streeteasy.com/building/170-east-100-street-manhattan/2f?featured=1
99,413 Himrod Street #2R,"$2,199",http://streeteasy.com/building/413-himrod-street-brooklyn/2r?featured=1
100,635 West 42nd Street #20S,"$3,700",http://streeteasy.com/building/atelier-condominium/20s
101,635 West 42nd Street #8I,"$3,500",http://streeteasy.com/building/atelier-condominium/8i
102,635 West 42nd Street #24F,"$5,000",http://streeteasy.com/building/atelier-condominium/24f
103,32-64 33rd Street #2R,"$2,400",http://streeteasy.com/rental/1734421
104,43 Columbia Place #1D,"$3,695",http://streeteasy.com/rental/1734420
105,43 Columbia Place #1A,"$2,200",http://streeteasy.com/rental/1734417
106,440-450 Audubon Avenue #39,"$1,600",http://streeteasy.com/building/440-audubon-avenue-new_york/39
107,664 Onderdonk Avenue #2L,"$3,450",http://streeteasy.com/rental/1734415
108,664 Onderdonk Avenue #1L,"$3,595",http://streeteasy.com/rental/1734414
109,21-26 36st #2,"$3,500",http://streeteasy.com/building/21_26-36-street-queens/2
110,147 West 78th Street #3B,"$2,550",http://streeteasy.com/building/147-west-78-street-manhattan/3b
111,664 Onderdonk Avenue #1R,"$4,120",http://streeteasy.com/rental/1734411
112,189 West 89th Street #16G,"$3,714",http://streeteasy.com/building/the-sagamore/016g?featured=1
113,40 North 4th Street #7F,"$3,300",http://streeteasy.com/building/the-wave/7f?featured=1
114,1079 Manhattan Avenue #4,"$1,850",http://streeteasy.com/building/1079-manhattan-avenue-brooklyn/4
115,321 East 69th Street #2C,"$2,099",http://streeteasy.com/building/321-east-69-street-manhattan/2c
116,204 West 92nd Street #3,"$3,100",http://streeteasy.com/building/204-west-92-street-new_york/3
117,580 East 94th Street ,"$1,550",http://streeteasy.com/rental/1734407
118,51 Division Avenue #2,"$2,099",http://streeteasy.com/rental/1734406
119,68-29 Burns Street #55,"$1,800",http://streeteasy.com/building/68_29-burns-street-forest_hills/55
120,745 Park Avenue #1L,"$1,890",http://streeteasy.com/building/745-park-avenue-brooklyn/1l
121,28-38 35th Street #3,"$2,800",http://streeteasy.com/building/28_38-35-street-queens/3
122,180 Bainbridge Street #3RD,"$3,400",http://streeteasy.com/building/180-bainbridge-street-brooklyn/3rd
123,310 E 55 #9G,"$2,195",http://streeteasy.com/rental/1734398
124,138 Utica Avenue #3,"$1,875",http://streeteasy.com/building/138-utica-avenue-brooklyn/3
125,425 Fifth Avenue #32C,"$3,200",http://streeteasy.com/rental/1734393
126,161 Driggs Avenue #2L,"$2,700",http://streeteasy.com/building/161-driggs-avenue-brooklyn/2l?featured=1
127,88 Leonard Street #1701,"$8,447",http://streeteasy.com/building/88-leonard-street-new_york/1701?featured=1
128,345 W 30th Street #8C,"$2,750",http://streeteasy.com/building/345-west-30-street-new_york/8c
129,345 W 30th Street #7A,"$2,725",http://streeteasy.com/building/345-west-30-street-new_york/7a
130,345 W 30th Street #6C,"$2,695",http://streeteasy.com/building/345-west-30-street-new_york/6c
131,434 Lenox Avenue #1,"$2,499",http://streeteasy.com/building/434-lenox-avenue-manhattan/1
132,333 E 46th Street #4B,"$4,300",http://streeteasy.com/building/333-east-46-street-new_york/4b
133,59 W 76th Street #2F,"$2,800",http://streeteasy.com/building/59-west-76-street-manhattan/2f
134,149 State Street #TOP,"$3,600",http://streeteasy.com/building/149-state-street-brooklyn/top
135,453 Court Street #2L,"$3,600",http://streeteasy.com/building/453-court-street-brooklyn/2l
136,453 Court Street #4L,"$3,595",http://streeteasy.com/building/453-court-street-brooklyn/4l
137,194 Orchard Street #4,"$4,600",http://streeteasy.com/building/194-orchard-street-manhattan/4
138,330 E 74th Street #2FL,"$1,900",http://streeteasy.com/building/330-east-74-street-new_york/2fl
139,66 Diamond Street #2,"$2,600",http://streeteasy.com/building/66-diamond-street-brooklyn/2
140,40 North 4th Street #3G,"$4,000",http://streeteasy.com/rental/1714313?featured=1
141,110 East 36th Street #8E,"$2,495",http://streeteasy.com/building/110-east-36-street-new_york/8e?featured=1
142,154 Attorney Street #504,"$2,700",http://streeteasy.com/building/154-attorney-street/504
143,55 West 26th Street #26B,"$5,034",http://streeteasy.com/building/the-capitol-at-chelsea/26b
144,55 West 26th Street #28K,"$7,488",http://streeteasy.com/building/the-capitol-at-chelsea/28k
145,1198 Bushwick Avenue #1,"$2,300",http://streeteasy.com/rental/1734351
146,344 E 62nd Street #2A,"$2,099",http://streeteasy.com/building/344-east-62-street-manhattan/2a
147,201 East 12th Street #520,"$3,950",http://streeteasy.com/building/201-east-12-street-new_york/520
148,146-22 45th Avenue #2,"$2,275",http://streeteasy.com/building/146_22-45-avenue-queens/2
149,2113 Avenue V #4B,"$1,800",http://streeteasy.com/building/2113-avenue-v-brooklyn/4b
150,921 Broadway #2B,"$2,000",http://streeteasy.com/building/921-broadway-brooklyn/2b
151,319 Melrose Street #1F,"$3,400",http://streeteasy.com/rental/1734344
152,479 Harman Street #3R,"$2,200",http://streeteasy.com/building/479-harman-street-brooklyn/3r
153,319 Melrose Street #4F,"$3,200",http://streeteasy.com/rental/1734342
154,450 West 17th Street #5033,"$3,905",http://streeteasy.com/building/the-caledonia/5033?featured=1
155,50 Franklin Street #3A,"$4,500",http://streeteasy.com/building/50-franklin-street-new_york/3a?featured=1
156,1228 Halsey Street #3,"$4,800",http://streeteasy.com/rental/1734340
157,637 Prospect Place #4,"$2,500",http://streeteasy.com/rental/1734339
158,370 Metropolitan Avenue #6,"$2,100",http://streeteasy.com/building/370-metropolitan-avenue-brooklyn/6
159,466 Washington Street #3E,"$14,000",http://streeteasy.com/building/466-washington-street-manhattan/3e
160,210 East 58th Street #9C,"$3,200",http://streeteasy.com/building/210-east-58-street-manhattan/9c
161,511 East 80th Street #2G,"$3,000",http://streeteasy.com/rental/1734335
162,65 West 55th Street #5B,"$3,100",http://streeteasy.com/rental/1734334
163,31-03 23rd Street #4D,"$1,799",http://streeteasy.com/building/31_03-23-street-queens/4d
164,2588 7th Avenue #2R,"$2,150",http://streeteasy.com/building/2580-adam-clayton-powell-jr-boulevard-new_york/2r
165,2247 7th Avenue #5BC,"$2,800",http://streeteasy.com/building/2247-adam-c-powell-blvd-manhattan/5bc
166,565 Evergreen Avenue #1B,"$3,200",http://streeteasy.com/rental/1734329
167,39 2nd Street #2,"$2,700",http://streeteasy.com/rental/1734327
168,81 Olive Street #8,"$4,000",http://streeteasy.com/building/73-orient-avenue-brooklyn/8?featured=1
169,259 Hart Street #2,"$3,250",http://streeteasy.com/building/259-hart-street-brooklyn/2?featured=1
170,664 Onderdonk Avenue #1L,"$3,750",http://streeteasy.com/rental/1734326
171,37-15 68th Street #2,"$2,200",http://streeteasy.com/building/37_15-68-street-queens/2
172,76 Decatur Street #4,"$1,700",http://streeteasy.com/building/76-decatur-street-brooklyn/4
173,177A 31st Street #3,"$1,900",http://streeteasy.com/building/177a-31-street-brooklyn/3
174,664 Onderdonk #1R,"$4,300",http://streeteasy.com/rental/1734322
175,430 East 72nd Street #6D,"$1,725",http://streeteasy.com/building/the-oxford-houses-430-east-72-street-new_york/6d
176,114 Decatur Street #1,"$1,650",http://streeteasy.com/building/114-decatur-street-brooklyn/1
177,84-30 98st #1,"$1,900",http://streeteasy.com/building/84_02-98-street-queens/1
178,111 Lawrence Street #42G,"$4,505",http://streeteasy.com/building/the-brooklyner/42g
179,515 East 72nd Street #9N,"$3,700",http://streeteasy.com/building/515-east-72/9n
180,350 East 54th Street #6E,"$2,995",http://streeteasy.com/building/350-east-54-street-new_york/6e
181,24-25 77th Street #2,"$2,400",http://streeteasy.com/building/24_25-77-street-queens/2
182,45-04 11th Street #2,"$3,000",http://streeteasy.com/building/45_04-11-street-queens/2?featured=1
183,97-45 Queens Boulevard #206,"$2,400",http://streeteasy.com/building/the-contour/206?featured=1
184,31-12 28th Avenue #2,"$2,850",http://streeteasy.com/building/31_11-28-road-queens/2
185,50 East 28th Street #4F,"$4,280",http://streeteasy.com/building/prism-at-park-ave-south/4f
186,180 Riverside Boulevard #11I,"$3,110",http://streeteasy.com/building/trump-place-180-riverside-blvd/11i
187,41 West 86th Street #2D,"$2,385",http://streeteasy.com/building/parc-cameron/02d
188,240 East 27th Street #23B,"$4,040",http://streeteasy.com/building/parc-east/23b
189,18-79 Linden Street #1R,"$4,300",http://streeteasy.com/building/18_79-linden-street-queens/1r
190,60 Water Street #1506,"$4,038",http://streeteasy.com/building/60-water-street/1506
191,235 West 22nd Street #7,"$2,450",http://streeteasy.com/building/235-west-22-street-new_york/7
192,78 Bank Street #8,"$4,800",http://streeteasy.com/building/78-bank-street-new_york/8
193,150 4th Avenue #2G,"$3,500",http://streeteasy.com/building/instrata-park-slope/2g
194,10 East 29th Street #4H,"$3,100",http://streeteasy.com/building/instrata-nomad/4h
195,10 East 29th Street #29B,"$6,995",http://streeteasy.com/building/instrata-nomad/29b
196,240 W 16 #C2,"$2,299",http://streeteasy.com/building/240-west-16-street-new_york/c2?featured=1
197,300 East 90th Street #56A,"$4,800",http://streeteasy.com/building/300-east-90-street-new_york/56a?featured=1
198,10 East 29th Street #44B,"$15,200",http://streeteasy.com/building/instrata-nomad/44b
199,153 Carroll Street 3RD-FLOOR,"$3,000",http://streeteasy.com/building/153-carroll-street-brooklyn/3rd-floor
200,622 Lexington Avenue #2,"$1,850",http://streeteasy.com/building/622-lexington-avenue-brooklyn/2
201,580 5th Street #3,"$4,000",http://streeteasy.com/building/580-5-street-brooklyn/3
202,40-28 College Point Boulevard #16,"$2,450",http://streeteasy.com/building/sky-view-parc-tower-2/16
203,225 Central Park West #820,"$3,595",http://streeteasy.com/building/the-alden/820
204,113 Putnam Avenue #2,"$2,750",http://streeteasy.com/building/113-putnam-avenue-brooklyn/2
205,970 41st Street #5J,"$1,800",http://streeteasy.com/building/4102-new-utrecht-avenue-brooklyn/5j
206,63 Bergen Street #2F,"$2,200",http://streeteasy.com/building/63-bergen-street-brooklyn/2f
207,50 Franklin Street #17B,"$5,800",http://streeteasy.com/building/50-franklin-street-new_york/17b
208,262 Mott Street #2S,"$15,000",http://streeteasy.com/rental/1734287
209,2150 Broadway #4C,"$5,500",http://streeteasy.com/building/the-laureate/4c
210,50 West 34th Street #16C4,"$2,600",http://streeteasy.com/building/herald-towers/16c04?featured=1
211,555 West 23rd Street #N10M,"$3,800",http://streeteasy.com/building/555-west-23-street-new_york/n10m?featured=1
212,200 Chambers Street #9C,"$12,000",http://streeteasy.com/building/200-chambers-street-new_york/9c
213,18 West 48th Street #32B,"$12,000",http://streeteasy.com/building/the-centria/32b
214,160 West 141st #1B,"$2,700",http://streeteasy.com/building/160-west-141-street-manhattan/1b
215,115 Eighth Avenue #2,"$1,850",http://streeteasy.com/rental/1734278
216,22-23 35th Street #1,"$2,400",http://streeteasy.com/building/22_23-35-street-queens/1
217,239 East 33rd Street #3A,"$2,395",http://streeteasy.com/building/239-east-33-street-manhattan/3a
218,70 Haven Avenue #4C,"$3,250",http://streeteasy.com/building/70-haven-avenue-new_york/4c
219,70 Haven Avenue #1A,"$1,895",http://streeteasy.com/building/70-haven-avenue-new_york/1a
220,48-17 45th Street #2F,"$2,300",http://streeteasy.com/building/48_17-45-street-queens/2f
221,20-27 27th Street #1F,"$2,100",http://streeteasy.com/building/20_27-27-street-queens/1f
222,412 East 81 #5R,"$1,825",http://streeteasy.com/rental/1734266
223,41-43 39th Place #14,"$1,950",http://streeteasy.com/building/41_43-39-place-queens/14
224,24 Fifth Avenue #714,"$7,500",http://streeteasy.com/building/24-5-avenue-new_york/714?featured=1
225,124 Franklin Street #1R,"$1,800",http://streeteasy.com/building/124-franklin-street-brooklyn/1r?featured=1
226,370 Manhattan Avenue #2D,"$2,600",http://streeteasy.com/building/370-manhattan-avenue-manhattan/2d
227,300 Suydam Street #5,"$3,300",http://streeteasy.com/building/300-suydam-street-brooklyn/5
228,311 East 38th Street #12D,"$2,800",http://streeteasy.com/building/the-whitney-311-east-38-street-new_york/12d
229,729 Lafayette Avenue #1C,"$2,450",http://streeteasy.com/building/729-lafayette-avenue-brooklyn/1c
230,234 Mulberry Street #6,"$2,750",http://streeteasy.com/building/234-mulberry-street-new_york/6
231,167 15th Street #1,"$2,600",http://streeteasy.com/building/167-15-street-brooklyn/1
232,167 West 126th Street #2A,"$1,950",http://streeteasy.com/building/167-west-126-street-manhattan/2a
233,41-04 30th Avenue #2,"$2,100",http://streeteasy.com/rental/1734254
234,80 Dekalb Avenue #6B,"$3,000",http://streeteasy.com/building/dklb-bkln/6b
235,27 East 126th Street #GB,"$2,400",http://streeteasy.com/building/27-east-126-street-manhattan/gb
236,448 West 54 #2A,"$2,350",http://streeteasy.com/building/448-west-54-street-new_york/2a
237,27-18 Newtown Avenue #1,"$2,300",http://streeteasy.com/building/27_18-newtown-avenue-queens/1
238,229 Chrystie Street #1408,"$3,500",http://streeteasy.com/building/the-chrystie/1408?featured=1
239,182 E 95th Street #5H,"$3,600",http://streeteasy.com/building/highgate-182-east-95-street-new_york/5h?featured=1
240,39 Mott Street #10,"$2,500",http://streeteasy.com/building/39-mott-street-manhattan/10
241,729 Lafayette Avenue #4P,"$2,492",http://streeteasy.com/building/729-lafayette-avenue-brooklyn/4p
242,643 Washington Avenue #1,"$4,200",http://streeteasy.com/rental/1734246
243,234 West 135th Street #5,"$1,800",http://streeteasy.com/rental/1734245
244,324 7th Avenue #2R,"$2,650",http://streeteasy.com/building/324-7-avenue-brooklyn/2r
245,254 Manhattan Avenue #B1,"$2,000",http://streeteasy.com/building/254-manhattan-avenue-manhattan/b1
246,254 Manhattan Avenue #B2,"$3,000",http://streeteasy.com/building/254-manhattan-avenue-manhattan/b2
247,349E 49th Street #1A,"$2,550",http://streeteasy.com/building/beekman-court/1a
248,114 Ludlow Street #5F,"$2,895",http://streeteasy.com/building/112-ludlow-street-manhattan/5f
249,400 West 37th Street #10J,"$3,000",http://streeteasy.com/building/hudson-crossing/10j
250,303 E 83rd Street #26C,"$3,260",http://streeteasy.com/building/303-east-83rd/26c
251,240 East 27th Street #24B,"$4,035",http://streeteasy.com/building/parc-east/24b
252,25 Broad Street #21K,"$5,168",http://streeteasy.com/building/25-broad-street-at-the-exchange/21k?featured=1
253,137 Sullivan Street #26,"$2,850",http://streeteasy.com/building/137-sullivan-street-new_york/26?featured=1
254,312 E 69th Street #2G,"$1,895",http://streeteasy.com/building/312-east-69-street-manhattan/2g
255,573 7th Street #1,"$2,400",http://streeteasy.com/rental/1734234
256,8701 Shore Road #25,"$3,500",http://streeteasy.com/building/8701-shore-road-brooklyn/25
257,453 Court Street #3L,"$3,800",http://streeteasy.com/building/453-court-street-brooklyn/3l
258,347 E 76th Street #3D,"$1,850",http://streeteasy.com/building/347-east-76-street-new_york/3d
259,201 E 76th Street #3D,"$2,200",http://streeteasy.com/building/1329-3-avenue-new_york/3d
260,1885 Amsterdam Avenue #3A,"$2,200",http://streeteasy.com/rental/1734222
261,128 Marine Avenue #4K,"$2,600",http://streeteasy.com/building/128-marine-avenue-brooklyn/4k
262,407 East 77th Street #5W,"$2,200",http://streeteasy.com/building/407-east-77-street-manhattan/5w
263,25-51 12th Street #2,"$2,600",http://streeteasy.com/building/25_51-12-street-queens/2
264,93 East 7th Street #GRW,"$1,675",http://streeteasy.com/building/93-east-7-street-manhattan/grw
265,93 Bainbridge Street #3,"$1,950",http://streeteasy.com/building/93-bainbridge-street-brooklyn/3
266,500 East 77th Street #3519,"$7,787",http://streeteasy.com/building/the-pavilion/3519?featured=1
267,335 Carroll Street #2E,"$3,200",http://streeteasy.com/building/335-carroll-street-brooklyn/2e?featured=1
268,223 Knickerbocker #1,"$2,800",http://streeteasy.com/building/223-knickerbocker-avenue-brooklyn/1
269,315 Melrose Street #1,"$2,800",http://streeteasy.com/building/315-melrose-street-brooklyn/1
270,263 14th Street #11,"$2,200",http://streeteasy.com/building/261-14-street-brooklyn/11
271,294 3rd Avenue #4,"$2,100",http://streeteasy.com/building/294-3-avenue-manhattan/4
272,343 East 51st Street #5E,"$2,950",http://streeteasy.com/building/343-east-51-street-new_york/5e
273,605 6th Street #1R,"$2,300",http://streeteasy.com/building/605-6-street-brooklyn/1r
274,129 W 116th #4B,"$2,600",http://streeteasy.com/building/129-west-116-street-new_york/4b
275,1716 Himrod Street #2L,"$1,999",http://streeteasy.com/building/17_16-himrod-street-queens/2l
276,73 Driggs Avenue #1,"$2,000",http://streeteasy.com/building/73-driggs-avenue-brooklyn/1
277,8315 4 #1,"$2,300",http://streeteasy.com/building/8315-4-avenue-brooklyn/1
278,2305 31st Dr. #5,"$3,700",http://streeteasy.com/building/31_41-23-street-queens/5
279,234 East 33rd Street #1D,"$3,000",http://streeteasy.com/rental/1734185
280,95 Dupont Street #PH4,"$4,199",http://streeteasy.com/building/95-dupont-street-brooklyn/ph4?featured=1
281,128 2nd Avenue #A,"$3,650",http://streeteasy.com/building/128-2-avenue-new_york/a?featured=1
282,234 East 33rd Street #3D,"$3,000",http://streeteasy.com/rental/1734184
283,234 East 33rd Street #B,"$2,500",http://streeteasy.com/rental/1734183
284,30-30 37th Street #2,"$4,000",http://streeteasy.com/building/30_30-37-street-queens/2
285,240 East 86th Street #12N,"$6,475",http://streeteasy.com/building/the-ventura/12n
286,240 East 86th Street #12H,"$4,095",http://streeteasy.com/building/the-ventura/12h
287,240 East 86th Street #12F,"$3,210",http://streeteasy.com/building/the-ventura/12f
288,150 E 44th Street #44A,"$3,625",http://streeteasy.com/building/the-metropolis/44a
289,5-11 47th Avenue #9A,"$2,825",http://streeteasy.com/building/the-maximilian/9a
290,200 West 67th Street #36A,"$11,100",http://streeteasy.com/building/aire-200-west-67th-street-new_york/36a
291,70 Pine Street 1026-+-TERRA,"$3,377",http://streeteasy.com/building/70-pine-street-new_york/1026-terrace
292,518 East 12th Street #1B,"$5,500",http://streeteasy.com/rental/1734139
293,505 W 37th Street #4304,"$4,150",http://streeteasy.com/building/505w37-505-west-37-street-new_york/4304
294,90 West Street #20M,"$4,195",http://streeteasy.com/building/90-west-street-new_york/20m?featured=1
295,45-22 43rd Avenue #2A,"$2,575",http://streeteasy.com/building/43_06-46-street-sunnyside/2a?featured=1
296,240 West 73rd Street #1601,"$1,929",http://streeteasy.com/building/240-west-73-street-new_york/1601
297,160 W 24th Street #18O,"$3,610",http://streeteasy.com/building/the-chelsea/18o
298,2 Gold Street #4503,"$5,550",http://streeteasy.com/building/2-gold-street-new_york/4503
299,121 Seaman Avenue #4C,"$2,000",http://streeteasy.com/building/121-seaman-avenue-new_york/4c
