"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"Astra 1G ","Luxembourg","Commercial","Communications","GEO","1436.08","3,379",1997-12-02,"Baikonur Cosmodrome",35785.5
"Astra 1H ","Luxembourg","Commercial","Communications","GEO","1436.04","3,690",1999-06-18,"Baikonur Cosmodrome",35785
"Astra 1KR","Luxembourg","Commercial","Communications","GEO","1436.1","4,332",2006-04-20,"Cape Canaveral",35786.5
"Astra 1L","Luxembourg","Commercial","Communications","GEO","1436.03","4,500",2007-05-04,"Guiana Space Center",35785
"Astra 1M","Luxembourg","Commercial","Communications","GEO","1438.2","5,345",2008-11-05,"Baikonur Cosmodrome",35828
"Astra 1N","Luxembourg","Commercial","Communications","GEO","1434.1","5,350",2011-08-06,"Guiana Space Center",35747.5
"Astra 2A ","Luxembourg","Commercial","Communications","GEO","1436.12","3,635",1998-08-30,"Baikonur Cosmodrome",35786.5
"Astra 2B ","Luxembourg","Commercial","Communications","GEO","1436.11","3,315",2000-09-14,"Guiana Space Center",35786.5
"Astra 2C ","Luxembourg","Commercial","Communications","GEO","1436.12","3,643",2001-06-16,"Baikonur Cosmodrome",35786
"Astra 2D","Luxembourg","Commercial","Communications","GEO","1436.1","1,420",2000-12-19,"Guiana Space Center",35786
"Astra 2E","Luxembourg","Commercial","Communications","GEO","1436.12","6,052",2013-09-29,"Baikonur Cosmodrome",35787
"Astra 2F","Luxembourg","Commercial","Communications","GEO","1436.07","6,000",2012-09-28,"Guiana Space Center",35786
"Astra 2G","NR","Commercial","Communications","GEO","1436.11","6,000",2014-12-27,"Baikonur Cosmodrome",35787
"Astra 3A ","Luxembourg","Commercial","Communications","GEO","1436.07","1,500",2002-03-29,"Guiana Space Center",35787
"Astra 3B","Luxembourg","Commercial","Communications","GEO","1436.11","5,471",2010-05-21,"Guiana Space Center",35787
"Astra 5B","Luxembourg","Commercial","Communications","GEO","1436.26","5,724",2014-03-22,"Guiana Space Center",35790
"Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite)","NR","Government/Military","Communications","GEO","1436.06","3,080",2014-02-06,"Guiana Space Center",35786
"Aurora  (Tabletsat-2U-EO)","Russia","Commercial","Technology Development","LEO","96.7","25",2014-06-19,"Dombarovsky Air Base",600.5
"Azerspace/Africasat-1a (Azersat-1)","Azerbaijan","Government","Communications","GEO","1436.08","3,250",2013-02-07,"Guiana Space Center",35786
"Badr 4 (Arabsat 4B)","NR","Government","Communications","GEO","1436.06","3,304",2006-11-08,"Baikonur Cosmodrome",35785.5
"Badr 5 (Arabsat 5B)","NR","Government","Communications","GEO","1439.76","5,420",2010-06-03,"Baikonur Cosmodrome",35858.5
"Badr 5A (Arabsat 5A)","NR","Government","Communications","GEO","1427.27","4,940",2010-06-26,"Guiana Space Center",35614
"Badr 6 (Arabsat 4AR)","NR","Government","Communications","GEO","1436.1","3,400",2008-07-07,"Guiana Space Center",35786.5
"BeeSat-1 (Berlin Experimental and Educational Satellite 1)","Germany","Civil","Technology Development","LEO","99","1",2009-09-23,"Sriharikota Launch Station",713.5
"BeeSat-2 (Berlin Experimental and Educational Satellite 2)","Germany","Civil","Technology Development","LEO","96.01","1",2013-04-19,"Baikonur Cosmodrome",567
"BeeSat-3 (Berlin Experimental and Educational Satellite 3)","Germany","Civil","Technology Development","LEO","96.01","1",2013-04-19,"Baikonur Cosmodrome",567.5
"Beidou 2-12 (Compass M3)","China","Military","Navigation/Global Positioning","MEO","773.19","2,200",2012-04-28,"Xichang Satellite Launch Center",21527.5
"Beidou 2-13 (Compass M4)","China","Military","Navigation/Global Positioning","MEO","773.21","2,200",2012-04-28,"Xichang Satellite Launch Center",21527.5
"Beidou 2-14 (Compass M5)","China","Military","Navigation/Global Positioning","MEO","773.1","3,800",2012-09-18,"Xichang Satellite Launch Center",21526.5
"Beidou 2-15 (Compass M6)","China","Military","Navigation/Global Positioning","MEO","773.1","3,800",2012-09-18,"Xichang Satellite Launch Center",21525.5
"Beidou 2-16 (Compass G-6)","China","Military","Navigation/Global Positioning","GEO","1436.11","3,800",2012-10-25,"Xichang Satellite Launch Center",35787
"Beidou 3I-1S","China","Military","Navigation/Global Positioning","GEO","1461.81","4,200",NA,"Xichang Satellite Launch Center",36288.5
"Beidou 3M-1S","NR","Military","Navigation/Global Positioning","MEO","773.2","800",2015-07-25,"Xichang Satellite Launch Center",21534.5
"Beidou 3M-2S","NR","Military","Navigation/Global Positioning","MEO","773.3","800",2015-07-25,"Xichang Satellite Launch Center",21535.5
"Beidou G1 (Compass G-1)","China","Military","Navigation/Global Positioning","GEO","1436.05","2,200",2010-01-16,"Xichang Satellite Launch Center",35785.5
"Beidou G3 (Compass G-3)","China","Military","Navigation/Global Positioning","GEO","1436.05","2,200",2010-06-02,"Xichang Satellite Launch Center",35785.5
"Beidou G4 (Compass G-4)","China","Military","Navigation/Global Positioning","GEO","1436.1","6,000",2010-10-31,"Xichang Satellite Launch Center",35786.5
"Beidou G5 (Compass G-11)","China","Military","Navigation/Global Positioning","GEO","1436.15","2,300",2012-02-24,"Xichang Satellite Launch Center",35787.5
"Beidou IGSO-1 (Compass G-5)","China","Military","Navigation/Global Positioning","GEO","1435.82","4,200",2010-07-31,"Xichang Satellite Launch Center",35781.5
"Beidou IGSO-2 (Compass G-7)","China","Military","Navigation/Global Positioning","GEO","1436.12","4,200",2010-12-17,"Xichang Satellite Launch Center",35767
"Beidou IGSO-3 (Compass G-8)","China","Military","Navigation/Global Positioning","GEO","1435.93","4,200",2011-04-09,"Xichang Satellite Launch Center",36782.5
"Beidou IGSO-4 (Compass G-9)","China","Military","Navigation/Global Positioning","GEO","1435.1","4,200",2011-07-26,"Xichang Satellite Launch Center",35793.5
"Beidou ISGO-5 (Compass G-10)","China","Military","Navigation/Global Positioning","GEO","1436.08","4,200",2011-12-01,"Xichang Satellite Launch Center",35786
"Beidou M1 (Compass M1)","China","Military","Navigation/Global Positioning","MEO","773.39","2,200",2007-04-14,"Xichang Satellite Launch Center",21532
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)","China","Civil","Earth Observation","LEO","98.6","166",2005-10-27,"Plesetsk Cosmodrome",692
"Bird 2 (Bispectral InfraRed Detector 2)","Germany","Government/Civil","Earth Observation/Technology Development","LEO","94.8","92",2001-10-22,"Satish Dhawan Space Centre",510.5
"BKA 2 (BelKA 2)","Belarus","Government","Earth Observation","LEO","94.7","400",2012-07-22,"Baikonur Cosmodrome",505
"Brazilsat B-2 (Brasilsat B-2)","Brazil","Military/Commercial","Communications","GEO","1436.11","1,780",1995-03-28,"Guiana Space Center",35786.5
"Brazilsat B-3 (Brasilsat B-3)","Brazil","Commercial","Communications","GEO","1436.07","1,780",1998-02-04,"Guiana Space Center",35786
"Brazilsat B-4 (Brasilsat B-4)","Brazil","Commercial","Communications","GEO","1436.09","2,495",2000-08-17,"Guiana Space Center",35786
"BRICSat-P (Balistically Reinforced Communications Satellite, NO-83)","NR","Civil","Communications","LEO","95.19","4",2015-05-20,"Cape Canaveral",528
"BRITE-CA-1 (BRITE Toronto)","NR","Civil","Space Science","LEO","98.27","10",2014-06-19,"Dombarovsky Air Base",676
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)","Poland","Government","Space Science","LEO","99.6","10",2013-11-21,"Dombarovsky Air Base",740
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)","NR","Government","Space Science","LEO","97.1","10",2014-08-19,"Taiyuan Launch Center",621.5
"BSAT-3A","Japan","Commercial","Communications","GEO","1436.1","1,980",2007-08-14,"Guiana Space Center",35786
"BSAT-3B","Japan","Commercial","Communications","GEO","1365.61","2,060",2010-10-28,"Guiana Space Center",34395.5
"BSAT-3C/JCSat 110-R","Japan","Commercial","Communications","GEO","1436.04","2,910",2011-08-06,"Guiana Space Center",35785.5
"Bugsat-1 (Tita)","NR","Commercial","Technology Development","LEO","96.55","25",2014-06-19,"Dombarovsky Air Base",593.5
"C/NOFS (Communication/Navigation Outage Forecasting System)","USA","Military","Technology Development","LEO","96.85","384",2008-04-16,"L-1011 Aircraft",448.5
"Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation)","France","Government","Earth Science","LEO","98.8","587",2006-04-28,"Vandenberg AFB",702.5
"Canopus-B (Kanopus Vulcan 1) ","Russia","Government","Earth Observation","LEO","94.7","400",2012-07-22,"Baikonur Cosmodrome",503
"Can-X2 (Canadian Advanced Nanospace experiment)","Canada","Civil","Technology Development","LEO","97.1","7",2008-04-28,"Sriharikota Launch Station",619
"Can-X3a  (BRIght-star Target Explorer (BRITE), UniBRITE-1)","Austria","Civil","Space Science","LEO","100.3","5",2013-02-25,"Satish Dhawan Space Centre",777
"Can-X4","NR","Civil","Technology Development","LEO","98.26","15",2014-06-30,"Sriharikota Launch Station",650.5
"Can-X5","NR","Civil","Technology Development","LEO","97.72","15",2014-06-30,"Sriharikota Launch Station",649.5
"CartoSat 1 (IRS P5)","India","Government","Earth Observation","LEO","97.1","1,560",2005-05-05,"Satish Dhawan Space Centre",618.5
"CartoSat 2 (IRS P7, CartoSat 2AT)","India","Government","Earth Observation","LEO","97.4","680",2007-01-10,"Satish Dhawan Space Centre",633.5
"CartoSat 2A","India","Military","Earth Observation","LEO","97.4","680",2008-04-28,"Sriharikota Launch Station",633.5
"CartoSat 2B","India","Government","Earth Observation","LEO","97.4","694",2010-07-12,"Sriharikota Launch Station",633.5
"CBERS 4 (China-Brazil Earth Resources Satellite 4)","NR","Government","Earth Observation","LEO","99.67","1,980",2014-12-07,"Taiyuan Launch Center",743
"CBNT-1 (Carbonite 1)","NR","Commercial","Technology Development","LEO","97.66","91",2015-07-10,"Satish Dhawan Space Centre",647
"CFESat (Cibola Flight Experiment Satellite)","USA","Government","Technology Development","LEO","95.5","159",2007-03-09,"Cape Canaveral",541
"ChinaSat 11 (Zhong Xing 11)","China","Commercial","Communications","GEO","1436.14","5,100",2013-05-01,"Xichang Satellite Launch Center",35787
"ChinaSat 6B (Zhong Xing 6B)","China","Commercial/Government","Communications","GEO","1436.1","4,600",2007-07-06,"Xichang Satellite Launch Center",35787
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)","China","Government","Communications","LEO","99.6","100",2003-10-21,"Taiyuan Launch Center",738.5
"Chuangxin 1-2 (Innovation 1-2)","China","Government","Earth Observation","LEO","98.5","101",2008-11-05,"Jiuquan Satellite Launch Center",794.5
"Chuangxin 1-3 (Innovation 1-3)","China","Government","Earth Observation","LEO","100.7","100",2011-11-20,"Jiuquan Satellite Launch Center",794
"Chuangxin 1-4 (Innovation 1-4)","China","Government","Earth Observation","LEO","100.74","100",2014-09-04,"Jiuquan Satellite Launch Center",793.5
"Chuangxin-3","China","Government","Technology Development","LEO","96.43","200",2013-07-19,"Taiyuan Launch Center",668.5
"ChubuSat 1 (Kinshachi)","NR","Civil","Technology Development","LEO","95.07","50",2014-11-06,"Dombarovsky Air Base",522
"Ciel-2","Canada","Commercial","Communications","GEO","1436.05","5,585",2008-12-10,"Baikonur Cosmodrome",35785
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)","USA","Civil","Space Science","LEO","97.4","3",2012-09-13,"Vandenberg AFB",637.5
"CLIO (USA 257)","NR","Military","Communications","GEO","","",2014-09-16,"Cape Canaveral",NA
"Cloudsat","USA","Government/Civil","Earth Observation","LEO","98.8","848",2006-04-28,"Vandenberg AFB",702.5
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)","South Korea","Government","Earth Observation/Communications","GEO","1436.1","2,460",2010-06-26,"Guiana Space Center",35787
"COMSATBw-1 (COmmunications SATellite für BundesWehr)","Germany","Military","Communications","GEO","1436.1","2,440",2009-10-01,"Guiana Space Center",35786
"COMSATBw-2 (COmmunications SATellite für BundesWehr)","Germany","Military","Communications","GEO","1436.11","2,440",2010-05-21,"Guiana Space Center",35787
"Condor E2 ","NR","Military","Earth Observation","LEO","94.62","",2014-12-19,"Baikonur Cosmodrome",500
"Coriolis (Windsat)","USA","Military","Earth and Space Science","LEO","101.5","817",2003-01-06,"Vandenberg AFB",830.5
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)","NR","Government/Civil","Earth Observation","LEO","100.9","70",2006-04-15,"Vandenberg AFB",800
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)","NR","Government/Civil","Earth Observation","LEO","100.9","70",2006-04-15,"Vandenberg AFB",800
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)","NR","Government/Civil","Earth Observation","LEO","98.9","70",2006-04-15,"Vandenberg AFB",707.5
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)","NR","Government/Civil","Earth Observation","LEO","100.9","70",2006-04-15,"Vandenberg AFB",800
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)","NR","Government/Civil","Earth Observation","LEO","100.9","70",2006-04-15,"Vandenberg AFB",800
"Cosmos 2504","NR","Military","Technology Development","LEO","112.41","",2015-03-31,"Plesetsk Cosmodrome",1337.5
"COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation)","Italy","Civil/Military","Earth Observation","LEO","97.2","1,700",2007-06-08,"Vandenberg AFB",622.5
"COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation)","Italy","Military/Government","Earth Observation","LEO","97.2","1,700",2007-12-09,"Vandenberg AFB",622.5
"COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation)","Italy","Military/Government","Earth Observation","LEO","97.2","1,700",2008-10-25,"Vandenberg AFB",622.5
"COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation)","Italy","Military/Government","Earth Observation","LEO","97.2","1,700",2010-11-06,"Vandenberg AFB",622.5
"CP-10 (Exocube)","NR","Civil","Earth Observation","LEO","95.6","4",2015-01-31,"Vandenberg AFB",552.5
"Cryosat-2 ","ESA","Government","Earth Observation","LEO","99.2","720",2010-04-08,"Baikonur Cosmodrome",718.5
"CSSWE (Colorado Student Space Weather Experiment)","USA","Civil","Earth Science","LEO","97.4","3",2012-09-13,"Vandenberg AFB",635
"Cubebug 1  (Capitán Beto)","Argentina","Civil","Technology Development","LEO","97.55","2",2013-04-26,"Jiuquan Satellite Launch Center",641.5
"Cubebug 2 (Manolito, LO-74)","NR","Civil","Technology Development","LEO","97.8","2",2013-11-21,"Dombarovsky Air Base",654.5
"Cubesat XI-IV (Oscar 57, CO-57)","Japan","Civil","Technology Development","LEO","101.3","",2003-06-30,"Plesetsk Cosmodrome",822.5
"CUSat-1 (Cornell University Satellite 1)","NR","Civil","Technology Development","LEO","102.89","",2013-09-29,"Vandenberg AFB",895.5
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)","NR","Government","Earth Observation","LEO","97.36","2,120",2014-05-24,"Tanegashima Space Center",632.5
"DANDE (Drag and Atmospheric Neutral Density Explorer)","NR","Civil/Government","Technology Development","LEO","103","50",2013-09-29,"Vandenberg AFB",900.5
"Deimos 1","Spain","Government","Earth Observation","LEO","98","90",2009-07-29,"Baikonur Cosmodrome",661.5
"Deimos 2 ","NR","Government","Earth Observation","LEO","96.85","310",2014-06-19,"Dombarovsky Air Base",608
"Delfi-C3 (DO-64)","NR","Civil","Technology Development","LEO","96.8","7",2008-04-28,"Sriharikota Launch Station",607
