Rk,Date,DOW,nMonth,Month,Year,Game#,Game_ID,Tm,Opp,Rslt,Attendance,Temp,Sky,DayNight,Opening_Day
550,5/19/09,Tuesday,5,May,2009,1,18,New York Yankees,Baltimore Orioles,W 9-1,42838,61,Clear,Night,NO
549,5/20/09,Wednesday,5,May,2009,1,19,New York Yankees,Baltimore Orioles,W 11-4,43903,70,Clear,Night,NO
548,5/21/09,Thursday,5,May,2009,1,20,New York Yankees,Baltimore Orioles,W 7-4,43342,75,Clear,Night,NO
547,5/22/09,Friday,5,May,2009,1,21,New York Yankees,Philadelphia Phillies,L 3-7,46288,80,Cloudy,Night,NO
546,5/23/09,Saturday,5,May,2009,1,22,New York Yankees,Philadelphia Phillies,W 5-4,46889,69,Cloudy,Day,NO
545,5/24/09,Sunday,5,May,2009,1,23,New York Yankees,Philadelphia Phillies,L 3-4,46986,78,Cloudy,Day,NO
544,6/2/09,Tuesday,6,June,2009,1,24,New York Yankees,Texas Rangers,W 12-3,43948,72,Cloudy,Night,NO
543,6/3/09,Wednesday,6,June,2009,1,25,New York Yankees,Texas Rangers,L 2-4,44452,55,Rain,Night,NO
542,6/4/09,Thursday,6,June,2009,1,26,New York Yankees,Texas Rangers,W 8-6,45713,65,Cloudy,Day,NO
541,6/6/09,Saturday,6,June,2009,1,27,New York Yankees,Tampa Bay Rays,L 7-9,46205,71,Clear,Day,NO
540,6/7/09,Sunday,6,June,2009,1,28,New York Yankees,Tampa Bay Rays,W 4-3,46465,77,Cloudy,Day,NO
539,6/8/09,Monday,6,June,2009,1,29,New York Yankees,Tampa Bay Rays,W 5-3,44706,72,Cloudy,Night,NO
538,6/12/09,Friday,6,June,2009,1,30,New York Yankees,New York Mets,W 9-8,47967,77,Cloudy,Night,NO
537,6/13/09,Saturday,6,June,2009,1,31,New York Yankees,New York Mets,L 2-6,48056,67,Rain,Day,NO
536,6/14/09,Sunday,6,June,2009,1,32,New York Yankees,New York Mets,W 15-0,47943,68,Cloudy,Day,NO
535,6/16/09,Tuesday,6,June,2009,1,33,New York Yankees,Washington Nationals,W 5-3,44873,63,Cloudy,Night,NO
534,6/17/09,Wednesday,6,June,2009,1,34,New York Yankees,Washington Nationals,L 2-3,46052,62,Cloudy,Night,NO
533,6/18/09,Thursday,6,June,2009,1,35,New York Yankees,Washington Nationals,L 0-3,45143,63,Cloudy,Night,NO
532,6/30/09,Tuesday,6,June,2009,1,36,New York Yankees,Seattle Mariners,W 8-5,46181,65,Rain,Night,NO
531,7/1/09,Wednesday,7,July,2009,1,37,New York Yankees,Seattle Mariners,W 4-2,45285,72,Cloudy,Night,NO
530,7/2/09,Thursday,7,July,2009,1,38,New York Yankees,Seattle Mariners,L 4-8,46142,73,Rain,Night,NO
529,7/3/09,Friday,7,July,2009,1,39,New York Yankees,Toronto Blue Jays,W 4-2,46308,73,Cloudy,Day,NO
528,7/4/09,Saturday,7,July,2009,1,40,New York Yankees,Toronto Blue Jays,W 6-5,46620,76,Cloudy,Day,NO
527,7/5/09,Sunday,7,July,2009,1,41,New York Yankees,Toronto Blue Jays,W 10-8,46320,75,Clear,Day,NO
526,7/6/09,Monday,7,July,2009,1,42,New York Yankees,Toronto Blue Jays,L 6-7,46450,80,Clear,Day,NO
525,7/17/09,Friday,7,July,2009,1,43,New York Yankees,Detroit Tigers,W 5-3,46197,78,Cloudy,Night,NO
524,7/18/09,Saturday,7,July,2009,1,44,New York Yankees,Detroit Tigers,W 2-1,46423,80,Cloudy,Day,NO
523,7/19/09,Sunday,7,July,2009,1,45,New York Yankees,Detroit Tigers,W 2-1,46937,80,Cloudy,Day,NO
522,7/20/09,Monday,7,July,2009,1,46,New York Yankees,Baltimore Orioles,W 2-1,46342,78,Cloudy,Night,NO
521,7/21/09,Tuesday,7,July,2009,1,47,New York Yankees,Baltimore Orioles,W 6-4,45589,68,Cloudy,Night,NO
520,7/22/09,Wednesday,7,July,2009,1,48,New York Yankees,Baltimore Orioles,W 6-4,47134,79,Cloudy,Day,NO
519,7/23/09,Thursday,7,July,2009,1,49,New York Yankees,Oakland Athletics,W 6-3,44206,66,Rain,Night,NO
518,7/24/09,Friday,7,July,2009,1,50,New York Yankees,Oakland Athletics,W 8-3,46086,76,Cloudy,Night,NO
517,7/25/09,Saturday,7,July,2009,1,51,New York Yankees,Oakland Athletics,L 4-6,46412,81,Cloudy,Day,NO
516,7/26/09,Sunday,7,July,2009,1,52,New York Yankees,Oakland Athletics,W 7-5,46163,81,Rain,Day,NO
515,8/6/09,Thursday,8,August,2009,1,53,New York Yankees,Boston Red Sox,W 13-6,49005,75,Clear,Night,NO
514,8/7/09,Friday,8,August,2009,1,54,New York Yankees,Boston Red Sox,W 2-0,48262,75,Cloudy,Night,NO
513,8/8/09,Saturday,8,August,2009,1,55,New York Yankees,Boston Red Sox,W 5-0,48796,77,Cloudy,Day,NO
512,8/9/09,Sunday,8,August,2009,1,56,New York Yankees,Boston Red Sox,W 5-2,48190,77,Cloudy,Night,NO
511,8/10/09,Monday,8,August,2009,1,57,New York Yankees,Toronto Blue Jays,L 4-5,46376,89,Cloudy,Night,NO
510,8/11/09,Tuesday,8,August,2009,1,58,New York Yankees,Toronto Blue Jays,W 7-5,46523,83,Cloudy,Night,NO
509,8/12/09,Wednesday,8,August,2009,1,59,New York Yankees,Toronto Blue Jays,W 4-3,47113,80,Clear,Day,NO
508,8/25/09,Tuesday,8,August,2009,1,60,New York Yankees,Texas Rangers,L 9-10,46511,80,Cloudy,Night,NO
507,8/26/09,Wednesday,8,August,2009,1,61,New York Yankees,Texas Rangers,W 9-2,46461,81,Cloudy,Night,NO
506,8/27/09,Thursday,8,August,2009,1,62,New York Yankees,Texas Rangers,L 2-7,47209,73,Clear,Day,NO
505,8/28/09,Friday,8,August,2009,1,63,New York Yankees,Chicago White Sox,W 5-2,46318,67,Rain,Night,NO
504,8/29/09,Saturday,8,August,2009,1,64,New York Yankees,Chicago White Sox,W 10-0,46193,70,Clear,Day,NO
503,8/30/09,Sunday,8,August,2009,1,65,New York Yankees,Chicago White Sox,W 8-3,46664,76,Cloudy,Day,NO
501,9/7/09,Monday,9,September,2009,2,66,New York Yankees,Tampa Bay Rays,W 11-1,45953,69,Cloudy,Night,NO
502,9/7/09,Monday,9,September,2009,1,67,New York Yankees,Tampa Bay Rays,W 4-1,47436,71,Cloudy,Day,NO
500,9/8/09,Tuesday,9,September,2009,1,68,New York Yankees,Tampa Bay Rays,W 3-2,45350,72,Clear,Night,NO
499,9/9/09,Wednesday,9,September,2009,1,69,New York Yankees,Tampa Bay Rays,W 4-2,45848,72,Clear,Night,NO
498,9/11/09,Friday,9,September,2009,1,70,New York Yankees,Baltimore Orioles,L 4-10,46771,65,Rain,Night,NO
497,9/12/09,Saturday,9,September,2009,1,71,New York Yankees,Baltimore Orioles,L 3-7,46497,66,Rain,Day,NO
496,9/13/09,Sunday,9,September,2009,1,72,New York Yankees,Baltimore Orioles,W 13-3,46413,75,Cloudy,Day,NO
495,9/14/09,Monday,9,September,2009,1,73,New York Yankees,Los Angeles Angels,W 5-3,44701,74,Cloudy,Night,NO
494,9/15/09,Tuesday,9,September,2009,1,74,New York Yankees,Toronto Blue Jays,L 4-10,45847,75,Cloudy,Night,NO
493,9/16/09,Wednesday,9,September,2009,1,75,New York Yankees,Toronto Blue Jays,W 5-4,46046,64,Cloudy,Night,NO
492,9/25/09,Friday,9,September,2009,1,76,New York Yankees,Boston Red Sox,W 9-5,48449,63,Clear,Night,NO
491,9/26/09,Saturday,9,September,2009,1,77,New York Yankees,Boston Red Sox,W 3-0,48809,63,Clear,Day,NO
490,9/27/09,Sunday,9,September,2009,1,78,New York Yankees,Boston Red Sox,W 4-2,47576,66,Rain,Day,NO
489,9/28/09,Monday,9,September,2009,1,79,New York Yankees,Kansas City Royals,W 8-2,45348,60,Clear,Night,NO
488,9/29/09,Tuesday,9,September,2009,1,80,New York Yankees,Kansas City Royals,W 4-3,44794,61,Cloudy,Night,NO
487,9/30/09,Wednesday,9,September,2009,1,81,New York Yankees,Kansas City Royals,L 3-4,46956,54,Cloudy,Night,NO
486,4/13/10,Tuesday,4,April,2010,1,1,New York Yankees,Los Angeles Angels,W 7-5,49293,55,Clear,Day,YES
485,4/14/10,Wednesday,4,April,2010,1,2,New York Yankees,Los Angeles Angels,L 3-5,42372,62,Clear,Day,NO
484,4/15/10,Thursday,4,April,2010,1,3,New York Yankees,Los Angeles Angels,W 6-2,44722,71,Cloudy,Night,NO
483,4/16/10,Friday,4,April,2010,1,4,New York Yankees,Texas Rangers,W 5-1,42145,50,Cloudy,Night,NO
482,4/17/10,Saturday,4,April,2010,1,5,New York Yankees,Texas Rangers,W 7-3,44963,55,Clear,Day,NO
481,4/18/10,Sunday,4,April,2010,1,6,New York Yankees,Texas Rangers,W 5-2,44121,53,Cloudy,Day,NO
480,4/30/10,Friday,4,April,2010,1,7,New York Yankees,Chicago White Sox,W 6-4,44783,70,Clear,Night,NO
479,5/1/10,Saturday,5,May,2010,1,8,New York Yankees,Chicago White Sox,L 6-7,45265,71,Clear,Day,NO
478,5/2/10,Sunday,5,May,2010,1,9,New York Yankees,Chicago White Sox,W 12-3,45303,84,Cloudy,Day,NO
477,5/3/10,Monday,5,May,2010,1,10,New York Yankees,Baltimore Orioles,W 4-1,41571,74,Cloudy,Night,NO
476,5/4/10,Tuesday,5,May,2010,1,11,New York Yankees,Baltimore Orioles,W 4-1,43260,72,Cloudy,Night,NO
475,5/5/10,Wednesday,5,May,2010,1,12,New York Yankees,Baltimore Orioles,W 7-5,43425,77,Clear,Day,NO
474,5/14/10,Friday,5,May,2010,1,13,New York Yankees,Minnesota Twins,W 8-4,45195,78,Cloudy,Night,NO
473,5/15/10,Saturday,5,May,2010,1,14,New York Yankees,Minnesota Twins,W 7-1,46347,68,Cloudy,Day,NO
472,5/16/10,Sunday,5,May,2010,1,15,New York Yankees,Minnesota Twins,L 3-6,46628,67,Cloudy,Day,NO
471,5/17/10,Monday,5,May,2010,1,16,New York Yankees,Boston Red Sox,W 11-9,48271,67,Cloudy,Night,NO
470,5/18/10,Tuesday,5,May,2010,1,17,New York Yankees,Boston Red Sox,L 6-7,47734,51,Rain,Night,NO
469,5/19/10,Wednesday,5,May,2010,1,18,New York Yankees,Tampa Bay Rays,L 6-10,43283,62,Cloudy,Night,NO
468,5/20/10,Thursday,5,May,2010,1,19,New York Yankees,Tampa Bay Rays,L 6-8,45483,75,Clear,Night,NO
467,5/28/10,Friday,5,May,2010,1,20,New York Yankees,Cleveland Indians,W 8-2,44634,65,Cloudy,Night,NO
466,5/29/10,Saturday,5,May,2010,1,21,New York Yankees,Cleveland Indians,L 11-13,46599,74,Cloudy,Day,NO
465,5/30/10,Sunday,5,May,2010,1,22,New York Yankees,Cleveland Indians,W 7-3,45706,80,Cloudy,Day,NO
464,5/31/10,Monday,5,May,2010,1,23,New York Yankees,Cleveland Indians,W 11-2,44976,80,Clear,Day,NO
463,6/1/10,Tuesday,6,June,2010,1,24,New York Yankees,Baltimore Orioles,W 3-1,43059,76,Cloudy,Night,NO
462,6/2/10,Wednesday,6,June,2010,1,25,New York Yankees,Baltimore Orioles,W 9-1,44465,79,Cloudy,Night,NO
461,6/3/10,Thursday,6,June,2010,1,26,New York Yankees,Baltimore Orioles,W 6-3,44927,85,Cloudy,Day,NO
460,6/11/10,Friday,6,June,2010,1,27,New York Yankees,Houston Astros,W 4-3,46883,67,Cloudy,Night,NO
459,6/12/10,Saturday,6,June,2010,1,28,New York Yankees,Houston Astros,W 9-3,46159,71,Cloudy,Day,NO
458,6/13/10,Sunday,6,June,2010,1,29,New York Yankees,Houston Astros,W 9-5,46832,73,Cloudy,Day,NO
457,6/15/10,Tuesday,6,June,2010,1,30,New York Yankees,Philadelphia Phillies,W 8-3,47135,73,Cloudy,Night,NO
456,6/16/10,Wednesday,6,June,2010,1,31,New York Yankees,Philadelphia Phillies,L 3-6,47414,72,Clear,Night,NO
455,6/17/10,Thursday,6,June,2010,1,32,New York Yankees,Philadelphia Phillies,L 1-7,47204,71,Clear,Night,NO
454,6/18/10,Friday,6,June,2010,1,33,New York Yankees,New York Mets,L 0-4,49220,79,Clear,Night,NO
453,6/19/10,Saturday,6,June,2010,1,34,New York Yankees,New York Mets,W 5-3,49073,80,Clear,Day,NO
452,6/20/10,Sunday,6,June,2010,1,35,New York Yankees,New York Mets,W 4-0,49240,86,Cloudy,Day,NO
451,6/29/10,Tuesday,6,June,2010,1,36,New York Yankees,Seattle Mariners,L 4-7,45780,84,Cloudy,Night,NO
450,6/30/10,Wednesday,6,June,2010,1,37,New York Yankees,Seattle Mariners,L 0-7,46309,77,Cloudy,Night,NO
449,7/1/10,Thursday,7,July,2010,1,38,New York Yankees,Seattle Mariners,W 4-2,45591,74,Cloudy,Day,NO
448,7/2/10,Friday,7,July,2010,1,39,New York Yankees,Toronto Blue Jays,L 1-6,45792,77,Cloudy,Day,NO
447,7/3/10,Saturday,7,July,2010,1,40,New York Yankees,Toronto Blue Jays,W 11-3,46364,84,Cloudy,Day,NO
446,7/4/10,Sunday,7,July,2010,1,41,New York Yankees,Toronto Blue Jays,W 7-6,46810,93,Clear,Day,NO
445,7/16/10,Friday,7,July,2010,1,42,New York Yankees,Tampa Bay Rays,W 5-4,47524,90,Cloudy,Night,NO
444,7/17/10,Saturday,7,July,2010,1,43,New York Yankees,Tampa Bay Rays,L 5-10,48957,93,Cloudy,Day,NO
443,7/18/10,Sunday,7,July,2010,1,44,New York Yankees,Tampa Bay Rays,W 9-5,46969,91,Cloudy,Day,NO
442,7/20/10,Tuesday,7,July,2010,1,45,New York Yankees,Los Angeles Angels,L 2-10,47775,85,Cloudy,Night,NO
441,7/21/10,Wednesday,7,July,2010,1,46,New York Yankees,Los Angeles Angels,W 10-6,47521,88,Cloudy,Day,NO
440,7/22/10,Thursday,7,July,2010,1,47,New York Yankees,Kansas City Royals,W 10-4,47484,84,Cloudy,Night,NO
439,7/23/10,Friday,7,July,2010,1,48,New York Yankees,Kansas City Royals,W 7-1,46801,86,Cloudy,Night,NO
438,7/24/10,Saturday,7,July,2010,1,49,New York Yankees,Kansas City Royals,L 4-7,48138,89,Cloudy,Day,NO
437,7/25/10,Sunday,7,July,2010,1,50,New York Yankees,Kansas City Royals,W 12-6,47890,90,Cloudy,Day,NO
436,8/2/10,Monday,8,August,2010,1,51,New York Yankees,Toronto Blue Jays,L 6-8,47034,78,Cloudy,Night,NO
435,8/3/10,Tuesday,8,August,2010,1,52,New York Yankees,Toronto Blue Jays,L 2-8,46480,78,Cloudy,Night,NO
434,8/4/10,Wednesday,8,August,2010,1,53,New York Yankees,Toronto Blue Jays,W 5-1,47659,89,Cloudy,Day,NO
433,8/6/10,Friday,8,August,2010,1,54,New York Yankees,Boston Red Sox,L 3-6,49555,82,Cloudy,Night,NO
432,8/7/10,Saturday,8,August,2010,1,55,New York Yankees,Boston Red Sox,W 5-2,49716,83,Cloudy,Day,NO
431,8/8/10,Sunday,8,August,2010,1,56,New York Yankees,Boston Red Sox,W 7-2,49096,77,Cloudy,Night,NO
430,8/9/10,Monday,8,August,2010,1,57,New York Yankees,Boston Red Sox,L 1-2,49476,92,Cloudy,Day,NO
429,8/16/10,Monday,8,August,2010,1,58,New York Yankees,Detroit Tigers,L 1-3,46098,80,Clear,Night,NO
428,8/17/10,Tuesday,8,August,2010,1,59,New York Yankees,Detroit Tigers,W 6-2,46906,87,Cloudy,Night,NO
427,8/18/10,Wednesday,8,August,2010,1,60,New York Yankees,Detroit Tigers,W 9-5,46479,79,Cloudy,Night,NO
426,8/19/10,Thursday,8,August,2010,1,61,New York Yankees,Detroit Tigers,W 11-5,48143,87,Clear,Day,NO
425,8/20/10,Friday,8,August,2010,1,62,New York Yankees,Seattle Mariners,L 0-6,46493,84,Clear,Night,NO
424,8/21/10,Saturday,8,August,2010,1,63,New York Yankees,Seattle Mariners,W 9-5,48158,80,Cloudy,Day,NO
423,8/22/10,Sunday,8,August,2010,1,64,New York Yankees,Seattle Mariners,W 10-0,46778,78,Rain,Day,NO
422,8/30/10,Monday,8,August,2010,1,65,New York Yankees,Oakland Athletics,W 11-5,46356,86,Clear,Night,NO
421,8/31/10,Tuesday,8,August,2010,1,66,New York Yankees,Oakland Athletics,W 9-3,44575,90,Clear,Night,NO
420,9/1/10,Wednesday,9,September,2010,1,67,New York Yankees,Oakland Athletics,W 4-3,45222,85,Clear,Night,NO
419,9/2/10,Thursday,9,September,2010,1,68,New York Yankees,Oakland Athletics,W 5-0,44644,92,Clear,Day,NO
418,9/3/10,Friday,9,September,2010,1,69,New York Yankees,Toronto Blue Jays,W 7-3,44739,80,Rain,Day,NO
417,9/4/10,Saturday,9,September,2010,1,70,New York Yankees,Toronto Blue Jays,W 7-5,47478,78,Cloudy,Day,NO
416,9/5/10,Sunday,9,September,2010,1,71,New York Yankees,Toronto Blue Jays,L 3-7,47737,72,Clear,Day,NO
415,9/6/10,Monday,9,September,2010,1,72,New York Yankees,Baltimore Orioles,L 3-4,46103,76,Cloudy,Day,NO
414,9/7/10,Tuesday,9,September,2010,1,73,New York Yankees,Baltimore Orioles,L 2-6,46432,79,Cloudy,Night,NO
413,9/8/10,Wednesday,9,September,2010,1,74,New York Yankees,Baltimore Orioles,W 3-2,44163,86,Cloudy,Day,NO
412,9/20/10,Monday,9,September,2010,1,75,New York Yankees,Tampa Bay Rays,W 8-6,47437,66,Clear,Night,NO
411,9/21/10,Tuesday,9,September,2010,1,76,New York Yankees,Tampa Bay Rays,W 8-3,46609,66,Clear,Night,NO
410,9/22/10,Wednesday,9,September,2010,1,77,New York Yankees,Tampa Bay Rays,L 2-7,46986,80,Cloudy,Night,NO
409,9/23/10,Thursday,9,September,2010,1,78,New York Yankees,Tampa Bay Rays,L 3-10,47646,71,Clear,Night,NO
408,9/24/10,Friday,9,September,2010,1,79,New York Yankees,Boston Red Sox,L 8-10,49457,75,Cloudy,Night,NO
407,9/25/10,Saturday,9,September,2010,1,80,New York Yankees,Boston Red Sox,L 3-7,49558,87,Cloudy,Day,NO
406,9/26/10,Sunday,9,September,2010,1,81,New York Yankees,Boston Red Sox,W 4-3,49199,69,Clear,Night,NO
405,3/31/11,Thursday,3,March,2011,1,1,New York Yankees,Detroit Tigers,W 6-3,48226,42,Cloudy,Day,YES
404,4/2/11,Saturday,4,April,2011,1,2,New York Yankees,Detroit Tigers,W 10-6,41462,52,Cloudy,Day,NO
403,4/3/11,Sunday,4,April,2011,1,3,New York Yankees,Detroit Tigers,L 7-10,40574,52,Cloudy,Day,NO
402,4/4/11,Monday,4,April,2011,1,4,New York Yankees,Minnesota Twins,W 4-3,40311,57,Cloudy,Night,NO
401,4/5/11,Tuesday,4,April,2011,1,5,New York Yankees,Minnesota Twins,L 4-5,40267,45,Cloudy,Night,NO
400,4/7/11,Thursday,4,April,2011,1,6,New York Yankees,Minnesota Twins,W 4-3,41512,45,Cloudy,Day,NO
399,4/13/11,Wednesday,4,April,2011,1,7,New York Yankees,Baltimore Orioles,W 7-4,42171,48,Cloudy,Night,NO
398,4/14/11,Thursday,4,April,2011,1,8,New York Yankees,Baltimore Orioles,W 6-5,40517,64,Clear,Night,NO
397,4/15/11,Friday,4,April,2011,1,9,New York Yankees,Texas Rangers,L 3-5,40814,47,Cloudy,Night,NO
396,4/16/11,Saturday,4,April,2011,1,10,New York Yankees,Texas Rangers,W 5-2,41876,46,Cloudy,Day,NO
395,4/17/11,Sunday,4,April,2011,1,11,New York Yankees,Texas Rangers,W 6-5,40811,57,Cloudy,Night,NO
394,4/25/11,Monday,4,April,2011,1,12,New York Yankees,Chicago White Sox,L 0-2,40506,61,Cloudy,Night,NO
393,4/26/11,Tuesday,4,April,2011,1,13,New York Yankees,Chicago White Sox,L 2-3,40785,70,Cloudy,Night,NO
392,4/27/11,Wednesday,4,April,2011,1,14,New York Yankees,Chicago White Sox,W 3-1,40586,65,Rain,Night,NO
391,4/28/11,Thursday,4,April,2011,1,15,New York Yankees,Chicago White Sox,W 12-3,40081,63,Rain,Night,NO
390,4/29/11,Friday,4,April,2011,1,16,New York Yankees,Toronto Blue Jays,L 3-5,40830,61,Cloudy,Night,NO
389,4/30/11,Saturday,4,April,2011,1,17,New York Yankees,Toronto Blue Jays,W 5-4,42460,62,Cloudy,Day,NO
388,5/1/11,Sunday,5,May,2011,1,18,New York Yankees,Toronto Blue Jays,W 5-2,43363,64,Cloudy,Day,NO
387,5/10/11,Tuesday,5,May,2011,1,19,New York Yankees,Kansas City Royals,W 3-1,41275,64,Cloudy,Night,NO
386,5/11/11,Wednesday,5,May,2011,1,20,New York Yankees,Kansas City Royals,L 3-4,40164,68,Clear,Night,NO
385,5/12/11,Thursday,5,May,2011,1,21,New York Yankees,Kansas City Royals,L 5-11,41790,57,Clear,Night,NO
384,5/13/11,Friday,5,May,2011,1,22,New York Yankees,Boston Red Sox,L 4-5,48254,62,Cloudy,Night,NO
383,5/14/11,Saturday,5,May,2011,1,23,New York Yankees,Boston Red Sox,L 0-6,48790,59,Clear,Night,NO
382,5/15/11,Sunday,5,May,2011,1,24,New York Yankees,Boston Red Sox,L 5-7,46945,65,Cloudy,Night,NO
381,5/20/11,Friday,5,May,2011,1,25,New York Yankees,New York Mets,L 1-2,47874,62,Clear,Night,NO
380,5/21/11,Saturday,5,May,2011,1,26,New York Yankees,New York Mets,W 7-3,48286,62,Clear,Night,NO
379,5/22/11,Sunday,5,May,2011,1,27,New York Yankees,New York Mets,W 9-3,48293,58,Clear,Day,NO
378,5/23/11,Monday,5,May,2011,1,28,New York Yankees,Toronto Blue Jays,L 3-7,41946,63,Cloudy,Night,NO
377,5/24/11,Tuesday,5,May,2011,1,29,New York Yankees,Toronto Blue Jays,W 5-4,41519,79,Cloudy,Night,NO
376,5/25/11,Wednesday,5,May,2011,1,30,New York Yankees,Toronto Blue Jays,W 7-3,43201,78,Cloudy,Day,NO
375,6/7/11,Tuesday,6,June,2011,1,31,New York Yankees,Boston Red Sox,L 4-6,48450,85,Cloudy,Night,NO
374,6/8/11,Wednesday,6,June,2011,1,32,New York Yankees,Boston Red Sox,L 6-11,47863,90,Cloudy,Night,NO
373,6/9/11,Thursday,6,June,2011,1,33,New York Yankees,Boston Red Sox,L 3-8,48845,72,Cloudy,Night,NO
372,6/10/11,Friday,6,June,2011,1,34,New York Yankees,Cleveland Indians,W 11-7,45679,80,Cloudy,Night,NO
371,6/11/11,Saturday,6,June,2011,1,35,New York Yankees,Cleveland Indians,W 4-0,47048,65,Cloudy,Day,NO
370,6/12/11,Sunday,6,June,2011,1,36,New York Yankees,Cleveland Indians,W 9-1,46791,65,Cloudy,Day,NO
369,6/13/11,Monday,6,June,2011,1,37,New York Yankees,Cleveland Indians,L 0-1,43551,67,Cloudy,Night,NO
368,6/14/11,Tuesday,6,June,2011,1,38,New York Yankees,Texas Rangers,W 12-4,43457,62,Rain,Night,NO
367,6/15/11,Wednesday,6,June,2011,1,39,New York Yankees,Texas Rangers,W 12-4,45969,80,Clear,Night,NO
366,6/16/11,Thursday,6,June,2011,1,40,New York Yankees,Texas Rangers,W 3-2,47487,82,Cloudy,Day,NO
365,6/24/11,Friday,6,June,2011,1,41,New York Yankees,Colorado Rockies,L 2-4,46028,66,Clear,Night,NO
364,6/25/11,Saturday,6,June,2011,1,42,New York Yankees,Colorado Rockies,W 8-3,46900,76,Cloudy,Day,NO
363,6/26/11,Sunday,6,June,2011,1,43,New York Yankees,Colorado Rockies,W 6-4,47894,79,Cloudy,Day,NO
362,6/28/11,Tuesday,6,June,2011,1,44,New York Yankees,Milwaukee Brewers,W 12-2,45575,79,Clear,Night,NO
361,6/29/11,Wednesday,6,June,2011,1,45,New York Yankees,Milwaukee Brewers,W 5-2,46450,77,Cloudy,Night,NO
360,6/30/11,Thursday,6,June,2011,1,46,New York Yankees,Milwaukee Brewers,W 5-0,46903,78,Cloudy,Day,NO
359,7/7/11,Thursday,7,July,2011,1,47,New York Yankees,Tampa Bay Rays,L 1-5,47787,79,Clear,Night,NO
358,7/9/11,Saturday,7,July,2011,1,48,New York Yankees,Tampa Bay Rays,W 5-4,48103,84,Clear,Day,NO
357,7/10/11,Sunday,7,July,2011,1,49,New York Yankees,Tampa Bay Rays,W 1-0,47350,81,Cloudy,Day,NO
356,7/22/11,Friday,7,July,2011,1,50,New York Yankees,Oakland Athletics,W 17-7,46921,100,Clear,Night,NO
355,7/23/11,Saturday,7,July,2011,1,51,New York Yankees,Oakland Athletics,L 3-4,46188,93,Cloudy,Day,NO
354,7/24/11,Sunday,7,July,2011,1,52,New York Yankees,Oakland Athletics,W 7-5,45586,85,Clear,Day,NO
353,7/25/11,Monday,7,July,2011,1,53,New York Yankees,Seattle Mariners,W 10-3,44365,70,Cloudy,Night,NO
352,7/26/11,Tuesday,7,July,2011,1,54,New York Yankees,Seattle Mariners,W 4-1,46132,83,Clear,Night,NO
351,7/27/11,Wednesday,7,July,2011,1,55,New York Yankees,Seattle Mariners,L 2-9,47090,80,Cloudy,Day,NO
350,7/29/11,Friday,7,July,2011,1,56,New York Yankees,Baltimore Orioles,L 2-4,46499,78,Cloudy,Night,NO
348,7/30/11,Saturday,7,July,2011,2,57,New York Yankees,Baltimore Orioles,W 17-3,43190,87,Clear,Night,NO
349,7/30/11,Saturday,7,July,2011,1,58,New York Yankees,Baltimore Orioles,W 8-3,46469,86,Clear,Day,NO
347,7/31/11,Sunday,7,July,2011,1,59,New York Yankees,Baltimore Orioles,W 4-2,46913,85,Clear,Day,NO
