"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
2008	4973	17043	4201	10625	"less_than_9th_grade"	"Education"	14104.0401133639	9174	6418	772	0.455046919068163
2007	5036	16625	4070	10539	"less_than_9th_grade"	"Education"	13904.8133099056	9106	6086	966	0.437690162705344
2006	5283	17169	4257	10451	"less_than_9th_grade"	"Education"	14171.2509433962	9540	6718	1026	0.47405836131429
2005	5475	16321	4579	9496	"less_than_9th_grade"	"Education"	13212.617764074	10054	6825	896	0.516551687324039
2004	5520	16171	4742	9576	"less_than_9th_grade"	"Education"	13123.4956148899	10262	6595	778	0.502533790807788
2003	5405	15461	4734	9296	"less_than_9th_grade"	"Education"	12582.5001479436	10139	6165	671	0.489966217167704
2002	5705	15130	5015	8965	"less_than_9th_grade"	"Education"	12245.9071828358	10720	6165	690	0.503433507044788
2001	5809	14594	5196	8846	"less_than_9th_grade"	"Education"	11880.0874148114	11005	5748	613	0.483834823709605
2000	5724	14131	5195	8546	"less_than_9th_grade"	"Education"	11473.7900906676	10919	5585	529	0.486761563168445
1999	5728	13529	5397	8261	"less_than_9th_grade"	"Education"	10973.3688988764	11125	5268	331	0.480071348056057
1998	5641	12571	5419	7914	"less_than_9th_grade"	"Education"	10289.2384267631	11060	4657	222	0.452608813873608
1997	5839	12157	5647	7505	"less_than_9th_grade"	"Education"	9869.88142086018	11486	4652	192	0.471332916945477
1996	6139	12174	5775	7276	"less_than_9th_grade"	"Education"	9799.82256169213	11914	4898	364	0.499804967810995
1995	6277	11723	6020	7096	"less_than_9th_grade"	"Education"	9457.85077661218	12297	4627	257	0.489223197667895
1994	6507	11324	6183	6865	"less_than_9th_grade"	"Education"	9151.42340425532	12690	4459	324	0.487246606678324
1993	6734	10895	6423	6480	"less_than_9th_grade"	"Education"	8739.68001824124	13157	4415	311	0.505167236190012
1992	7000	10374	6921	6337	"less_than_9th_grade"	"Education"	8366.95474463042	13921	4037	79	0.482493347127375
1991	7143	10319	7065	6268	"less_than_9th_grade"	"Education"	8304.61972128378	14208	4051	78	0.487800782691801
2014	6445	21701	5934	12364	"9th_12th_grade"	"Education"	17225.2137490912	12379	9337	511	0.542054231431097
2013	6120	20021	5692	11840	"9th_12th_grade"	"Education"	16078.7165594311	11812	8181	428	0.508809267814437
2012	6418	19780	5898	11981	"9th_12th_grade"	"Education"	16045.1427411497	12316	7799	520	0.486066102733914
2011	6650	20437	6235	12193	"9th_12th_grade"	"Education"	16447.7613504075	12885	8244	415	0.501223225724623
2010	6625	19356	6003	12075	"9th_12th_grade"	"Education"	15894.8150934431	12628	7281	622	0.458073903797945
2009	6948	19720	6175	12278	"9th_12th_grade"	"Education"	16218.1825802027	13123	7442	773	0.458867691444314
2008	7158	20845	6413	11904	"9th_12th_grade"	"Education"	16619.9146709896	13571	8941	745	0.537969067651514
2007	7200	20643	6286	11982	"9th_12th_grade"	"Education"	16605.9952543378	13486	8661	914	0.521558621892149
2006	7684	21184	6750	11914	"9th_12th_grade"	"Education"	16848.9230982403	14434	9270	934	0.550183530778188
2005	7276	20934	6812	11136	"9th_12th_grade"	"Education"	16196.3526405451	14088	9798	464	0.604951016901927
2004	7254	19593	6982	10751	"9th_12th_grade"	"Education"	15256.4697948862	14236	8842	272	0.579557402130061
2003	7245	18990	6965	10786	"9th_12th_grade"	"Education"	14968.8275862069	14210	8204	280	0.548072315801113
2002	7488	19802	7103	10613	"9th_12th_grade"	"Education"	15328.7310670962	14591	9189	385	0.599462536055879
2001	7421	19434	7376	10330	"9th_12th_grade"	"Education"	14895.8433466243	14797	9104	45	0.611177211531507
2000	7226	18915	7565	10063	"9th_12th_grade"	"Education"	14387.5589885741	14791	8852	-339	0.615253776337585
1999	7085	17653	7525	9632	"9th_12th_grade"	"Education"	13521.7183436003	14610	8021	-440	0.593193837955978
1998	7366	17462	7559	9582	"9th_12th_grade"	"Education"	13471.0505862647	14925	7880	-193	0.584958088423675
1997	7601	16818	7661	8861	"9th_12th_grade"	"Education"	12823.8591927663	15262	7957	-60	0.620484043094326
1996	7671	16058	7929	8544	"9th_12th_grade"	"Education"	12238.865	15600	7514	-258	0.613945819322298
1995	7490	15791	8122	8057	"9th_12th_grade"	"Education"	11767.4573405073	15612	7734	-632	0.657236289557399
1994	7286	14584	7943	7618	"9th_12th_grade"	"Education"	10950.7385908464	15229	6966	-657	0.636121476392724
1993	7377	14550	8152	7187	"9th_12th_grade"	"Education"	10684.7687552321	15529	7363	-775	0.68911177852066
1992	7524	14218	8248	7293	"9th_12th_grade"	"Education"	10596.5569363429	15772	6925	-724	0.653514159514343
1991	7759	14736	8561	7055	"9th_12th_grade"	"Education"	10706.7695465686	16320	7681	-802	0.717396593490859
2014	28988	32080	27688	19208	"High_school"	"Education"	25791.6250970428	56676	12872	1300	0.499076733302697
2013	29036	31188	27640	20060	"High_school"	"Education"	25761.0482038253	56676	11128	1396	0.431970000287007
2012	28115	31064	27717	18213	"High_school"	"Education"	24684.3043595071	55832	12851	398	0.520614225656737
2011	28295	30616	28051	17887	"High_school"	"Education"	24279.0607496539	56346	12729	244	0.52427893036107
2010	28307	30250	28314	17826	"High_school"	"Education"	24037.2320163897	56621	12424	-7	0.516864836663754
2009	28946	30303	28154	18340	"High_school"	"Education"	24404.4658143608	57100	11963	792	0.490197166821836
2008	28450	30879	28217	18293	"High_school"	"Education"	24611.8751830872	56667	12586	233	0.511379157677871
2007	27988	31337	28134	18162	"High_school"	"Education"	24732.3627810841	56122	13175	-146	0.532702844310394
2006	28253	31009	28538	17546	"High_school"	"Education"	24243.718634995	56791	13463	-285	0.555319099462185
2005	28077	30134	28409	16695	"High_school"	"Education"	23375.0057182311	56486	13439	-332	0.574930340638095
2004	27799	29332	28561	16165	"High_school"	"Education"	22659.4895848119	56360	13167	-762	0.581081049982057
2003	26800	28763	28976	15962	"High_school"	"Education"	22112.7960413081	55776	12801	-2176	0.578895584985586
2002	26298	27526	29161	15972	"High_school"	"Education"	21450.7697578391	55459	11554	-2863	0.538628689340047
2001	25954	28343	28945	15665	"High_school"	"Education"	21658.6394469845	54899	12678	-2991	0.58535532811435
2000	26175	27480	28968	15153	"High_school"	"Education"	21004.3179370002	55143	12327	-2793	0.586879328192103
1999	26278	27188	29798	14652	"High_school"	"Education"	20526.5454026678	56076	12536	-3520	0.610721373425589
1998	25636	26542	29330	13786	"High_school"	"Education"	19735.3653531274	54966	12756	-3694	0.646352361446331
1997	25777	25453	29332	13407	"High_school"	"Education"	19041.4651871745	55109	12046	-3555	0.632619385199079
1996	25510	24814	29212	12702	"High_school"	"Education"	18348.3053250978	54722	12112	-3702	0.660115459460584
1995	24909	23365	28785	12046	"High_school"	"Education"	17296.9585987261	53694	11319	-3876	0.654392501166859
1994	24704	22387	29110	11390	"High_school"	"Education"	16438.3124837403	53814	10997	-4406	0.668985944322297
1993	24682	21782	29171	11089	"High_school"	"Education"	15989.8342339331	53853	10693	-4489	0.6687373892412
1992	25143	21645	29596	10901	"High_school"	"Education"	15835.9895321434	54739	10744	-4453	0.678454603559325
1991	25297	21546	30149	10818	"High_school"	"Education"	15712.604047181	55446	10728	-4852	0.682763975200195
2014	15963	37865	16851	23504	"Some_college"	"Education"	30490.1840373012	32814	14361	-888	0.471004044528921
2013	16248	37741	16776	22301	"Some_college"	"Education"	29897.5697674419	33024	15440	-528	0.51642993461007
2012	15752	37062	16625	22469	"Some_college"	"Education"	29568.7602001421	32377	14593	-873	0.493527625143035
2011	15301	36552	16427	22499	"Some_college"	"Education"	29276.1354324256	31728	14053	-1126	0.480015541410401
2010	15395	36226	16661	22808	"Some_college"	"Education"	29252.0388694784	32056	13418	-1266	0.45870306886541
2009	15184	36693	16208	23107	"Some_college"	"Education"	29678.4138634047	31392	13586	-1024	0.45777379015367
2008	15523	37297	16329	23252	"Some_college"	"Education"	30096.798913726	31852	14045	-806	0.466660924314932
2007	15321	37447	16600	23532	"Some_college"	"Education"	30210.7292064785	31921	13915	-1279	0.460597951969197
2006	14526	37271	16099	22709	"Some_college"	"Education"	29616.0240653061	30625	14562	-1573	0.491693279553306
2005	14505	36930	16402	21545	"Some_college"	"Education"	28765.352185589	30907	15385	-1897	0.534844833490606
2004	14405	36162	15791	21159	"Some_college"	"Education"	28316.180255663	30196	15003	-1386	0.529838412686313
2003	14586	35073	15691	21007	"Some_college"	"Education"	27783.3211678832	30277	14066	-1105	0.506274966732916
2002	14747	35023	15616	20602	"Some_college"	"Education"	27606.1328920067	30363	14421	-869	0.522383923036738
2001	14340	33777	15420	20101	"Some_college"	"Education"	26690.8467741935	29760	13676	-1080	0.512385392479299
2000	14433	33319	15825	20166	"Some_college"	"Education"	26439.9523101329	30258	13153	-1392	0.497466857947366
1999	14440	32575	15693	19599	"Some_college"	"Education"	25817.2139182956	30133	12976	-1253	0.502610391697009
1998	13935	31627	15173	18445	"Some_college"	"Education"	24755.6764463378	29108	13182	-1238	0.532483934687637
1997	13892	30536	14677	17153	"Some_college"	"Education"	23660.6354090098	28569	13383	-785	0.565623017668573
1996	13756	29160	14528	16255	"Some_college"	"Education"	22531.381699901	28284	12905	-772	0.572756707594932
1995	13715	28004	14619	15552	"Some_college"	"Education"	21579.3586503847	28334	12452	-904	0.577032904533426
1994	13573	26768	14911	14585	"Some_college"	"Education"	20390.3594649628	28484	12183	-1338	0.597488240505731
1993	13247	26323	14390	14489	"Some_college"	"Education"	20161.2870789159	27637	11834	-1143	0.586966494434556
1992	12728	26318	13615	14401	"Some_college"	"Education"	20158.8702501613	26343	11917	-887	0.591154159539502
1991	12366	26591	13013	13963	"Some_college"	"Education"	20116.0339256866	25379	12628	-647	0.627757939097281
2014	8728	43871	11069	27122	"Associate_degree"	"Education"	34506.2133656615	19797	16749	-2341	0.485390843165295
2013	8509	42717	11265	27340	"Associate_degree"	"Education"	33956.9157985233	19774	15377	-2756	0.45283853490218
2012	8499	41731	10757	27159	"Associate_degree"	"Education"	33590.6279601163	19256	14572	-2258	0.433811479121557
2011	8286	41916	10353	27180	"Associate_degree"	"Education"	33730.9145340415	18639	14736	-2067	0.43686926973558
2010	7924	40974	10197	28147	"Associate_degree"	"Education"	33756.0253297279	18121	12827	-2273	0.379991420041495
2009	7399	42163	9936	27027	"Associate_degree"	"Education"	33487.413267955	17335	15136	-2537	0.451990718987066
2008	7375	42608	9662	27715	"Associate_degree"	"Education"	34161.9023302225	17037	14893	-2287	0.435953474020222
2007	7244	43006	9166	27668	"Associate_degree"	"Education"	34438.778305911	16410	15338	-1922	0.445370037919359
2006	6973	41807	9043	26295	"Associate_degree"	"Education"	33048.5699300699	16016	15512	-2070	0.469369780078928
2005	7000	41903	9070	26074	"Associate_degree"	"Education"	32969.0217797138	16070	15829	-2070	0.480117369140136
2004	6782	39765	8861	25199	"Associate_degree"	"Education"	31514.0682094227	15643	14566	-2079	0.462206272551151
2003	6618	39015	8523	24808	"Associate_degree"	"Education"	31017.7566871409	15141	14207	-1905	0.458027965829322
2002	6274	37970	8323	23766	"Associate_degree"	"Education"	29871.0829622525	14597	14204	-2049	0.475510044880171
2001	6352	38870	8177	22638	"Associate_degree"	"Education"	29734.5423635488	14529	16232	-1825	0.545897084997636
2000	6272	38026	8108	23124	"Associate_degree"	"Education"	29623.676216968	14380	14902	-1836	0.503043575377196
1999	5939	36558	7482	21916	"Associate_degree"	"Education"	28395.3113776917	13421	14642	-1543	0.515648509898125
1998	5766	35962	6931	21290	"Associate_degree"	"Education"	27952.8929668426	12697	14672	-1165	0.524883060132766
1997	5591	32930	6914	21073	"Associate_degree"	"Education"	26374.2784486206	12505	11857	-1323	0.449566801347703
1996	5210	33065	6839	20460	"Associate_degree"	"Education"	25910.4149721969	12049	12605	-1629	0.486483910563601
1995	5230	31027	6642	19450	"Associate_degree"	"Education"	24550.042958221	11872	11577	-1412	0.471567402945144
1994	5046	30643	6573	17954	"Associate_degree"	"Education"	23464.6888716757	11619	12689	-1527	0.54077000847503
1993	4901	29736	6282	18346	"Associate_degree"	"Education"	23337.7186801395	11183	11390	-1381	0.488051131137035
1992	4540	28791	5539	17331	"Associate_degree"	"Education"	22493.0597281476	10079	11460	-999	0.509490488999994
1991	4083	29358	5236	17364	"Associate_degree"	"Education"	22619.0168473012	9319	11994	-1153	0.530261774018311
2014	20147	60933	21336	40033	"Bachelors_degree"	"Education"	50183.4785092689	41483	20900	-1189	0.416471727764742
2013	19388	60808	21508	37424	"Bachelors_degree"	"Education"	48509.9006259781	40896	23384	-2120	0.482045926671665
2012	19320	56656	20125	37285	"Bachelors_degree"	"Education"	46772.8367346939	39445	19371	-805	0.414150634264
2011	18859	56404	19629	36812	"Bachelors_degree"	"Education"	46412.0189149865	38488	19592	-770	0.422132035149924
2010	18378	55225	18909	36359	"Bachelors_degree"	"Education"	45657.6657011827	37287	18866	-531	0.413205530993918
2009	18205	54091	18844	35972	"Bachelors_degree"	"Education"	44875.2469162461	37049	18119	-639	0.403763795078762
2008	17726	57278	18381	36294	"Bachelors_degree"	"Education"	46595.6695931537	36107	20984	-655	0.450342278224996
2007	17654	56826	18347	36167	"Bachelors_degree"	"Education"	46297.6626482598	36001	20659	-693	0.446221230582502
2006	17129	54403	17931	35094	"Bachelors_degree"	"Education"	44527.652624073	35060	19309	-802	0.433640644904802
2005	16764	51700	17090	32668	"Bachelors_degree"	"Education"	42092.3648608732	33854	19032	-326	0.452148508711877
2004	16302	51081	16668	31585	"Bachelors_degree"	"Education"	41224.7874431301	32970	19496	-366	0.472919357726098
2003	16295	50916	16198	31309	"Bachelors_degree"	"Education"	41141.765980365	32493	19607	97	0.476571667082971
2002	16057	50600	16003	30788	"Bachelors_degree"	"Education"	40710.6850904554	32060	19812	54	0.48665356419278
2001	15723	49985	15660	30973	"Bachelors_degree"	"Education"	40498.0828792658	31383	19012	63	0.469454321002779
2000	15452	49080	15102	30418	"Bachelors_degree"	"Education"	39855.8878051974	30554	18662	350	0.468236966422974
1999	14922	47289	14690	28520	"Bachelors_degree"	"Education"	37978.0243820073	29612	18769	232	0.494206855291086
1998	14614	45749	14218	27415	"Bachelors_degree"	"Education"	36707.9063540511	28832	18334	396	0.499456433803849
1997	13900	41949	13787	26401	"Bachelors_degree"	"Education"	34206.7283201503	27687	15548	113	0.454530461214588
1996	13510	39624	13247	25192	"Bachelors_degree"	"Education"	32478.927532982	26757	14432	263	0.44434964748588
1995	13065	39040	12875	24065	"Bachelors_degree"	"Education"	31607.3429067078	25940	14975	190	0.473782312046925
1994	12997	38701	11773	23405	"Bachelors_degree"	"Education"	31430.9229713363	24770	15296	1224	0.486654496718067
1993	12360	37474	11447	22452	"Bachelors_degree"	"Education"	30251.0473390179	23807	15022	913	0.49657784841798
1992	11938	36745	11133	22383	"Bachelors_degree"	"Education"	29814.5615274587	23071	14362	805	0.481710924602156
1991	11657	36067	10721	20967	"Bachelors_degree"	"Education"	28832.792296005	22378	15100	936	0.523709249002991
2014	7992	76386	9876	50255	"Masters_degree"	"Education"	61942.875083949	17868	26131	-1884	0.421856427629257
2013	7867	75525	9661	49731	"Masters_degree"	"Education"	61307.9852806937	17528	25794	-1794	0.420728227846735
2012	7652	71364	9124	49703	"Masters_degree"	"Education"	59583.1843109204	16776	21661	-1472	0.363542167987655
2011	7238	71537	8650	48738	"Masters_degree"	"Education"	59124.4024420947	15888	22799	-1412	0.385610662574204
2010	7100	69576	8507	48488	"Masters_degree"	"Education"	58081.4388415455	15607	21088	-1407	0.363076404796567
2009	6728	69825	7945	50576	"Masters_degree"	"Education"	59402.2299461596	14673	19249	-1217	0.324045074022418
2008	6896	70973	7801	48000	"Masters_degree"	"Education"	58779.1935769205	14697	22973	-905	0.390835576366606
2007	6759	71097	7590	48077	"Masters_degree"	"Education"	58920.4162659419	14349	23020	-831	0.390696492979572
2006	6350	67425	6876	46250	"Masters_degree"	"Education"	56416.433539997	13226	21175	-526	0.375333899562931
2005	6137	64468	6560	44385	"Masters_degree"	"Education"	54091.9678664251	12697	20083	-423	0.371275085602229
2004	6059	63260	6464	42243	"Masters_degree"	"Education"	52411.6499241396	12523	21017	-405	0.400998633517928
2003	6076	61698	6268	41334	"Masters_degree"	"Education"	51357.6279974076	12344	20364	-192	0.396513639629694
2002	5768	60830	6073	40939	"Masters_degree"	"Education"	50628.3242124821	11841	19891	-305	0.392882843929802
2001	5522	61960	5749	40744	"Masters_degree"	"Education"	51138.3529411765	11271	21216	-227	0.414874527234078
2000	5346	59732	5421	40619	"Masters_degree"	"Education"	50108.9320144887	10767	19113	-75	0.381429003405492
1999	5178	59189	5220	39712	"Masters_degree"	"Education"	49411.1638776688	10398	19477	-42	0.39418217405728
1998	4772	55784	4837	36888	"Masters_degree"	"Education"	46272.0890831512	9609	18896	-65	0.408367125288936
1997	4583	52530	4488	35882	"Masters_degree"	"Education"	44293.1767170103	9071	16648	95	0.375859245914203
1996	4709	50003	4285	33302	"Masters_degree"	"Education"	42046.1637758506	8994	16701	424	0.397206272825116
1995	4774	49076	4205	33509	"Masters_degree"	"Education"	41785.7410624791	8979	15567	569	0.372543351013539
1994	4558	46635	4166	32069	"Masters_degree"	"Education"	39679.2508023842	8724	14566	392	0.367093624638819
1993	4320	45597	4003	31389	"Masters_degree"	"Education"	38763.5716688694	8323	14208	317	0.366529692397006
1992	4308	44293	3873	30169	"Masters_degree"	"Education"	37606.500550055	8181	14124	435	0.375573366131227
1991	4356	43125	3745	29747	"Masters_degree"	"Education"	36940.503024318	8101	13378	611	0.362149914179383
2014	1940	107050	1319	63353	"Professional_degree"	"Education"	89364.7152500767	3259	43697	621	0.488973750744005
2013	1762	102353	1224	61224	"Professional_degree"	"Education"	85493.69122572	2986	41129	538	0.481076432779249
2012	1847	100064	1126	67428	"Professional_degree"	"Education"	87703.3757147662	2973	32636	721	0.372117945677948
2011	1903	98883	1098	61206	"Professional_degree"	"Education"	85097.8130623126	3001	37677	805	0.442749333316135
2010	1856	96212	1053	60477	"Professional_degree"	"Education"	83276.6424888278	2909	35735	803	0.429111920605999
2009	1844	102398	1142	60259	"Professional_degree"	"Education"	86281.878767582	2986	42139	702	0.488387603537355
2008	1930	1e+05	1197	58364	"Professional_degree"	"Education"	84061.9469139751	3127	41636	733	0.495301400080684
2007	1843	1e+05	1060	61875	"Professional_degree"	"Education"	86079.0561488116	2903	38125	783	0.442906808063629
2006	1969	96926	1037	60463	"Professional_degree"	"Education"	84347.1141051231	3006	36463	932	0.432296947997007
2005	1912	90878	1090	59934	"Professional_degree"	"Education"	79642.5036642239	3002	30944	822	0.38853625358717
2004	1876	90210	991	50311	"Professional_degree"	"Education"	76418.6121381235	2867	39899	885	0.522111026144838
2003	1901	88530	990	48536	"Professional_degree"	"Education"	74834.3721895538	2891	39994	911	0.534433560806739
2002	1816	88216	946	44748	"Professional_degree"	"Education"	73327.9739319334	2762	43468	870	0.592788777177304
2001	1779	81602	899	46635	"Professional_degree"	"Education"	69863.6381628081	2678	34967	880	0.500503565510201
2000	1711	83701	852	46084	"Professional_degree"	"Education"	71196.2461958642	2563	37617	859	0.528356507680389
1999	1774	81545	824	45432	"Professional_degree"	"Education"	70091.1462663587	2598	36113	950	0.515229125555519
1998	1695	76362	788	43490	"Professional_degree"	"Education"	65929.8066854611	2483	32872	907	0.498590874941075
1997	1741	72274	807	45199	"Professional_degree"	"Education"	63698.8332025118	2548	27075	934	0.42504703208492
1996	1702	71869	715	42059	"Professional_degree"	"Education"	63050.568059578	2417	29810	987	0.472795105855856
1995	1657	66257	732	38588	"Professional_degree"	"Education"	57779.0979489326	2389	27669	925	0.478875596577415
1994	1691	61739	709	35806	"Professional_degree"	"Education"	54077.9595833333	2400	25933	982	0.479548418612903
1993	1650	69678	583	32742	"Professional_degree"	"Education"	60034.6108374384	2233	36936	1067	0.615245097532409
1992	1639	68429	569	36640	"Professional_degree"	"Education"	60236.9977355072	2208	31789	1070	0.527732144612873
1991	1547	63741	556	34064	"Professional_degree"	"Education"	55894.8697099382	2103	29677	991	0.530943182335093
2014	2082	91770	1475	62388	"Doctorate_degree"	"Education"	79586.01068316	3557	29382	607	0.369185485587068
2013	2309	101336	1241	65673	"Doctorate_degree"	"Education"	88869.0188732394	3550	35663	1068	0.401298455324108
2012	2150	91742	1210	67057	"Doctorate_degree"	"Education"	82852.4613095238	3360	24685	940	0.297939247788677
2011	1976	82376	1121	63913	"Doctorate_degree"	"Education"	75693.0736196319	3097	18463	855	0.243919279758398
2010	1900	86200	1136	70417	"Doctorate_degree"	"Education"	80294.371541502	3036	15783	764	0.196564213617915
2009	1755	89845	987	65587	"Doctorate_degree"	"Education"	81113.181619256	2742	24258	768	0.299063598736228
2008	1622	90575	942	60619	"Doctorate_degree"	"Education"	79569.3244929797	2564	29956	680	0.376476741393512
2007	1601	86171	823	61554	"Doctorate_degree"	"Education"	77813.0004125413	2424	24617	778	0.316361017689692
2006	1649	90511	782	61091	"Doctorate_degree"	"Education"	81047.2237762238	2431	29420	867	0.362998245087708
2005	1656	76937	749	56820	"Doctorate_degree"	"Education"	70671.8719334719	2405	20117	907	0.284653560881159
2004	1573	80033	734	55996	"Doctorate_degree"	"Education"	72385.3372345037	2307	24037	839	0.332070014706547
2003	1606	73853	773	53003	"Doctorate_degree"	"Education"	67078.2837326608	2379	20850	833	0.310830850757859
2002	1514	76147	663	52336	"Doctorate_degree"	"Education"	68895.4184657786	2177	23811	851	0.345610789951545
2001	1488	72642	653	52181	"Doctorate_degree"	"Education"	66401.4427837459	2141	20461	835	0.308140894869359
2000	1520	71271	584	51460	"Doctorate_degree"	"Education"	65772.1292775665	2104	19811	936	0.301206608598532
1999	1451	70461	600	46511	"Doctorate_degree"	"Education"	63454.6616284739	2051	23950	851	0.377434839070247
1998	1443	65319	567	46275	"Doctorate_degree"	"Education"	59946.8865671642	2010	19044	876	0.317681219001477
1997	1338	68643	508	46545	"Doctorate_degree"	"Education"	62561.8602383532	1846	22098	830	0.353218397212124
1996	1215	62255	527	42431	"Doctorate_degree"	"Education"	56257.7278989667	1742	19824	688	0.352378255225699
1995	1149	57356	457	39821	"Doctorate_degree"	"Education"	52366.2770859278	1606	17535	692	0.334852904880498
1994	1183	57478	462	40793	"Doctorate_degree"	"Education"	52792	1645	16685	721	0.316051674496136
1993	1149	55751	447	42737	"Doctorate_degree"	"Education"	52106.1015037594	1596	13014	702	0.249759617864734
1992	1053	51681	358	39322	"Doctorate_degree"	"Education"	48545.265060241	1411	12359	695	0.254587136040218
2014	110372	36302	112599	22240	"All Races"	"Race"	29200.775455104	222971	14062	-2227	0.481562553762321
2013	109937	35630	112066	22126	"All Races"	"Race"	28813.2485867308	222003	13504	-2129	0.468673289627568
2012	107534	33904	109383	21520	"All Races"	"Race"	27659.2194065011	216917	12384	-1849	0.447734978272352
2011	106228	32986	108332	21102	"All Races"	"Race"	26985.7320656227	214560	11884	-2104	0.440380863898783
2010	105191	32205	107220	20775	"All Races"	"Race"	26435.4089712868	212411	11430	-2029	0.432374623461088
2009	105025	32184	106229	20957	"All Races"	"Race"	26538.5069773827	211254	11227	-1204	0.423045652476538
2008	105428	33161	106403	20867	"All Races"	"Race"	26985.7070447668	211831	12294	-975	0.45557450021989
2007	104789	33196	105230	20922	"All Races"	"Race"	27046.1134659245	210019	12274	-441	0.453817514870077
2006	103909	32265	104582	20014	"All Races"	"Race"	26119.7271488937	208491	12251	-673	0.469032464625837
2005	102986	31275	104245	18576	"All Races"	"Race"	24886.924591398	207231	12699	-1259	0.510267950278972
2004	101772	30516	103384	17667	"All Races"	"Race"	24041.0199068026	205156	12849	-1612	0.534461518263801
2003	100769	29931	102713	17259	"All Races"	"Race"	23534.4679431104	203482	12672	-1944	0.5384442950073
2002	99788	29238	102487	16812	"All Races"	"Race"	22942.0985687801	202275	12426	-2699	0.541624383782809
2001	98873	29101	101941	16614	"All Races"	"Race"	22762.1129353531	200814	12487	-3068	0.548587032999285
2000	98504	28343	101704	16063	"All Races"	"Race"	22104.862063454	200208	12280	-3200	0.555533889546524
1999	97063	27293	101036	15304	"All Races"	"Race"	21178.2765334504	198099	11989	-3973	0.566098944881739
1998	94948	26492	98694	14430	"All Races"	"Race"	20344.3304448415	193642	12062	-3746	0.592892453880606
1997	94168	25212	97447	13703	"All Races"	"Race"	19359.026469744	191615	11509	-3279	0.594503035469644
1996	93439	23834	96558	12815	"All Races"	"Race"	18234.0557798281	189997	11019	-3119	0.604308779848642
1995	92066	22562	96007	12130	"All Races"	"Race"	17236.7006534697	188073	10432	-3941	0.605220233832865
