NYC Zip Code,Neighborhood,UHF code,Obese Percent,popdense,pop,area
10034,Washington Heights-Inwood ,301,23.8,47051.23,41756,0.8874582025
10040,Washington Heights-Inwood ,301,23.8,75283.14,456599,6.0650897399
11206,Williamsburg-Bushwick ,211,25.5,48593.28,69032,1.4206079524
11221,Williamsburg-Bushwick ,211,25.5,55063.29,76363,1.3868223275
11237,Williamsburg-Bushwick ,211,25.5,48552.49,48910,1.0073633711
11223,Coney Island-Sheepshead Bay ,210,32,37104.95,77691,2.0938176712
11224,Coney Island-Sheepshead Bay ,210,32,35066.79,51205,1.4602134954
11229,Coney Island-Sheepshead Bay ,210,32,36919.61,80554,2.1818757024
11235,Coney Island-Sheepshead Bay ,210,32,30866.46,77451,2.5092284635
11209,Bensonhurst-Bay Ridge ,209,24,31098.42,69840,2.2457732579
11214,Bensonhurst-Bay Ridge ,209,24,38227.99,83546,2.1854667222
11228,Bensonhurst-Bay Ridge ,209,24,27177.25,41172,1.5149435649
11234,Canarsie-Flatlands ,208,41.9,88846.37,86898,0.9780703477
11236,Canarsie-Flatlands ,208,41.9,27271.95,96301,3.5311373041
11239,Canarsie-Flatlands ,208,41.9,19900.74,14620,0.7346460483
11203,East Flatbush-Flatbush ,207,28.2,38695.54,84498,2.1836625099
11210,East Flatbush-Flatbush ,207,28.2,38833.14,62308,1.6045058422
11225,East Flatbush-Flatbush ,207,28.2,44803.32,63774,1.4234213
11226,East Flatbush-Flatbush ,207,28.2,81065.34,106154,1.3094868905
11204,Borough Park ,206,30,46953.11,74880,1.5947825394
11218,Borough Park ,206,30,51580.19,74611,1.446504947
11219,Borough Park ,206,30,57544.5,85987,1.4942696522
11230,Borough Park ,206,30,48088.05,88933,1.8493783799
11220,Sunset Park ,205,21.6,54760.03,92718,1.6931692696
11232,Sunset Park ,205,21.6,20953.79,27723,1.3230542064
11207,East New York ,204,26.4,31820.27,86551,2.7199957763
11208,East New York ,204,26.4,24992.88,87165,3.4875932666
11212,Bedford Stuyvesant-Crown Heights ,203,29.3,55655.62,85161,1.5301419695
11213,Bedford Stuyvesant-Crown Heights ,203,29.3,61712.16,65440,1.0604068955
