"author","channel","content_sentiment_polarity","content_subjectivity","id","n_tokens_content","n_tokens_title","num_hrefs","num_imgs","num_keywords","num_self_hrefs","num_videos","post_date","shares","timedelta","title_sentiment_polarity","title_subjectivity","type"
"Juana Summers","World",0.0162008281573499,0.446402691511387,"56cc766d97b2f80a8c0008fa",260,7,90,0,7,0,0,"2016-02-23T15:10:24+00:00",398,1,0,0,"new"
"Johnny Lieu","Watercooler",0.123529411764706,0.35,"56caac0712d2cd2b4c000baf",245,15,98,6,5,2,0,"2016-02-22T06:34:22+00:00",3200,2,-0.1,0.2,"hot"
"Rachel Thompson","Lifestyle",0.055919558583493,0.518195124547584,"56bb1c2fb589e4121800038b",799,14,93,0,9,1,0,"2016-02-10T11:16:51+00:00",1700,14,0.333333333333333,0.666666666666667,"rising"
"Brian Koerber","Watercooler",0.0662222222222222,0.485920634920635,"56cb8d8c12d2cd276f000194",110,13,95,0,5,8,1,"2016-02-22T22:36:10+00:00",961,1,0.5,1,"hot"
"Emily Cahn","World",0.0971875,0.361848958333333,"56c5fc2497b2f85437000a8b",586,7,105,2,6,2,1,"2016-02-18T17:15:01+00:00",2800,6,0,0,"hot"
"Christina Warren","Tech",0.177960526315789,0.467731829573935,"56bd11aab589e44a2d0000a1",344,14,102,0,7,2,0,"2016-02-11T22:56:27+00:00",1600,12,0.166666666666667,0.166666666666667,"hot"
"Stan Schroeder","Tech",0.0923076923076923,0.382455621301775,"56cb322497b2f80bba000539",270,14,91,0,5,2,0,"2016-02-22T16:06:55+00:00",11400,2,0,0,"hot"
"Sonam Joshi","World",0.0118773946360153,0.43036398467433,"56cc651012d2cd276f00055f",503,13,100,0,7,2,1,"2016-02-23T13:56:12+00:00",546,1,0,0,"rising"
"Samantha Cooney","Business",0.391258741258741,0.582400932400932,"56c4ee8c12d2cd1d1a000139",266,9,94,0,4,5,0,"2016-02-17T22:04:05+00:00",1900,6,0,0,"hot"
"Kellen Beck","Tech",0.159097351061637,0.485541640898784,"56c4b72f12d2cd28b90007aa",223,9,98,0,6,4,0,"2016-02-17T18:08:36+00:00",760,7,0.136363636363636,0.454545454545455,"hot"
"Christopher Miller","World",0.0207984449760765,0.303209728867624,"56ccf4b4b05f9d7a91000002",538,11,94,2,8,0,0,"2016-02-24T00:09:15+00:00",791,0,-0.2,0,"rising"
"Andrea Romano","Watercooler",0.0205128205128205,0.715384615384615,"56be2f22b589e445540005cd",121,14,98,6,9,1,0,"2016-02-12T19:14:14+00:00",1100,12,0,0.125,"rising"
"Brian Koerber","Watercooler",0.0512941919191919,0.475378787878788,"56cd0decb05f9d526d000001",137,7,89,0,4,1,1,"2016-02-24T01:56:29+00:00",1600,0,0,0.1,"hot"
"Megan Specia","World",0.0657870558261183,0.395982142857143,"56c4df52b589e46e30000045",793,12,97,0,6,2,0,"2016-02-17T20:59:52+00:00",1000,7,0,0.05,"rising"
"Adario Strange","Tech",0.134450566268748,0.496877869605142,"56c3addb12d2cd28b9000071",399,12,101,3,10,3,0,"2016-02-16T23:16:26+00:00",528,7,0,0,"rising"
"Victoria Ho","World",0.00574548001018589,0.267920804685511,"56cad02c12d2cd2b4c000d9c",374,12,92,1,5,1,0,"2016-02-22T09:08:23+00:00",2800,2,-0.0333333333333333,0,"hot"
"Charlie Mock","Entertainment",0.08233476742736,0.506795067072845,"56ba618697b2f83f7c00005a",968,12,92,5,8,1,0,"2016-02-09T22:00:35+00:00",1100,14,0.214814814814815,0.42962962962963,"new"
"Jenni Ryall","Tech",0.255232520005247,0.603048340548341,"56c6b53cb589e41dcf00007a",401,11,95,0,7,1,0,"2016-02-19T06:24:46+00:00",2000,5,0.5,0.6,"hot"
"Lance Ulanoff","Tech",0.107000654384375,0.481365845610032,"56c0e92e97b2f8124b000dd5",1125,9,94,0,6,4,0,"2016-02-14T20:52:49+00:00",1400,10,0,0,"rising"
"Tim Chester","Entertainment",0.218,0.386222222222222,"56bdcdd997b2f84c2e00053c",283,10,106,0,9,2,1,"2016-02-12T12:19:22+00:00",696,12,-0.416666666666667,0.483333333333333,"new"
"Gillian Edevane","World",0.197615112160567,0.549394220498117,"56c3686c12d2cd21df00048f",749,12,100,2,7,1,0,"2016-02-16T18:20:23+00:00",794,8,0,0,"rising"
"Kelly Diamond","Watercooler",0.0211111111111111,0.502698412698413,"56c6447297b2f85437000bd0",214,13,92,1,9,1,0,"2016-02-18T22:23:34+00:00",715,5,0,0,"new"
"Emily Blake","Entertainment",0.194652695789059,0.548445493900039,"56bd8214b589e445540000d2",227,12,90,0,5,2,0,"2016-02-12T06:56:15+00:00",1200,12,0,0,"hot"
"Lance Ulanoff","Tech",0.142545995670996,0.502699615199615,"56ba3d24b05f9d498c000038",430,10,90,1,5,1,0,"2016-02-09T19:25:03+00:00",1400,15,0,0,"rising"
"Brian Koerber","Watercooler",0.102614379084967,0.581699346405229,"56c39d8497b2f82073000002",219,11,91,0,4,1,0,"2016-02-16T22:06:01+00:00",4000,7,-0.2,0.4,"hot"
"Emily Cahn","World",0.138322884012539,0.469033313429865,"56cc619897b2f80a8c000895",930,13,106,0,7,2,0,"2016-02-23T13:41:04+00:00",614,1,0.8,0.4,"new"
"Lindsey Lanquist","Lifestyle",0.261401098901099,0.598901098901099,"56c3d768b05f9d253d0001a5",153,12,93,2,8,1,0,"2016-02-17T02:13:07+00:00",1500,7,-0.2,0.6,"hot"
"Saba Hamedy","Entertainment",0.156839826839827,0.364058441558442,"56c65252b05f9d6e71000b42",423,9,98,1,10,3,0,"2016-02-18T23:22:46+00:00",826,5,0,0,"new"
"Hillary Busis","Entertainment",0.145311956899548,0.475742092457421,"56bab65cb589e412180001e2",1700,17,90,2,9,1,0,"2016-02-10T04:02:35+00:00",1500,14,0,0,"rising"
"Tricia Gilbride","Watercooler",0.167857142857143,0.564285714285714,"56c36c4c97b2f808090008b6",193,11,96,0,9,1,0,"2016-02-16T18:36:33+00:00",3100,8,-0.127777777777778,0.444444444444444,"hot"
"Patrick Kulp","Business",0.067024642024642,0.422652347652348,"56bb1a8812d2cd06c30004bd",847,10,93,0,3,1,0,"2016-02-10T11:10:00+00:00",2200,14,-0.5,1,"hot"
"Kelly Diamond","Watercooler",0.140244708994709,0.505886243386243,"56bbd07597b2f866df000144",187,14,92,0,7,1,1,"2016-02-11T00:05:19+00:00",944,13,0,0,"rising"
"Megan Specia","World",0.185426019453797,0.460783763561541,"56c38ac4b05f9d438f000780",867,16,103,0,6,2,1,"2016-02-16T20:46:42+00:00",1500,8,0.142857142857143,0.267857142857143,"hot"
"Brian Koerber","Watercooler",-0.0267379679144385,0.482442067736185,"56bab908b589e412180001f6",201,14,89,3,4,1,0,"2016-02-10T04:13:56+00:00",1200,14,0,0,"rising"
"Alex Arbuckle","Lifestyle",-0.25,0.75,"56ba6c5bb589e40660000247",83,10,22,35,10,12,0,"2016-02-09T22:46:44+00:00",1449,14,-0.3,0.4,"new"
"Victoria Ho","Entertainment",0.129796113847838,0.445183360700602,"56c19bce97b2f8124b0012b9",412,9,102,1,8,1,0,"2016-02-15T09:34:51+00:00",791,9,0,0,"rising"
"Andrew Freedman","World",0.214421850079745,0.565090377458799,"56cb8828b05f9d274f000176",516,12,90,2,7,1,0,"2016-02-22T22:12:58+00:00",456,1,0,0,"rising"
"Karissa Bell","Tech",0.131371406371406,0.509343434343434,"56c67c4897b2f85437000c35",472,8,99,0,6,1,1,"2016-02-19T02:21:31+00:00",1600,5,0,0,"hot"
"Brian Koerber","Watercooler",0.27956043956044,0.362564102564103,"56be311412d2cd6f8f0005c8",174,13,93,0,6,1,0,"2016-02-12T19:21:58+00:00",22400,12,-0.155555555555556,0.288888888888889,"hot"
"Saba Hamedy","Entertainment",0.177651515151515,0.52756734006734,"56c4c84d12d2cd28b9000821",246,9,104,1,10,1,1,"2016-02-17T19:21:37+00:00",1200,7,0.7,1,"new"
"Rachel Thompson","Lifestyle",0.0933163265306123,0.514251700680272,"56c4574012d2cd28b90004f1",447,11,98,1,10,1,0,"2016-02-17T11:19:13+00:00",2700,7,0,0,"hot"
"Nick Jaynes","Tech",0.0159498207885305,0.46373527905786,"56c7576c12d2cd046d000004",312,11,88,2,6,1,1,"2016-02-19T17:56:56+00:00",4800,5,0.25,0.333333333333333,"rising"
"Saba Hamedy","Entertainment",0.158855419272086,0.421155042488376,"56bba3abb589e44191000038",843,12,104,1,10,3,2,"2016-02-10T20:55:03+00:00",651,14,0,0.0333333333333333,"new"
"The Associated Press","World",0.137874458874459,0.436894105894106,"56c4e7a3b05f9d6e71000036",968,10,117,0,9,4,0,"2016-02-17T21:35:03+00:00",877,7,0,0,"rising"
"Rachel Thompson","Lifestyle",0.0287878787878788,0.289393939393939,"56b9cbb397b2f871800004e9",211,10,93,1,8,1,0,"2016-02-09T11:20:40+00:00",1400,15,0,0,"hot"
"Emily Blake","Entertainment",0.209053884711779,0.577882205513785,"56c0c83512d2cd6bae000a5b",528,12,90,1,7,1,1,"2016-02-14T18:32:12+00:00",689,10,0,0,"new"
"Christopher Miller","World",0.0833549783549784,0.345627705627706,"56cb7cc2b589e45a88000235",453,10,94,2,6,2,0,"2016-02-22T21:25:15+00:00",893,2,0,0.0666666666666667,"rising"
"Alex Arbuckle","Lifestyle",0.215,0.48,"56cd0f2fb05f9d526d00000a",83,11,21,26,9,12,0,"2016-02-24T02:02:14+00:00",954,0,0,0,"rising"
"Sandra Gonzalez","Entertainment",0.22354829078967,0.490289595462009,"56cb58f697b2f80a8c0001a3",333,11,91,0,8,2,0,"2016-02-22T18:52:10+00:00",789,2,0,0,"new"
"Jason Abbruzzese","Business",0.110721942456636,0.415188031922726,"56c60b5097b2f85437000afd",655,16,95,0,3,1,0,"2016-02-18T18:19:38+00:00",16400,6,0,0.1,"hot"
"Andrea Romano","Watercooler",-0.0377777777777778,0.676666666666667,"56c46fc097b2f82073000613",90,9,96,0,7,8,1,"2016-02-17T13:03:49+00:00",2100,7,0.566666666666667,0.933333333333333,"rising"
"Kelly Diamond","Watercooler",0.2625,0.466666666666667,"56bbd63697b2f866df000158",96,14,90,20,8,1,0,"2016-02-11T00:30:45+00:00",1000,13,0,0,"rising"
"Kelly Diamond","Watercooler",0.469047619047619,0.578571428571429,"56cb8cd112d2cd276f000191",129,10,93,1,7,1,0,"2016-02-22T22:33:43+00:00",591,1,0.333333333333333,0.666666666666667,"rising"
"Yohana Desta","Entertainment",0.215061688311688,0.438298701298701,"56c29e7412d2cd21df0000ef",183,8,100,0,10,9,0,"2016-02-16T03:58:10+00:00",1500,8,0.3,1,"hot"
"Sergio Hernandez","World",-0.0666666666666667,0.508333333333333,"56c5c9ff12d2cd1d1a0003c5",24,14,4,0,10,0,0,"2016-02-18T13:41:15+00:00",661,6,0,0,"rising"
