TL,Time,Lo,popu,Rg1,Re,Rb1,Rc,Rb2,Rd,Total,PD,PT,PD/PT,Year,Dwg,Fwg,FD
TO,0,O,2,1.555,0,0.852,0.259,0.078,0.068,2.811,1.257,1.555,0.808,8,0.39,2.35,1.96
TO,0,O,2,1.621,0,1.148,0.204,0.068,0.068,3.108,1.487,1.621,0.918,8,0.33,1.93,1.6
TO,0,O,2,2.056,0,0.954,0.363,0.09,0.052,3.514,1.458,2.056,0.709,7,0.13,1.09,0.96
TO,0,O,2,3.203,0,1.679,0.516,0.121,0.057,5.576,2.373,3.203,0.741,8,0.14,1.77,1.63
TO,0,O,3,0.165,1.381,1.425,0.232,0.096,0.12,3.419,1.873,1.545,1.212,7,1.32,6.38,5.06
TO,0,O,3,0.055,0.462,0.227,0.097,0.028,0.074,0.944,0.427,0.517,0.825,3,0.2,1.73,1.53
TO,0,O,3,0.187,1.666,1.641,0.197,0.054,0.694,4.439,2.587,1.853,1.396,3,1.29,4.13,2.84
TO,0,O,3,0.1,0.815,0.245,0.135,0.035,0.065,1.395,0.48,0.915,0.525,3,1.14,4.27,3.13
TO,0,O,3,0.111,1.041,0.326,0.146,0.039,0.101,1.763,0.612,1.151,0.532,3,0.8,2.18,1.38
TO,0,O,3,0.049,0.796,0.461,0.176,0.045,0.289,1.816,0.971,0.845,1.149,3,0.31,1.94,1.63
TO,0,O,3,0.079,0.712,0.233,0.162,0.043,0.076,1.304,0.514,0.791,0.65,2,0.3,1.34,1.04
TO,0,O,4,0.213,1.517,1.21,0.274,0.101,0.075,3.39,1.66,1.73,0.959,8,0.65,3.16,2.51
TO,0,O,4,2.435,0,2.791,0.433,0.146,0.156,5.962,3.527,2.435,1.448,10,0.49,5.05,4.56
TO,0,O,4,1.475,0,0.763,0.202,0.057,0.067,2.565,1.09,1.475,0.739,8,0.39,4.01,3.62
TO,0,O,4,1.249,0,0.694,0.296,0.081,0.099,2.419,1.17,1.249,0.936,7,0.41,2.96,2.55
TO,0,O,4,1.599,0,1.503,0.224,0.064,0.207,3.598,1.998,1.599,1.25,6,0.42,1.77,1.35
TO,0,O,4,0.072,0.667,0.391,0.102,0.03,0.04,1.302,0.563,0.739,0.762,6,0.54,1.64,1.1
TO,0,O,4,0.859,0,0.211,0.084,0.021,0.034,1.209,0.35,0.859,0.408,5,0.49,1.67,1.18
TO,0,O,4,0.267,1.282,0.548,0.268,0.059,0.034,2.458,0.909,1.549,0.586,4,0.12,0.51,0.39
TO,0,O,4,0.034,0.554,0.233,0.12,0.032,0.049,1.022,0.435,0.588,0.739,4,0.27,1,0.73
TO,0,O,4,0.036,0.486,0.223,0.102,0.027,0.036,0.91,0.388,0.522,0.744,3,0.22,0.79,0.57
TO,0,O,5,0.003,1.882,0.829,0.257,0.089,0.048,3.108,1.224,1.885,0.649,8,0.56,3.14,2.58
TO,0,O,5,0.271,0,2.385,0.372,0.125,0.232,3.384,3.113,0.271,11.484,16,0.62,2.74,2.12
TO,0,O,5,1.455,0,0.692,0.108,0.031,0.049,2.336,0.881,1.455,0.605,10,1.07,3.29,2.22
TO,0,O,5,2.575,0,1.15,0.316,0.102,0.06,4.204,1.629,2.575,0.632,12,0.53,2.27,1.74
TO,0,O,5,2.088,0,0.909,0.231,0.079,0.094,3.402,1.314,2.088,0.629,6,0.58,2.07,1.49
TO,0,O,5,0.195,0.674,0.33,0.13,0.038,0.077,1.444,0.575,0.869,0.662,3,0.34,1.07,0.73
TO,0,O,5,0.294,0,0.126,0.06,0.021,0.007,0.509,0.215,0.294,0.73,6,0.06,0.35,0.29
TO,0,O,6,0.131,1.161,0.413,0.046,0.02,0.017,1.788,0.497,1.292,0.385,11,2.2,7.6,5.4
TO,0,O,6,0.121,1.276,0.644,0.12,0.039,0.027,2.226,0.829,1.397,0.594,10,0.93,6.03,5.1
TO,0,O,6,0.195,0.912,0.471,0.121,0.034,0.05,1.784,0.677,1.107,0.612,7,1.04,4.81,3.77
TO,0,O,6,0.984,0,0.401,0.153,0.038,0.055,1.632,0.647,0.984,0.658,9,0.51,2.81,2.3
TO,0,O,6,0.174,1.204,0.703,0.186,0.034,0.079,2.38,1.002,1.378,0.727,8,0.51,2.4,1.89
TO,0,O,7,0,1.423,0.881,0.215,0.061,0.024,2.603,1.18,1.423,0.829,12,2.67,13.09,10.42
TO,0,O,7,0.075,0.63,0.297,0.094,0.027,0.048,1.171,0.466,0.705,0.661,5,0.87,4.66,3.79
TO,0,O,7,0.216,1.297,0.728,0.126,0.039,0.068,2.473,0.961,1.513,0.635,10,0.8,4.13,3.33
TO,0,O,7,0.071,0.619,0.377,0.107,0.03,0.038,1.242,0.552,0.69,0.801,5,0.55,2.57,2.02
TO,0,O,7,0.019,0.842,0.553,0.169,0.037,0.015,1.635,0.774,0.861,0.899,8,0.23,2.71,2.48
TO,0,O,7,0.224,1.213,0.594,0.152,0.037,0.055,2.274,0.837,1.437,0.583,8,0.89,3.97,3.08
TO,0,O,7,1.353,0,0.829,0.139,0.043,0.122,2.486,1.133,1.353,0.838,10,2.12,5.87,3.75
TO,0,O,7,0.25,0.682,0.597,0.145,0.037,0.072,1.783,0.85,0.932,0.912,7,1.29,3.89,2.6
TO,0,O,7,0.183,1.138,0.706,0.228,0.064,0.027,2.347,1.025,1.322,0.776,9,0.7,2.59,1.89
TO,0,O,7,0.91,0,0.589,0.144,0.032,0.064,1.739,0.828,0.91,0.91,6,0.92,2.63,1.71
TO,0,O,8,0.199,1.196,1.205,0.232,0.059,0.023,2.914,1.519,1.395,1.089,9,0.59,4.82,4.23
TO,0,O,8,0.234,1.159,1.14,0.153,0.034,0.109,2.829,1.436,1.393,1.031,6,0.64,3.72,3.08
TO,0,O,8,0.099,0.943,0.661,0.136,0.038,0.061,1.938,0.896,1.042,0.86,4,0.64,3.29,2.65
TO,0,O,8,0,2.319,2.171,0.431,0.119,0.111,5.152,2.832,2.319,1.221,8,1.11,5.21,4.1
TO,0,O,8,0.171,0.986,0.331,0.133,0.037,0.054,1.711,0.554,1.157,0.479,5,1,3.07,2.07
TO,0,O,8,0.05,0.735,0.464,0.124,0.028,0.018,1.419,0.634,0.785,0.808,7,0.88,3.14,2.26
TIA,1,A,1,1.812,0,1.792,0.393,0.105,0.052,4.153,2.341,1.812,1.292,6,0.32,1.39,1.07
TIA,1,A,1,0.966,0,0.71,0.189,0.053,0.054,1.972,1.006,0.966,1.042,6,0.65,2.09,1.44
TIA,1,A,1,1.202,0,0.974,0.28,0.077,0.049,2.582,1.38,1.202,1.148,10,0.49,1.75,1.26
TIA,1,A,1,2.131,0,2.279,0.507,0.14,0.053,5.11,2.978,2.131,1.397,15,0.23,1.07,0.84
TIA,1,A,1,1.216,0,0.344,0.213,0.061,0.028,1.863,0.647,1.216,0.532,4,0.2,0.97,0.77
TIA,1,A,1,1.191,0,0.666,0.168,0.054,0.078,2.157,0.966,1.191,0.811,8,0.9,2.68,1.78
TIA,1,A,1,0.117,1.017,0.973,0.177,0.051,0.136,2.47,1.337,1.133,1.18,5,1.53,4.49,2.96
TIA,1,A,1,0.484,1.075,0.927,0.153,0.052,0.063,2.753,1.195,1.559,0.766,7,0.91,2.96,2.05
TIA,1,A,1,0.812,0,0.566,0.123,0.042,0.086,1.63,0.817,0.812,1.006,2,0.22,0.67,0.45
TIA,1,A,1,0.708,0,0.649,0.158,0.047,0.056,1.645,0.911,0.734,1.24,6,1.56,4.51,2.95
TIA,1,A,2,1.018,0,0.434,0.134,0.039,0.044,1.669,0.651,1.018,0.639,7,0.42,1.34,0.92
TIA,1,A,2,0.145,1.447,0.921,0.131,0.04,0.03,2.712,1.12,1.592,0.704,10,1.28,3.71,2.43
TIA,1,A,2,0.303,1.043,1.082,0.215,0.065,0.063,2.771,1.425,1.346,1.059,7,1.14,3.39,2.25
TIA,1,A,2,2.179,0,1.465,0.285,0.095,0.051,4.075,1.896,2.179,0.87,4,0.84,2.94,2.1
TIA,1,A,2,0.911,0,0.807,0.162,0.048,0.065,1.993,1.081,0.911,1.186,6,1.43,3.87,2.44
TIA,1,A,2,0.142,1.146,0.612,0.117,0.039,0.032,2.087,0.8,1.288,0.621,6,0.84,2.65,1.81
TIA,1,A,2,0.087,0.956,0.355,0.09,0.032,0,1.52,0.477,1.043,0.458,12,1.03,2.93,1.9
TIA,1,A,2,0.78,0,0.506,0.156,0.045,0.077,1.564,0.784,0.78,1.005,8,0.82,2.57,1.75
TIA,1,A,2,0.844,0,0.633,0.126,0.04,0.039,1.683,0.839,0.844,0.993,7,1.23,4.29,3.06
TIA,1,A,3,0.174,1.197,0.676,0.173,0.051,0.208,2.478,1.107,1.371,0.808,3,0.6,1.86,1.26
TIA,1,A,3,0.393,1.108,0.732,0.086,0.024,0.286,2.629,1.128,1.501,0.751,3,0.79,2.26,1.47
TIA,1,A,3,0.132,0.849,0.398,0.201,0.051,0.106,1.736,0.755,0.981,0.77,2,0.41,1.51,1.1
TIA,1,A,3,0.39,0.958,0.751,0.145,0.042,0.144,2.431,1.083,1.349,0.803,3,0.91,2.98,2.07
TIA,1,A,3,0.111,1.015,0.775,0.171,0.046,0.154,2.271,1.145,1.125,1.018,3,1.29,3.95,2.66
TIA,1,A,3,0.164,1.399,0.754,0.105,0.032,0.037,2.491,0.928,1.563,0.594,4,1.06,3.65,2.59
TIA,1,A,3,0.063,0.822,0.85,0.193,0.045,0.368,2.341,1.456,0.885,1.645,2,1.7,5,3.3
TIA,1,A,3,0.169,1.248,0.559,0.124,0.037,0.087,2.223,0.806,1.417,0.569,3,1.05,3.06,2.01
TIA,1,A,3,0,0.317,0.373,0.145,0.039,0.116,0.99,0.672,0.317,2.119,3,0.78,2.34,1.56
TIA,1,A,3,0.172,0.596,0.347,0.117,0.035,0.055,1.323,0.555,0.768,0.722,3,1.08,3.01,1.93
TIA,1,A,4,1.418,0,1.124,0.412,0.103,0.048,3.105,1.687,1.418,1.189,8,0.4,1.84,1.44
TIA,1,A,4,1.899,0,1.81,0.159,0.083,0.077,4.029,2.129,1.899,1.121,11,0.66,2.24,1.58
TIA,1,A,4,0.423,2.36,2.01,0.206,0.071,0.055,5.125,2.341,2.783,0.841,7,0.81,2.48,1.67
TIA,1,A,4,1.288,0,0.725,0.147,0.045,0.041,2.246,0.958,1.288,0.743,7,1.61,4.4,2.79
TIA,1,A,4,0.128,1.096,0.966,0.166,0.049,0.051,2.456,1.231,1.224,1.006,6,1.07,3.04,1.97
TIA,1,A,4,0.202,1.537,1.038,0.15,0.047,0.044,3.018,1.279,1.739,0.736,4,1.67,4.97,3.3
TIA,1,A,4,1.096,0,0.898,0.177,0.05,0.092,2.312,1.217,1.096,1.111,7,0.92,2.38,1.46
TIA,1,A,4,0.686,0,0.297,0.124,0.042,0.036,1.184,0.498,0.686,0.726,7,0.94,2.63,1.69
TIA,1,A,4,0.355,1.348,0.801,0.107,0.031,0.064,2.707,1.004,1.703,0.59,5,1.11,2.81,1.7
TIA,1,A,4,0.526,0.947,0.584,0.091,0.028,0.109,2.284,0.811,1.473,0.551,4,0.67,2.01,1.34
TIA,1,A,5,1.827,0,1.93,0.326,0.09,0.117,4.29,2.463,1.827,1.348,7,1.16,6.47,5.31
TIA,1,A,5,2.11,0,1.168,0.113,0.048,0.016,3.456,1.346,2.11,0.638,10,1.76,7.56,5.8
TIA,1,A,5,2.507,0,1.942,0.385,0.096,0.078,5.008,2.501,2.507,0.998,7,0.79,3.48,2.69
TIA,1,A,5,1.347,0,1.149,0.166,0.042,0.082,2.787,1.44,1.347,1.069,10,2.13,7.53,5.4
TIA,1,A,5,1.138,0,0.723,0.182,0.048,0.056,2.147,1.009,1.138,0.887,6,1.67,4.67,3
TIA,1,A,5,1.416,0,1.323,0.195,0.052,0.084,3.07,1.655,1.416,1.169,8,0.66,3.57,2.91
TIA,1,A,5,1.987,0,1.08,0.24,0.065,0.019,3.391,1.405,1.987,0.707,17,1.16,3.83,2.67
TIA,1,A,5,0.992,0,0.333,0.125,0.035,0.034,1.518,0.526,0.992,0.53,9,0.77,2.35,1.58
TIA,1,A,5,1.464,0,0.604,0.2,0.051,0.025,2.344,0.88,1.464,0.601,12,1.06,3.22,2.16
TIA,1,A,5,1.764,0,0.826,0.21,0.054,0.03,2.885,1.12,1.764,0.635,9,1,3,2
TIA,1,A,6,0.271,1.525,1.135,0.197,0.057,0.011,3.195,1.4,1.796,0.779,4,0.89,2.89,2
TIA,1,A,6,0.178,1.23,0.616,0.084,0.03,0.01,2.148,0.74,1.408,0.525,12,1.15,4.05,2.9
TIA,1,A,6,0.057,0.835,0.362,0.129,0.04,0.019,1.442,0.551,0.892,0.617,11,0.74,2.2,1.46
TIA,1,A,6,0.072,0.909,0.496,0.145,0.048,0.018,1.688,0.707,0.981,0.72,11,1.09,3.38,2.29
TIA,1,A,6,0.153,1.121,0.65,0.106,0.03,0.027,2.086,0.813,1.273,0.638,11,2.32,6.11,3.79
TIA,1,A,6,0.764,0,0.412,0.137,0.037,0.058,1.409,0.644,0.764,0.843,7,0.65,1.76,1.11
TIA,1,A,6,1.542,0,1.007,0.196,0.05,0.079,2.874,1.332,1.542,0.864,5,1.49,4.15,2.66
TIA,1,A,6,1.103,0,0.518,0.148,0.044,0.01,1.823,0.72,1.103,0.653,6,0.71,2.16,1.45
TIA,1,A,7,0.205,1.334,1.683,0.236,0.063,0.024,3.544,2.006,1.539,1.304,9,1.63,7.85,6.22
TIA,1,A,7,0.103,0.868,0.467,0.091,0.036,0.006,1.571,0.6,0.97,0.618,7,0.78,3.28,2.5
TIA,1,A,7,0.6,1.823,2.042,0.22,0.062,0.082,4.829,2.406,2.423,0.993,2,2.26,9.64,7.38
TIA,1,A,7,0.402,0.854,0.829,0.154,0.047,0.032,2.317,1.061,1.256,0.845,7,1.5,4.6,3.1
TIA,1,A,7,0.168,1.144,1.246,0.258,0.061,0.073,2.95,1.638,1.312,1.249,10,2,10.28,8.28
TIA,1,A,7,1.487,0,0.839,0.217,0.06,0.031,2.634,1.147,1.487,0.771,9,1.17,4.53,3.36
TIA,1,A,7,0.281,1.181,1.582,0.214,0.069,0.027,3.355,1.893,1.463,1.294,7,2.1,10.29,8.19
TIA,1,A,7,1.011,0,0.427,0.145,0.045,0.014,1.642,0.631,1.011,0.623,5,1.97,5.48,3.51
TIA,1,A,7,1.779,0,1.555,0.334,0.084,0.053,3.804,2.026,1.779,1.139,5,1.04,6.21,5.17
TIA,1,A,8,1.706,0,2.364,0.257,0.06,0.165,4.553,2.847,1.706,1.669,10,0.76,3.82,3.06
TIA,1,A,8,0.154,1.331,1.28,0.416,0.095,0.036,3.312,1.828,1.484,1.231,7,0.45,2.19,1.74
TIA,1,A,8,0.842,0,0.896,0.187,0.052,0.092,2.068,1.226,0.842,1.457,8,0.81,2.51,1.7
TIA,1,A,8,1.549,0,1.009,0.203,0.053,0.086,2.9,1.351,1.549,0.872,9,1.85,7.03,5.18
TIA,1,A,8,0.105,0.874,0.662,0.213,0.059,0.015,1.927,0.949,0.978,0.97,4,0.9,4.63,3.73
TIA,1,A,8,0.018,0.704,0.517,0.25,0.067,0.015,1.57,0.848,0.722,1.175,5,0.33,1.46,1.13
TIA,1,A,8,0.133,1.084,0.699,0.185,0.058,0.051,2.21,0.994,1.217,0.817,6,0.83,2.6,1.77
TIA,1,A,8,0.168,0.81,0.606,0.172,0.046,0.016,1.818,0.84,0.979,0.858,7,1.94,5.87,3.93
TIB,1,A,8,0.176,0.964,1.129,0.221,0.056,0.16,2.705,1.565,1.14,1.373,6,0.79,2.41,1.62
TIB,1,B,1,0.033,0.568,0.636,0.146,0.049,0.098,1.53,0.929,0.601,1.546,4,1,3.88,2.88
TIB,1,B,1,0,0.848,0.729,0.226,0.073,0.104,1.98,1.132,0.848,1.335,5,0.19,1.48,1.29
TIB,1,B,1,0.112,0.891,0.569,0.121,0.04,0.04,1.773,0.77,1.004,0.767,5,0.5,2.4,1.9
TIB,1,B,1,0.065,1.051,0.501,0.151,0.045,0.043,1.857,0.741,1.116,0.664,4,1.31,4.78,3.47
TIB,1,B,1,0,0.939,0.724,0.232,0.062,0.063,2.02,1.081,0.939,1.15,5,1.01,3.89,2.88
TIB,1,B,1,0.193,0.89,0.649,0.146,0.045,0.092,2.014,0.932,1.083,0.86,5,0.38,2.05,1.67
TIB,1,B,1,0.16,0.67,0.484,0.183,0.063,0.046,1.607,0.777,0.83,0.936,4,0.33,1.9,1.57
TIB,1,B,1,0.102,0.652,0.396,0.141,0.037,0.016,1.344,0.59,0.754,0.783,5,1.02,3.92,2.9
TIB,1,B,1,0.029,0.681,0.36,0.097,0.042,0.018,1.228,0.518,0.71,0.73,9,0.53,2.47,1.94
TIB,1,B,1,0.133,0.904,0.593,0.148,0.05,0.034,1.862,0.825,1.037,0.795,8,1.1,4.17,3.07
TIB,1,B,2,0,0.414,0.22,0.087,0.036,0.012,0.768,0.354,0.414,0.856,4,0.97,3.79,2.82
TIB,1,B,2,0,0.509,0.241,0.118,0.048,0.029,0.945,0.436,0.509,0.856,7,0.36,1.98,1.62
TIB,1,B,2,0,0.509,0.297,0.097,0.038,0.035,0.976,0.467,0.509,0.918,4,0.86,3.45,2.59
TIB,1,B,2,0,0.483,0.239,0.214,0.068,0.024,1.028,0.545,0.483,1.128,3,0.94,3.68,2.74
TIB,1,B,2,0.153,1.234,0.666,0.191,0.058,0.025,2.327,0.941,1.387,0.678,7,2.33,7.82,5.49
TIB,1,B,2,0,0.585,0.339,0.141,0.055,0.009,1.13,0.545,0.585,0.931,9,1.61,5.69,4.08
TIB,1,B,2,0.089,0.965,0.5,0.127,0.043,0.023,1.746,0.693,1.053,0.658,11,0.96,3.76,2.8
TIB,1,B,2,0.189,1.077,0.564,0.134,0.047,0.021,2.032,0.766,1.266,0.605,6,1.27,4.68,3.41
TIB,1,B,2,0,0.664,0.393,0.128,0.068,0.027,1.279,0.615,0.664,0.926,13,0.57,2.6,2.03
TIB,1,B,2,0,0.555,0.347,0.119,0.048,0.023,1.092,0.537,0.555,0.968,5,0.59,2.67,2.08
TIB,1,B,3,0.145,0.567,0.186,0.142,0.049,0.04,1.128,0.416,0.712,0.584,5,1.12,4.23,3.11
TIB,1,B,3,0.094,0.511,0.225,0.092,0.036,0.024,0.981,0.375,0.606,0.62,3,0.85,3.44,2.59
TIB,1,B,3,0.101,0.484,0.424,0.147,0.048,0.041,1.245,0.66,0.585,1.128,3,1.01,3.9,2.89
TIB,1,B,3,0.047,0.672,0.336,0.1,0.038,0.033,1.226,0.507,0.72,0.704,3,0.46,2.28,1.82
TIB,1,B,3,0.968,0,0.704,0.158,0.053,0.043,1.925,0.958,0.968,0.99,2,0.95,3.72,2.77
TIB,1,B,3,1.011,0,0.804,0.157,0.048,0.127,2.147,1.136,1.011,1.124,2,0.49,2.36,1.87
TIB,1,B,3,0.848,0,0.54,0.14,0.045,0.033,1.607,0.758,0.848,0.894,2,0.76,3.16,2.4
TIB,1,B,3,1.438,0,0.97,0.136,0.048,0.044,2.725,1.198,1.526,0.785,2,1.08,4.1,3.02
TIB,1,B,3,0.57,0,0.506,0.112,0.037,0.026,1.251,0.68,0.57,1.192,3,0.93,3.66,2.73
TIB,1,B,3,0.541,0,0.277,0.082,0.029,0.02,0.949,0.408,0.541,0.753,4,1.24,4.58,3.34
TIB,1,B,4,0.688,0,0.355,0.095,0.032,0.032,1.201,0.513,0.688,0.746,5,0.06,1.1,1.04
TIB,1,B,4,0.895,0,0.454,0.146,0.042,0.042,1.579,0.684,0.895,0.764,7,1.19,4.44,3.25
TIB,1,B,4,1.331,0,0.835,0.155,0.046,0.038,2.405,1.074,1.331,0.806,3,1.06,4.06,3
TIB,1,B,4,1.353,0,0.84,0.174,0.049,0.128,2.544,1.191,1.353,0.88,6,1.51,5.39,3.88
TIB,1,B,4,1.983,0,1.41,0.253,0.071,0.038,3.754,1.771,1.983,0.893,8,0.34,1.91,1.57
TIB,1,B,4,2.519,0,2.067,0.387,0.117,0.123,5.214,2.694,2.519,1.069,6,0.6,2.68,2.08
TIB,1,B,4,2.34,0,1.433,0.246,0.071,0.031,4.121,1.781,2.34,0.761,6,1.31,4.79,3.48
TIB,1,B,4,1.408,0,0.601,0.24,0.064,0.023,2.337,0.929,1.408,0.659,4,1.34,4.87,3.53
TIB,1,B,4,1.228,0,0.476,0.186,0.054,0.037,1.982,0.753,1.228,0.613,12,1.66,5.82,4.16
TIB,1,B,5,0.39,0.5,0.437,0.128,0.038,0.028,1.522,0.632,0.89,0.71,3,0.35,1.94,1.59
TIB,1,B,5,0.045,0.621,0.397,0.077,0.023,0.048,1.211,0.545,0.666,0.819,6,1.77,6.16,4.39
TIB,1,B,5,0.063,0.335,0.144,0.106,0.034,0.011,0.693,0.296,0.398,0.744,7,1.16,4.34,3.18
TIB,1,B,5,0,0.472,0.162,0.111,0.034,0.014,0.792,0.32,0.472,0.678,7,0.7,2.99,2.29
TIB,1,B,5,0.039,0.514,0.23,0.086,0.036,0.036,0.941,0.389,0.553,0.703,7,2.99,9.77,6.78
TIB,1,B,5,0,1.243,0.668,0.201,0.059,0.032,2.203,0.961,1.243,0.773,9,1.85,6.39,4.54
TIB,1,B,5,0.266,1.309,0.74,0.203,0.055,0.027,2.599,1.024,1.576,0.65,9,1.9,6.52,4.62
TIB,1,B,5,0.143,0.782,0.472,0.151,0.05,0.02,1.617,0.692,0.925,0.748,11,1.17,4.38,3.21
TIB,1,B,5,0.352,0.672,0.392,0.171,0.049,0.022,1.66,0.635,1.024,0.62,9,0.51,2.41,1.9
TIB,1,B,5,0.155,1.014,0.501,0.163,0.049,0.025,1.905,0.737,1.168,0.631,10,0.97,3.77,2.8
TIB,1,B,6,0.211,1.281,1.76,0.183,0.055,0.084,3.575,2.082,1.493,1.395,5,0.48,2.33,1.85
TIB,1,B,6,0.111,0.827,0.472,0.175,0.049,0.052,1.686,0.749,0.937,0.799,10,0.75,3.14,2.39
TIB,1,B,6,0.065,1.334,1.283,0.171,0.066,0.046,2.965,1.567,1.399,1.12,7,0.24,1.61,1.37
TIB,1,B,6,0.162,1.071,0.837,0.106,0.044,0.031,2.25,1.018,1.233,0.826,7,0.43,2.17,1.74
TIB,1,B,6,0,0.811,0.387,0.121,0.038,0.011,1.368,0.557,0.811,0.687,9,0.99,3.85,2.86
TIB,1,B,6,0.198,0.751,0.409,0.14,0.043,0.042,1.583,0.634,0.949,0.668,9,0.92,3.64,2.72
TIB,1,B,6,0.577,0.818,0.956,0.145,0.053,0.033,2.582,1.187,1.395,0.851,5,1.78,6.19,4.41
TIB,1,B,6,0.061,0.95,0.618,0.154,0.044,0.011,1.838,0.827,1.011,0.818,13,0.99,3.84,2.85
TIB,1,B,6,0.181,0.75,0.446,0.125,0.043,0.029,1.574,0.644,0.93,0.692,12,1.71,5.98,4.27
TIB,1,B,6,0.091,0.871,0.775,0.181,0.056,0.061,2.035,1.073,0.962,1.116,10,0.6,2.68,2.08
TIB,1,B,7,0.161,0.546,0.167,0.077,0.028,0.029,1.008,0.301,0.707,0.426,5,3.09,10.06,6.97
TIB,1,B,7,0.229,0.96,0.863,0.154,0.055,0.062,2.322,1.133,1.189,0.954,12,1.37,4.97,3.6
TIB,1,B,7,0.009,0.583,0.438,0.095,0.031,0.052,1.208,0.617,0.592,1.043,10,2.47,8.21,5.74
TIB,1,B,7,0,1.298,0.922,0.275,0.062,0.076,2.634,1.336,1.298,1.029,8,3.33,10.78,7.45
TIB,1,B,7,0.188,0.662,0.397,0.133,0.043,0.036,1.458,0.609,0.849,0.716,11,2.71,8.94,6.23
TIB,1,B,7,0.124,1.014,0.584,0.133,0.043,0.057,1.955,0.817,1.138,0.718,11,2.5,8.31,5.81
TIB,1,B,7,0.15,1.165,0.679,0.101,0.038,0.034,2.166,0.851,1.315,0.648,15,3.82,12.22,8.4
TIB,1,B,7,0.399,1.546,1.617,0.273,0.074,0.107,4.016,2.071,1.945,1.065,9,3.55,11.42,7.87
TIB,1,B,7,0.049,0.762,0.428,0.177,0.05,0.022,1.487,0.677,0.811,0.835,6,2.54,8.44,5.9
TIB,1,B,7,0.199,0.255,0.296,0.139,0.041,0.032,0.962,0.508,0.454,1.121,12,3.41,11,7.59
TIB,1,B,8,0.106,0.709,0.694,0.116,0.036,0.102,1.764,0.949,0.815,1.164,6,0.67,2.88,2.21
TIB,1,B,8,0,0.035,0.226,0.028,0.016,0,0.305,0.27,0.035,7.766,5,1.47,5.27,3.8
TIB,1,B,8,0.034,0.644,0.463,0.08,0.03,0.066,1.317,0.639,0.678,0.943,5,1.23,4.55,3.32
TIB,1,B,8,0.17,0.415,0.489,0.113,0.035,0.144,1.365,0.781,0.584,1.337,6,0.96,3.76,2.8
TIB,1,B,8,0.038,0.72,0.451,0.119,0.033,0.096,1.457,0.699,0.758,0.922,8,1.05,4.03,2.98
TIB,1,B,8,0.179,1.35,0.667,0.078,0.031,0.127,2.433,0.904,1.529,0.591,5,0.7,2.98,2.28
TIB,1,B,8,0,0.389,0.215,0.134,0.038,0.018,0.794,0.405,0.389,1.042,6,1.14,4.3,3.16
TIB,1,B,8,0.019,0.601,0.414,0.106,0.035,0.088,1.263,0.643,0.62,1.036,9,0.82,3.35,2.53
TIB,1,B,8,0.114,0.595,0.447,0.141,0.043,0.099,1.44,0.731,0.71,1.03,8,1.32,4.83,3.51
TIB,1,B,8,0.04,0.856,0.482,0.152,0.039,0.178,1.746,0.851,0.896,0.95,7,0.79,3.24,2.45
