COUNTRY,GDP (BILLIONS),CODE,COUNTRY,Population.2010,Population.2011,Population.2012,Population.2013,Population.2014
Spain,1400,ESP,ESP,46576897,46742697,46773055,46620045,46404602
Estonia,26.36,EST,EST,1331475,1327439,1322696,1317997,1313645
Ethiopia,49.86,ETH,ETH,87561814,89858696,92191211,94558374,96958732
Finland,276.3,FIN,FIN,5363352,5388272,5413971,5438972,5463596
Fiji,4.17,FJI,FJI,859952,867327,874158,880487,886450
France,2902,FRA,FRA,65027512,65342776,65639975,65925498,66206930
Faroe Islands,2.32,FRO,FRO,48567,48492,48393,48292,48221
"Micronesia, Federated States of",0.34,FSM,FSM,103619,103476,103516,103718,104044
Gabon,20.68,GAB,GAB,1541936,1577298,1613489,1650351,1687673
United Kingdom,2848,GBR,GBR,62766365,63258918,63700300,64106779,64510376
Georgia,16.13,GEO,GEO,4452800,4483350,4490700,4487200,4504100
Ghana,35.48,GHA,GHA,24317734,24928503,25544565,26164432,26786598
Guinea,6.77,GIN,GIN,11012406,11316351,11628767,11948726,12275527
"Gambia, The",0.92,GMB,GMB,1693002,1749099,1807108,1866878,1928201
Guinea-Bissau,1.04,GNB,GNB,1634196,1673509,1714620,1757138,1800513
Equatorial Guinea,15.4,GNQ,GNQ,728710,750918,773729,797082,820885
Greece,246.4,GRC,GRC,11153454,11123213,11092771,11027549,10957740
Grenada,0.84,GRD,GRD,104677,105070,105476,105902,106349
Greenland,2.16,GRL,GRL,56905,56890,56810,56483,56295
Guatemala,58.3,GTM,GTM,14732261,15049280,15368759,15690793,16015494
Guam,4.6,GUM,GUM,159440,160858,162807,165121,167543
Guyana,3.14,GUY,GUY,753362,755883,758410,761033,763893
Hong Kong,292.7,HKG,HKG,7024200,7071600,7154600,7187500,7241700
Honduras,19.37,HND,HND,7503875,7621414,7736131,7849059,7961680
Croatia,57.18,HRV,HRV,4417781,4280622,4267558,4255689,4238389
Haiti,8.92,HTI,HTI,9999617,10144890,10288828,10431249,10572029
Hungary,129.7,HUN,HUN,10000023,9971727,9920362,9893082,9861673
Indonesia,856.1,IDN,IDN,241613126,244808254,248037853,251268276,254454778
Isle of Man,4.08,IMN,IMN,84327,85069,85779,86462,87127
India,2048,IND,IND,1230984504,1247446011,1263589639,1279498874,1295291543
Ireland,245.8,IRL,IRL,4560155,4576794,4586897,4598294,4612719
Iran,402.7,IRN,IRN,74253373,75184322,76156975,77152445,78143644
Iraq,232.2,IRQ,IRQ,30868156,31810191,32780975,33781385,34812326
Iceland,16.2,ISL,ISL,318041,319014,320716,323764,327589
Israel,305,ISR,ISR,7623600,7765800,7910500,8059500,8215300
Italy,2129,ITA,ITA,59277417,59379449,59539717,60233948,61336387
Jamaica,13.92,JAM,JAM,2690824,2699838,2707805,2714734,2721252
Jordan,36.55,JOR,JOR,6046000,6181000,6318000,6460000,6607000
Japan,4770,JPN,JPN,128070000,127817277,127561489,127338621,127131800
Kazakhstan,225.6,KAZ,KAZ,16321581,16556600,16791425,17035275,17289111
Kenya,62.72,KEN,KEN,40328313,41419954,42542978,43692881,44863583
Kyrgyzstan,7.65,KGZ,KGZ,5447900,5514600,5607200,5719600,5834200
Cambodia,16.9,KHM,KHM,14363586,14593099,14832255,15078564,15328136
Kiribati,0.16,KIR,KIR,102648,104662,106620,108544,110470
Saint Kitts and Nevis,0.81,KNA,KNA,52352,52998,53650,54301,54944
"Korea, North",28,KOR,KOR,49410366,49779440,50004441,50219669,50423955
Kosovo,5.99,KSV,KSV,1775680,1790957,1805200,1818117,1823149
Kuwait,179.3,KWT,KWT,3059473,3239181,3419581,3593689,3753121
Laos,11.71,LAO,LAO,6260544,6366909,6473050,6579985,6689300
Lebanon,47.5,LBN,LBN,4337156,4388637,4440728,4493438,4546774
Liberia,2.07,LBR,LBR,3957990,4079574,4190155,4293692,4396554
Libya,49.34,LBY,LBY,6265697,6288652,6283403,6265987,6258984
Saint Lucia,1.35,LCA,LCA,177397,179278,180890,182305,183645
Liechtenstein,5.11,LIE,LIE,36276,36537,36791,37040,37286
Sri Lanka,71.57,LKA,LKA,20653000,20869000,20328000,20483000,20639000
Lesotho,2.46,LSO,LSO,2010586,2032950,2057331,2083061,2109197
Lithuania,48.72,LTU,LTU,3097282,3028115,2987773,2957689,2929323
Luxembourg,63.93,LUX,LUX,506953,518347,530946,543360,556074
Latvia,32.82,LVA,LVA,2097555,2059709,2034319,2012647,1990351
Macau,51.68,MAC,MAC,534626,546682,557763,568056,577914
Saint Martin,0.56,MAF,MAF,30235,30615,30959,31264,31530
Morocco,112.6,MAR,MAR,32107739,32531964,32984190,33452686,33921203
Monaco,6.06,MCO,MCO,36845,37189,37404,37528,37623
Moldova,7.74,MDA,MDA,3562045,3559986,3559519,3558566,3556400
Madagascar,11.19,MDG,MDG,21079532,21678867,22293720,22924557,23571713
Maldives,2.41,MDV,MDV,367000,377000,385000,393000,401000
Mexico,1296,MEX,MEX,118617542,120365271,122070963,123740109,125385833
Marshall Islands,0.18,MHL,MHL,52428,52541,52663,52786,52898
Macedonia,10.92,MKD,MKD,2062443,2065888,2069270,2072543,2075625
Mali,12.04,MLI,MLI,15167286,15639115,16112333,16592097,17086022
Malta,10.57,MLT,MLT,414508,416268,419455,423374,427404
Burma,65.29,MMR,MMR,51733013,52125411,52543841,52983829,53437159
Montenegro,4.66,MNE,MNE,619428,620079,620601,621207,621800
Mongolia,11.73,MNG,MNG,2712657,2759074,2808339,2859174,2909871
Northern Mariana Islands,1.23,MNP,MNP,53860,53234,53314,53869,54541
Mozambique,16.59,MOZ,MOZ,24321457,25016921,25732928,26467180,27216276
Mauritania,4.29,MRT,MRT,3591400,3683221,3777067,3872684,3969625
Mauritius,12.72,MUS,MUS,1250400,1252404,1255882,1258653,1260934
Malawi,4.41,MWI,MWI,14769824,15226813,15700436,16190126,16695253
Malaysia,336.9,MYS,MYS,28119500,28572970,29021940,29465372,29901997
Namibia,13.11,NAM,NAM,2193643,2240161,2291645,2346592,2402858
New Caledonia,11.1,NCL,NCL,250000,254000,258000,262000,266000
Niger,8.29,NER,NER,16291990,16946485,17635782,18358863,19113728
Nigeria,594.3,NGA,NGA,159424742,163770669,168240403,172816517,177475986
Nicaragua,11.85,NIC,NIC,5737722,5807787,5877034,5945646,6013913
Netherlands,880.4,NLD,NLD,16615394,16693074,16754962,16804432,16854183
Norway,511.6,NOR,NOR,4889252,4953088,5018573,5079623,5136475
Nepal,19.64,NPL,NPL,26875910,27179237,27500515,27834981,28174724
New Zealand,201,NZL,NZL,4350700,4384000,4408100,4442100,4509700
Oman,80.54,OMN,OMN,2943747,3210003,3545192,3906912,4236057
Pakistan,237.5,PAK,PAK,170043918,173669648,177392252,181192646,185044286
Panama,44.69,PAN,PAN,3620506,3681979,3743761,3805683,3867535
Peru,208.2,PER,PER,29373644,29759891,30158768,30565461,30973148
Philippines,284.6,PHL,PHL,93038902,94501233,96017322,97571676,99138690
Palau,0.65,PLW,PLW,20470,20606,20756,20919,21097
Papua New Guinea,16.1,PNG,PNG,6847517,7001172,7154870,7308864,7463577
Poland,552.2,POL,POL,38042794,38063255,38063164,38040196,37995529
Puerto Rico,93.52,PRI,PRI,3721527,3686771,3642281,3595839,3548397
"Korea, South",1410,PRK,PRK,24500506,24631359,24763353,24895705,25026772
Portugal,228.2,PRT,PRT,10573100,10557560,10514844,10457295,10397393
Paraguay,31.3,PRY,PRY,6209877,6293763,6379162,6465669,6552518
French Polynesia,7.15,PYF,PYF,268065,270862,273775,276766,279781
Qatar,212,QAT,QAT,1765513,1905437,2015624,2101288,2172065
Romania,199,ROU,ROU,20246871,20147528,20058035,19983693,19910995
Russia,2057,RUS,RUS,142849449,142960868,143201676,143506911,143819569
Rwanda,8,RWA,RWA,10293669,10556429,10817350,11078095,11341544
Saudi Arabia,777.9,SAU,SAU,28090647,28788438,29496047,30201051,30886545
Sudan,70.03,SDN,SDN,36114885,36918193,37712420,38515095,39350274
Senegal,15.88,SEN,SEN,12956791,13357003,13780108,14221041,14672557
Singapore,307.9,SGP,SGP,5076700,5183700,5312400,5399200,5469700
Solomon Islands,1.16,SLB,SLB,526177,537648,549162,560685,572171
Sierra Leone,5.41,SLE,SLE,5775902,5908908,6043157,6178859,6315627
El Salvador,25.14,SLV,SLV,6038306,6055208,6072233,6089644,6107706
San Marino,1.86,SMR,SMR,30690,30938,31172,31391,31595
Somalia,2.37,SOM,SOM,9581714,9806670,10033630,10268157,10517569
Serbia,42.65,SRB,SRB,7291436,7234099,7199077,7164132,7129428
South Sudan,11.89,SSD,SSD,10056475,10510122,10980623,11453810,11911184
Sao Tome and Principe,0.36,STP,STP,170880,174646,178484,182386,186342
Suriname,5.27,SUR,SUR,518141,523439,528535,533450,538248
Slovakia,99.75,SVK,SVK,5391428,5398384,5407579,5413393,5418506
Slovenia,49.93,SVN,SVN,2048583,2052843,2057159,2059953,2062218
Sweden,559.1,SWE,SWE,9378126,9449213,9519374,9600379,9689555
Swaziland,3.84,SWZ,SWZ,1193148,1212458,1231694,1250641,1269112
Sint Maarten,304.1,SXM,SXM,35474,33435,34640,36607,37664
Seychelles,1.47,SYC,SYC,89770,87441,88303,89900,91526
Syria,64.7,SYR,SYR,20720602,21070917,21427155,21789415,22157800
Chad,15.84,TCD,TCD,11896380,12298512,12715465,13145788,13587053
Togo,4.84,TGO,TGO,6390851,6566179,6745581,6928719,7115163
Thailand,373.8,THA,THA,66692024,66902958,67164130,67451422,67725979
Tajikistan,9.16,TJK,TJK,7581696,7753925,7930929,8111894,8295840
Turkmenistan,43.5,TKM,TKM,5041995,5106672,5172941,5240088,5307188
Timor-Leste,4.51,TLS,TLS,1066409,1120392,1148958,1180069,1212107
Tonga,0.49,TON,TON,103947,104392,104769,105139,105586
Trinidad and Tobago,29.63,TTO,TTO,1328095,1334790,1341579,1348240,1354483
Tunisia,49.12,TUN,TUN,10547100,10673800,10777500,10886500,10996600
Turkey,813.3,TUR,TUR,72310416,73199372,74099255,75010202,75932348
Tuvalu,0.04,TUV,TUV,9827,9844,9860,9876,9893
Tanzania,36.62,TZA,TZA,45648525,47122998,48645709,50213457,51822621
Uganda,26.09,UGA,UGA,33149417,34260342,35400620,36573387,37782971
Ukraine,134.9,UKR,UKR,45870700,45706100,45593300,45489600,45362900
Uruguay,55.6,URY,URY,3374414,3385610,3396753,3407969,3419516
United States,17420,USA,USA,309347057,311721632,314112078,316497531,318857056
Uzbekistan,63.08,UZB,UZB,28562400,29339400,29774500,30243200,30757700
Saint Vincent and the Grenadines,0.75,VCT,VCT,109316,109341,109334,109327,109360
Venezuela,209.2,VEN,VEN,28995745,29427631,29854238,30276045,30693827
Vietnam,187.8,VNM,VNM,86932500,87840000,88772900,89708900,90730000
Vanuatu,0.82,VUT,VUT,236299,241876,247498,253165,258883
Samoa,0.83,WSM,WSM,186029,187434,188901,190390,191845
Yemen,45.45,YEM,YEM,23591972,24234940,24882792,25533217,26183676
South Africa,341.2,ZAF,ZAF,50791808,51553479,52341695,53157490,54001953
Zambia,25.61,ZMB,ZMB,13917439,14343526,14786581,15246086,15721343
Zimbabwe,13.74,ZWE,ZWE,13973897,14255592,14565482,14898092,15245855
