"","MONTH","CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST","DEST_STATE_NM","X","count"
"191",1,"AA",13851,"OKC","Oklahoma","DFW","Texas",NA,2845
"192",1,"AA",11278,"DCA","Virginia","JFK","New York",NA,3017
"193",1,"AA",12478,"JFK","New York","DCA","Virginia",NA,2941
"194",1,"AA",11298,"DFW","Texas","PIT","Pennsylvania",NA,2140
"195",1,"AA",14122,"PIT","Pennsylvania","DFW","Texas",NA,2140
"196",1,"AA",11433,"DTW","Michigan","MIA","Florida",NA,1227
"197",1,"AA",13303,"MIA","Florida","DTW","Michigan",NA,1228
"198",1,"AA",10721,"BOS","Massachusetts","MIA","Florida",NA,2196
"199",1,"AA",14027,"PBI","Florida","ORD","Illinois",NA,654
"200",1,"AA",11298,"DFW","Texas","RDU","North Carolina",NA,2347
"201",1,"AA",14492,"RDU","North Carolina","DFW","Texas",NA,2347
"202",1,"AA",13930,"ORD","Illinois","TUS","Arizona",NA,865
"203",1,"AA",10140,"ABQ","New Mexico","DFW","Texas",NA,2888
"204",1,"AA",10423,"AUS","Texas","DFW","Texas",NA,5506
"205",1,"AA",11298,"DFW","Texas","AUS","Texas",NA,5508
"206",1,"AA",13303,"MIA","Florida","LGA","New York",NA,3587
"207",1,"AA",13303,"MIA","Florida","MSY","Louisiana",NA,1098
"208",1,"AA",13495,"MSY","Louisiana","MIA","Florida",NA,1097
"209",1,"AA",13303,"MIA","Florida","ATL","Georgia",NA,6623
"210",1,"AA",11057,"CLT","North Carolina","IAH","Texas",NA,3711
"211",1,"AA",11298,"DFW","Texas","RNO","Nevada",NA,1093
"212",1,"AA",14570,"RNO","Nevada","DFW","Texas",NA,1095
"213",1,"AA",13303,"MIA","Florida","ORD","Illinois",NA,3343
"214",1,"AA",11298,"DFW","Texas","TPA","Florida",NA,2803
"215",1,"AA",14100,"PHL","Pennsylvania","MIA","Florida",NA,2206
"216",1,"AA",11697,"FLL","Florida","ORD","Illinois",NA,1581
"217",1,"AA",13930,"ORD","Illinois","FLL","Florida",NA,1583
"218",1,"AA",11057,"CLT","North Carolina","DFW","Texas",NA,3796
"219",1,"AA",11298,"DFW","Texas","ELP","Texas",NA,2900
"220",1,"AA",11540,"ELP","Texas","DFW","Texas",NA,2901
"221",1,"AA",11298,"DFW","Texas","MSP","Minnesota",NA,2810
"222",1,"AA",12478,"JFK","New York","SEA","Washington",NA,1855
"223",1,"AA",14747,"SEA","Washington","JFK","New York",NA,1852
"224",1,"AA",11278,"DCA","Virginia","MIA","Florida",NA,2987
"225",1,"AA",13303,"MIA","Florida","DCA","Virginia",NA,2982
"226",1,"AA",11066,"CMH","Ohio","DFW","Texas",NA,1694
"227",1,"AA",11298,"DFW","Texas","CMH","Ohio",NA,1694
"228",1,"AA",14908,"SNA","California","DFW","Texas",NA,3656
"229",1,"AA",14747,"SEA","Washington","DFW","Texas",NA,3917
"230",1,"AA",11298,"DFW","Texas","SNA","California",NA,3669
"231",1,"AA",11298,"DFW","Texas","SEA","Washington",NA,3915
"232",1,"AA",14893,"SMF","California","DFW","Texas",NA,1347
"233",1,"AA",11298,"DFW","Texas","LGA","New York",NA,5365
"234",1,"AA",12953,"LGA","New York","DFW","Texas",NA,5372
"235",1,"AA",12478,"JFK","New York","MIA","Florida",NA,2737
"236",1,"AA",11298,"DFW","Texas","PSP","California",NA,1095
"237",1,"AA",14262,"PSP","California","DFW","Texas",NA,1096
"238",1,"AA",13930,"ORD","Illinois","RSW","Florida",NA,764
"239",1,"AA",11267,"DAY","Ohio","DFW","Texas",NA,1037
"240",1,"AA",11298,"DFW","Texas","DAY","Ohio",NA,1038
"241",1,"AA",12478,"JFK","New York","MCO","Florida",NA,5373
"242",1,"AA",13204,"MCO","Florida","JFK","New York",NA,5371
"243",1,"AA",13244,"MEM","Tennessee","DFW","Texas",NA,2458
"244",1,"AA",11298,"DFW","Texas","ABQ","New Mexico",NA,2888
"245",1,"AA",10721,"BOS","Massachusetts","DFW","Texas",NA,3036
"246",1,"AA",13487,"MSP","Minnesota","ORD","Illinois",NA,9356
"247",1,"AA",13930,"ORD","Illinois","MSP","Minnesota",NA,9688
"248",1,"AA",13930,"ORD","Illinois","PBI","Florida",NA,656
"249",1,"AA",11298,"DFW","Texas","BOS","Massachusetts",NA,3036
"250",1,"AA",12953,"LGA","New York","MIA","Florida",NA,3586
"251",1,"AA",12264,"IAD","Virginia","MIA","Florida",NA,575
"252",1,"AA",13303,"MIA","Florida","IAD","Virginia",NA,574
"253",1,"AA",13930,"ORD","Illinois","CLT","North Carolina",NA,6013
"254",1,"AA",11298,"DFW","Texas","GUC","Colorado",NA,109
"255",1,"AA",12012,"GUC","Colorado","DFW","Texas",NA,111
"256",1,"AA",14570,"RNO","Nevada","ORD","Illinois",NA,365
"257",1,"AA",11298,"DFW","Texas","TUL","Oklahoma",NA,3256
"258",1,"AA",11298,"DFW","Texas","SJU","Puerto Rico",NA,985
"259",1,"AA",14843,"SJU","Puerto Rico","DFW","Texas",NA,986
"260",1,"AA",11298,"DFW","Texas","CLT","North Carolina",NA,3797
"261",1,"AA",12892,"LAX","California","TPA","Florida",NA,516
"262",1,"AA",11298,"DFW","Texas","SDF","Kentucky",NA,1386
"263",1,"AA",14730,"SDF","Kentucky","DFW","Texas",NA,1386
"264",1,"AA",10423,"AUS","Texas","ORD","Illinois",NA,2514
"265",1,"AA",13487,"MSP","Minnesota","DFW","Texas",NA,2851
"266",1,"AA",10599,"BHM","Alabama","DFW","Texas",NA,1287
"267",1,"AA",11298,"DFW","Texas","BHM","Alabama",NA,1287
"268",1,"AA",13303,"MIA","Florida","IAH","Texas",NA,2734
"269",1,"AA",12278,"ICT","Kansas","DFW","Texas",NA,1794
"270",1,"AA",13303,"MIA","Florida","SJU","Puerto Rico",NA,2559
"271",1,"AA",11503,"EGE","Colorado","MIA","Florida",NA,43
"272",1,"AA",13303,"MIA","Florida","EGE","Colorado",NA,43
"273",1,"AA",15016,"STL","Missouri","ORD","Illinois",NA,4256
"274",1,"AA",13930,"ORD","Illinois","AUS","Texas",NA,2515
"275",1,"AA",15304,"TPA","Florida","LAX","California",NA,519
"276",1,"AA",13303,"MIA","Florida","MCO","Florida",NA,2195
"277",1,"AA",11423,"DSM","Iowa","DFW","Texas",NA,2137
