Country Name,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Switzerland,CHE,3397400,3926200,4054100,4514400,4575000,4691800,5084900,5437100,5686800,5887400,5930100,6220600,6252200,6266800,6254500,6506200,6707800,7213900,7483500,8229500,8603400,7973600,8255700,9152000,9338200,9859000,10468300,12481600,14298900,16209000,17268093,16914823,13295500,10118096,9287315,9662619,10647142,12298456,14352757,14701206,22146864,24866065,26386307,27503413,26716498,
Chile,CHL,574700,690600,730000,636200,505200,509700,489900,589400,552700,558900,668800,885700,822400,651900,730800,825200,875200,992400,1144100,1263800,1363600,1405900,1905800,2360000,2961700,3197200,3621900,4610000,5149800,5187700,5174876,5315623,4986727,5246787,5463753,5939020,6016649,7190963,8021939,8097314,9269026,10949863,12892856,13806283,14347893,
Cameroon,CMR,65800,108500,130000,211300,228200,239000,296900,346700,392700,402500,480000,485500,634000,631000,676500,718000,536100,561000,582000,403400,284200,356600,363100,274800,295000,345000,361800,279000,277900,292600,273000,324114,243122,315100,355610,384059,424794,453051,470598,466050,0,171007,248027,287209,275762,
Colombia,COL,3010200,2959700,2963600,3147300,3118000,3376100,3730000,4117300,4747100,5052400,4808200,4570100,6701500,6583900,5737400,5737300,5731300,5598500,5460000,5565100,5266700,5539900,6232100,6930200,7686500,7863300,8342100,9188900,9289700,8619200,8568734,9604390,9424850,9142585,8829094,9984424,10616356,11630594,12338706,12115330,16932435,18768535,22012459,25992804,25053386,
Costa Rica,CRI,255900,280400,307300,314400,374300,371800,390500,326800,321300,366000,431200,427600,458600,379600,322500,310000,334700,347600,400600,440800,467000,507600,622800,690300,773200,870400,917900,991500,1169500,1055300,877833,737895,675146,749885,901402,953217,943143,1017054,1023665,932581,1697894,1829515,1770111,1498993,1427409,
Caribbean small states,CSS,657600,818000,913500,936900,1126600,1580400,1745000,1567200,1599200,1996300,2161900,3444600,3454900,3378500,3621900,3792000,4223300,4402700,4521000,4686700,4412200,4461200,4324000,4455100,4779300,5123200,4681700,4566100,4607700,6250100,6769190,6579219,6306172,6210378,5043466,4742561,4645698,4918479,4978399,4424144,4996231,5829441,5920045,4983166,4985367,
Cuba,CUB,873500,979200,988300,805500,689200,711100,716600,634800,725500,819400,675600,650700,135000,839400,839100,894400,913200,889000,963900,989800,1137500,830600,733000,624100,730900,823700,928700,1117000,1138400,1259000,1007193,882309,588700,610957,743256,812781,811559,857213,861352,780484,1578012,1478596,1313503,1395064,1135189,
Cyprus,CYP,106500,150200,201000,233100,125700,135800,225300,266300,315300,387500,440800,455000,454300,485300,563000,613400,620500,683700,696900,747700,813700,819700,946800,1011000,1233900,1218900,1214100,1278100,1346400,1336700,1396076,1503427,1704780,1882981,2013254,1920516,1944138,2071648,2111205,1943949,1583627,1263117,1285976,1211212,688362,
Czech Republic,CZE,1171900,1092500,1364400,1367000,1514700,1621000,1656800,1538100,1680300,1758600,1460800,955000,852600,908400,910700,980300,991000,1069600,1153800,1168800,1095700,837400,973800,1024900,1071600,1284600,1393600,1447800,1600800,1852600,2229216,2565808,2808793,3391474,4219478,4706226,4921600,4869586,4974879,5048360,5145187,4902816,3594882,5186668,5009989,
Germany,DEU,6498000,7029200,7919100,7371300,8886900,9369200,10418600,10907500,11709800,12843900,13046400,12964400,12755000,13099900,14051800,14551300,15174000,17011400,17894900,19056900,22146900,24829500,27577800,29362600,32465300,34680100,40118400,45804500,49279800,54652800,57962865,56389365,61889678,72693124,82099657,90788848,99647314,106101747,107941584,103396735,97330734,107042776,105978475,105016451,107587503,
Denmark,DNK,1775300,2056800,2284900,2409000,2401900,2518100,2795700,2946800,3117200,3556200,3329700,3065000,3536900,3947700,3229200,3494000,3834000,4148100,4376700,4720600,4840300,4582000,4826800,5077900,5381000,5689300,5892000,6236400,5946600,5767700,5922623,6382092,6322432,5886037,6428701,551345,582011,,,,,,,,,
Algeria,DZA,563200,714800,843900,1053600,1252100,1618000,1681600,1997100,2229000,2663400,2950000,3000000,3150000,3410500,3781000,3965900,3689900,3566900,3655000,3862300,3748000,3385000,3551100,3254500,3241000,3477800,3494100,3517700,3381800,2936800,2997480,3419249,3002232,3292815,3236364,3037298,2899722,2813018,2884506,4370917,3372283,3543663,4082595,4464319,4690825,
Ecuador,ECU,419500,457500,437800,380200,362200,448100,463300,528600,593300,632900,701000,691700,676300,618000,634000,664200,697200,692000,683700,741800,762500,752300,1473900,2122400,2118700,1670900,1925200,1790600,1918800,1386700,1318518,1284922,1184098,1521249,1828303,2011004,2110423,2630759,2926821,2896528,4818305,4714115,4758406,5157521,4884671,
"Egypt, Arab Rep.",EGY,542500,515400,623100,656300,837000,916900,1112700,1282400,1426300,1689800,2027700,2232600,2433200,2617700,2786200,2786200,2350100,2891200,3192100,3418600,3239200,2595400,3608600,2880500,3537500,3897200,4282400,4416300,3894900,4620100,4521702,4389163,4526688,4180814,4621310,4888146,4988262,5829044,6688999,6215870,9518106,7708160,9081175,10098591,9007209,
Euro area,EMU,39643000,43871800,48582800,52394200,54363300,56735600,61089600,66529900,72757200,76943200,78070300,80934800,83756300,85330500,89014400,94216800,94997000,105072500,114465600,124135000,134459400,131411900,144488700,149322600,159931900,171988500,190436600,210002000,219023000,238927500,259579401,257007629,258285964,288282210,315899184,344015957,374599784,407969143,408980682,401882488,414887775,439335563,437876150,436523821,450834572,
Spain,ESP,6347400,7505400,8654900,9964000,10198100,10959100,11801100,13328200,15369000,15683000,15089000,14601800,14637600,14538000,14283900,14850700,15403500,16553300,18983200,20270300,21652000,20944600,23385800,22279400,22361300,25765700,27759200,30315700,31594100,33559400,39711776,41469789,40380629,42506835,45539952,49855007,53122464,60664991,55213716,49289158,52847713,52736141,48089178,48036553,53038503,
Ethiopia,ETH,231600,263100,288500,309200,268700,244300,288000,226100,185800,197400,242900,327600,335300,357500,398800,471200,527500,594100,592600,650800,620300,635600,756400,752000,716400,749900,743000,772300,789900,861400,944595,1027528,1103184,1117329,1403293,1667316,1720306,2290179,2715017,2914056,3347022,4440918,5001122,5671492,6180236,
European Union,EUU,63336700,68444900,75601700,81873600,83040500,86046000,93106100,99026400,110047600,118318800,119105800,120642000,122480000,125186500,132063000,140539000,143838800,159601500,174043800,193726800,205004600,193389200,212111400,220146500,238100800,253225644,277537700,297893100,307005300,331928896,358885372,356720616,359542569,394195742,433822436,453625718,488869591,527269184,532494881,522372698,544237146,580419801,580528781,584694745,608470251,
Finland,FIN,1279500,1394800,1535800,1697500,1884600,2048300,2040400,1836300,1993400,2345800,2512200,2751100,2815100,2797300,2991300,3153300,2987800,3626100,4009900,4299500,4450200,3998700,3898400,3947500,4492000,5211900,5597500,6002300,6771100,6241600,6828143,6697556,6415606,6183906,7049416,7075195,7597125,8288683,7916485,7423265,8685773,9508050,10731828,10467339,10680633,
France,FRA,9108000,9569200,11285100,11957500,12159300,13112800,14301900,15431300,16821200,17967000,19521000,21591200,22372400,23278100,23694300,24491900,25211400,27950200,30667300,33975500,35963900,33127800,33963900,35625600,38170400,36020400,41252600,43400700,42232400,49536300,52581312,50476541,49305864,47258820,48543473,52477178,59537872,61551258,61214656,58318312,60864422,64185339,64683769,63925151,63434263,
Gabon,GAB,120200,125500,122800,130300,136200,139700,190400,176700,170000,175000,331100,340000,421000,428300,436100,456000,459500,393100,382800,406700,398300,436000,471400,302300,505200,508200,431300,468500,466700,423100,446688,373904,365877,385529,430873,465343,508368,535324,545640,524867,243636,121233,42729,0,0,
United Kingdom,GBR,15568800,15796000,17308500,18959700,18062600,18074900,19472900,19484500,23186100,25312100,25551200,24578700,23872500,23376200,25825700,28229400,29373100,33705300,37573100,46354400,47113600,42861200,47819400,50187900,55475500,59688800,64208500,62763200,61940200,65738296,70436030,70331725,72381196,76388660,86054762,93602879,97544631,101622807,104713553,102464509,101515720,111598546,115419921,118605858,125068988,
Greece,GRC,1614700,2021400,2412600,2802600,2304600,2832600,3541000,3883900,4670500,5021100,4891300,4900700,5633900,5811800,6878400,7456600,6479500,6567600,6659700,6632000,6134600,4937000,5465500,5478100,5812900,6006000,6396000,7060800,6403400,6590700,7937434,8430333,7579225,7518932,9276954,9452219,9481314,10206223,9442743,8795133,10352658,9569211,8785275,8761104,9456848,
High income,HIC,275584592,295109904,325102708,354492800,367986100,371527900,401944096,437428592,491599604,554590400,542043488,534064600,543480108,569493896,610197888,654959004,706832096,760751904,801052212,829867100,862611916,971189004,953366592,947338116,1016591104,1066367240,1143221404,1196748292,1205969580,1301228000,1392323264,1349336409,1317607161,1344029881,1494375366,1539270476,1593766409,1670330789,1643292965,1627083677,1812693596,1876197452,1912241839,1972669824,2056463462,
Hungary,HUN,282300,268200,266300,330000,456500,414100,427200,555000,659000,830200,874300,1017000,1020700,957300,1038500,1116100,1150600,1231400,1176400,1316300,1363100,910700,1029100,1216900,1325400,1310900,1563400,1634700,1749200,1943500,2197521,2023385,2098760,2260849,2546234,2735214,2591666,3133574,3111575,2952885,12477063,13729554,12289555,13926540,16482060,
Indonesia,IDN,826400,994500,1286800,1787400,2219700,2527500,3103200,3781300,4431100,4656100,5059100,6098100,6028700,5567500,6494300,6468100,7115400,7568900,8823700,8983400,9223100,10401800,11176800,12009000,13924500,15977200,17138800,12650200,12613600,8046800,9916365,12453812,12113452,12221066,26780550,26835524,29867483,30405918,29766093,27421235,59384362,70912258,79405800,88594513,94504086,
India,IND,2671600,2554000,3285800,3391600,3037300,3839900,4534000,5147500,6099600,6546800,6603100,7574500,8391700,9164800,10125700,10993800,11785200,12668600,12863100,12740100,10862200,10717400,11127100,9441600,11518400,14260600,13394600,16039800,16521000,16005400,17299483,16862737,17633019,19455085,23934074,27879461,40288794,51897450,49877935,54446373,64374254,73996912,72151829,75589079,82751555,
Ireland,IRL,1476300,1544200,1408800,1496300,1474600,1475700,1578100,1675600,1781300,2022500,1830200,1978600,1949100,1780800,1838500,1828800,1972000,2279000,3675600,4376300,4812300,4764600,5006000,4650400,4825700,6586500,7676800,8963700,10401200,11948800,13983022,15450847,19728801,28863657,34748853,42872544,50737809,60099058,69447262,77747207,84784226,89956334,92637189,93408032,100962395,
"Iran, Islamic Rep.",IRN,715600,761400,894800,1141600,1361900,1949400,2499100,3005400,3333500,2168700,1998100,1539700,2127800,3190900,4087800,3422000,4670600,4846900,4486800,4882600,5632600,5537500,4895600,5351800,5803500,6290600,7609600,9804100,9200400,8277300,8722145,16485326,9891522,16301238,11877705,12708354,13623038,13915755,12029236,13052716,18760850,19113946,17687479,16113718,15801397,
Iceland,ISL,457900,494100,545800,592800,611200,590200,601500,645000,688000,694000,541500,522100,574300,601400,710100,778000,808400,910100,844700,735900,759500,772600,767100,801000,1031200,1097000,1239100,1334400,1592700,1350200,1431818,1357946,1198920,1133775,1332811,1528929,1536157,1720496,1423422,1364651,1851417,2150527,2400160,2606351,2930761,
Israel,ISR,485000,1057400,1137100,1163500,1214300,1053700,1299800,1454100,1519700,1584000,1483300,1585200,1480800,1578700,1669400,1802700,1828600,2009700,1894600,2118000,2004000,2047500,2391200,2569400,2980400,3453400,3694600,3753600,3698500,4033200,4442967,3967140,3708138,3677879,4968931,4392448,4357151,4662615,4563041,4605452,5084798,5151469,5381980,5565869,6420886,
Italy,ITA,6743700,7644100,7462200,8189900,8631400,8360600,8238100,9424100,9507000,9462500,9955800,10493300,11611000,11996600,12593600,14408000,13811100,15268100,15649200,17437700,19750000,18846800,21766700,21901400,22959300,23665800,25838500,28183900,27462700,28281000,30418137,31031074,28244627,36345771,35922093,36115764,36709131,37830745,30672048,33194501,32645164,33923371,31072962,27846221,25594275,
Jamaica,JAM,278700,425400,554900,568500,743300,696800,706500,601800,705900,795300,722700,727800,729600,716300,826000,887600,1058600,1257500,1188700,1210800,1003600,894000,983200,1037800,1011000,1126400,1388300,1400100,1453900,1669800,1922123,1946123,2016000,1838047,2007765,1573785,1526571,1618165,1644056,1380000,0,0,0,46274,76244,
Jordan,JOR,118800,119600,119900,162300,243400,379900,475500,557300,728400,914300,1112600,1443300,1667300,1457300,1327600,1310200,1132000,1178000,1225900,1204000,963900,797200,1109300,1185600,1219500,1270000,1299200,1353400,1186700,1252200,1281997,1178058,1299699,1353444,1660235,1737165,2046457,2246212,2355285,2323750,3077037,3267110,3438356,3294911,3153898,
Japan,JPN,16315100,17880500,20169500,25393100,27485700,27281400,29566000,36177400,40554700,45367800,45144500,48061200,46394200,46554000,50452800,51294700,52489800,57757700,62087500,69321696,76223800,78719800,81378400,80063904,83913504,91797000,95913504,94997600,101701200,105994496,109123312,107823469,109037841,103988547,101740600,102279015,102845319,99842338,97022471,86896527,109617021,89788818,98907859,107573000,110544000,
Kenya,KEN,171500,188000,216800,340800,382800,361500,449600,237300,363300,377400,392500,408700,391300,435500,479200,558700,611300,655800,720900,760500,794400,759900,721400,769500,753500,740400,778600,835700,1138400,1357800,1554949,1418183,1599843,1678160,2005473,2424382,2685148,2857464,2880546,2948920,4039583,4508698,4653460,4516492,4792267,
"Korea, Rep.",KOR,1208100,1463600,1640000,2213400,1923800,2046700,2075200,2466500,3099800,3725900,3566600,4186700,4201500,4861500,5353300,6202500,7211400,8330900,9826000,13160800,15684500,16908000,19766900,21425900,24932300,29345200,33002700,35505800,27109000,30870200,34331368,33710340,34831814,33372577,34511494,33888328,34842655,36655313,36077655,34168590,36987982,39911750,39969577,54561562,59067351,
Kuwait,KWT,315200,342200,390700,453600,517900,624800,737000,812300,849500,965100,1076200,1252500,1460700,1534500,1497900,1449200,1465700,1511100,1557300,1640600,965600,840100,1408600,1553800,1756200,1950800,2133400,2113900,2240800,2130000,2112523,2084574,2299218,2185990,2496441,2433213,2627870,2659769,2523966,2597076,4563082,3722730,3481039,3244809,3408255,
Latin America & Caribbean (developing only),LAC,12977100,14003300,16003600,17620100,20395200,23292200,26208100,27988800,31452100,35917600,38687000,38489000,39505900,40692300,41105200,42760300,45553600,45782500,43491400,46986200,48137200,47766000,47064800,50220500,55401800,54414500,57753200,64703800,69439100,69764300,72938874,76058956,76301850,75048845,80345534,86176954,89204265,96804729,110124327,118235491,149332091,165804213,182307229,196651143,204419282,
Lao PDR,LAO,55900,42000,43000,44500,45000,45000,45000,30000,12000,13000,13000,14500,14700,14000,15700,15800,24500,45000,47500,49600,115400,115400,118500,118500,118500,124500,124500,124500,124100,197200,210847,210847,219598,218652,271706,293442,326730,328326,323401,302596,443778,532707,877950,1476538,1310120,
Lebanon,LBN,548600,648000,743800,819000,1037300,900000,1050000,928500,862900,904000,930300,843800,571000,695800,410700,501300,498700,353300,493200,182600,572300,535500,599600,677400,706400,769800,774600,856900,716000,719400,805803,815862,874152,935213,1086730,1076258,968820,1074219,1067774,1308382,1893359,2029610,2148669,2241474,2379997,
Libya,LBY,190200,259400,327200,352000,408000,558000,669900,801900,890600,913800,1168800,1486000,1557800,1860000,1583800,1579300,1382900,1515100,1581200,1617000,1803000,1883700,1350100,853000,640800,623200,638600,570600,570600,585500,600734,582712,559404,626532,850185,0,1151785,1204107,1213854,1147234,2928706,2284067,1398125,2744856,2677312,
Latin America & Caribbean (all income levels),LCN,17717500,18809300,21078700,22821000,26532900,30649500,33989400,37141200,41000200,47754900,51822900,52315700,53473200,53517600,54487400,56286100,60548200,61892400,61535800,66610700,65165400,64136600,64903900,68207800,73894400,72889000,77252200,85239100,90079300,93629700,96507566,101576743,97945064,94799825,100859199,107537262,110439889,120106257,133677728,140453020,178418791,198178802,217297988,231299140,240229220,
Least developed countries: UN classification,LDC,2730800,3054000,3138100,3826300,3979800,4119800,4926900,4926900,5149300,6121400,6536900,6963600,7342700,7447100,7553300,7473000,7576000,7688800,8616900,7645200,8000900,7215900,7380700,7265300,7808000,7364800,7701000,7661200,7762500,7631800,7690574,7544406,7533065,7643563,9205839,9963958,10582532,11015971,11256036,11769610,18109727,21928303,22935800,25784383,26381089,
Sri Lanka,LKA,104600,116000,116000,108500,107700,117300,127700,181000,100000,105300,235000,405200,572700,616500,681300,698600,611400,586900,694300,744500,891800,892700,1045600,993800,1066800,1155700,1170700,1231900,1212500,1421500,1755567,1718331,1740807,1957606,2412889,2817778,3100832,3206766,2951506,2417713,3008323,3665394,4616417,4793672,4756138,
Lower middle income,LMC,12320500,11656600,12461200,14124500,15189400,17715600,20747400,23597400,27065900,29128300,30606200,33949600,35587400,37233800,40059900,42076000,43104100,45306700,48184300,48668300,47663600,47240400,61098600,56542600,61922400,67667000,69056400,69544900,68784500,62837800,67687510,71306703,71145030,73536075,99490505,107651105,125969601,141369284,145179788,147460561,219127273,252576577,264298989,275890699,296523390,
Luxembourg,LUX,167000,250000,211300,218100,220600,230000,250000,260000,290000,300000,161500,163200,203700,224100,243200,239400,247700,272900,293900,296000,409300,405700,460600,470500,532500,569700,639100,559800,701400,842700,870831,885852,822533,853903,855840,851136,927738,1039067,1059848,681482,786920,785200,781146,887547,1129674,
Morocco,MAR,289500,362000,410300,486500,509600,672900,808900,1047200,1131700,1153800,947400,929600,974100,932200,1000700,1113900,1095500,1187400,1267300,1360800,1580000,1429700,2169000,2139600,2183900,2147200,2301200,2638400,3012000,3392100,3671317,3680688,3049154,2638314,3004353,3492984,4109489,4623543,4927341,4930683,7144446,7502697,6563647,6507402,6482275,
Madagascar,MDG,168000,197700,201100,217800,230700,203100,262000,292200,335800,407500,447700,444900,410200,347300,360000,350800,355900,410600,387000,342400,424200,314300,343900,418500,450700,497200,542100,574900,600500,639800,629409,657953,266033,451729,513508,574904,572991,616433,558981,499526,524296,544101,588169,539208,520421,
Middle East & North Africa (all income levels),MEA,5302800,6428900,7528900,8687900,10597800,13016800,16872300,20259300,23545300,25387900,27858700,28680800,30856600,33496000,35296900,34822500,34087200,35611400,36641600,38333400,38928000,36420700,41137700,42087100,45080700,45976000,49613000,53725800,53713700,56424000,59654534,67991058,64355768,73216604,78560904,61431744,66638675,71222974,71070884,114274202,151073014,160271709,175337424,187907221,202781417,
Mexico,MEX,2966600,3107300,3962000,4589600,5501500,6522900,7675700,8238200,9387700,11381500,12889800,13853300,12777300,13923500,14440200,15364400,13824500,13504900,11412300,12689000,14341300,14901000,15532200,16484800,18791400,14968800,14677700,17266500,17717400,20561100,20894205,20172824,19618662,20661206,21167881,21857658,21243010,20952513,18825976,15728171,31269061,29538937,32909409,37321416,40693895,
Malta,MLT,127800,110800,102100,140600,152500,205200,221100,255300,351600,382000,401500,397900,401700,366300,364100,384100,411300,429400,480600,506500,597800,648600,692500,797000,1002500,1065900,1037500,1054300,1159400,1421300,1364904,1340031,1398990,1309119,1365223,1371865,1495333,1674773,1708268,1992900,1699829,1673765,1535101,1603404,1601682,
Myanmar,MMR,345800,380500,393000,405000,388300,391300,396000,410000,425000,460000,481000,500000,515000,517000,487000,509000,511000,512000,516000,308000,318500,318500,318500,318500,318500,334500,334500,334500,333200,536800,437600,398216,1186162,1117208,1392244,1503624,1620895,1662866,1637923,1527346,924207,1539676,1663425,1570445,1272290,
Middle East & North Africa (developing only),MNA,3575800,4124900,4817000,5611900,6920600,8605400,10386000,11833300,13058400,12941600,13570500,13987100,15082400,16939000,17702900,17521400,17574800,18367600,19326800,20258200,20968500,18725100,19938500,19026300,20017600,20833300,22956900,26337800,25271800,25105400,26100792,34079465,26788324,32800028,30468644,31260133,34256632,36205520,35864926,38021520,52770472,52290259,50973535,52730519,51419253,
Mauritania,MRT,84500,68400,65900,72700,78300,84500,94400,105400,117200,124300,141100,144100,147300,148500,201700,213800,233400,216100,216100,220400,222700,212700,212700,214600,215600,227900,234800,245200,249600,187400,185061,155687,105541,116136,128329,138595,149188,154662,153895,142355,524818,381076,325240,261694,271210,
Mauritius,MUS,23000,24200,25200,24000,28000,30000,33000,30100,55000,82300,83700,102200,106400,122900,155000,182800,199700,285400,383700,423800,519700,525300,578100,581900,635900,675800,716900,803900,847500,823200,949085,1002282,1029466,1042773,1088696,1145737,1056496,1277957,1256746,1092580,1265458,1321491,1313976,1318052,1354562,
Malawi,MWI,51700,66100,74700,90400,98300,122400,93700,100300,106400,111700,94000,107600,130300,96900,127000,140400,140200,114200,115800,121200,120300,120100,121400,132100,141600,148700,152500,158300,157700,112300,115831,112560,104711,108854,122477,132275,145747,154837,159917,157007,91520,82710,53519,5855,5855,
Malaysia,MYS,748900,875100,1015600,1864400,2331900,2503600,2671000,2864700,3096000,3489500,4516400,5347700,5241700,5360900,5685400,5687000,6310500,7396100,7683600,8694600,10241500,11837400,12756900,13101300,14249800,15417800,15117600,15591600,13654400,14984600,16560793,16107156,16281275,16704600,19226564,20369086,17833364,21325754,22420870,23766316,34239014,38218609,39165195,46829505,47555553,
North America,NAC,173629292,184390404,202953908,216936000,223979900,221613300,239850396,257611392,291497504,334470400,317782088,303183500,310646408,333707996,359574088,391747504,434932996,461779204,476582312,474435304,485175416,468602404,483783292,487442612,533028800,553803196,593928000,614552892,612824180,658966608,707095388,662639760,621733444,624881527,718811915,765777598,772257943,796405857,755498308,732006924,783774409,796874012,807166401,814697726,838088608,
Nigeria,NGA,173000,227100,286800,314100,430300,590400,800800,1093900,1441000,1581300,1938500,2300200,2138400,2221300,1945900,2575000,2134000,1614400,995000,848900,964800,930000,646500,608400,664800,547900,221200,318200,313400,419700,507396,519453,520278,520263,540461,747648,1307541,1363435,1460900,1365343,4197375,4793913,4716148,4112351,4289094,
Netherlands,NLD,2881100,3012300,3275800,3682400,3627100,3827700,4080900,4452000,4718300,4918900,4983800,5058000,5201900,5278900,5654900,6027700,6382000,7403400,7860100,8253400,8559400,8893200,10087800,11774600,12894800,16377900,17114300,17889900,18675500,19741200,20898713,20072980,22931166,23454932,25595676,26132696,27454451,28857440,29601230,29108547,26979677,29959476,31672224,33455248,33928613,
Nepal,NPL,203400,217900,232000,250000,263000,219700,248300,255000,270000,416500,379900,364500,400200,363700,395500,422000,436200,408800,987800,679100,679000,633900,648800,633100,682600,716700,755000,755000,753600,582600,643332,641142,352544,356369,444691,480266,509792,528226,520303,484394,917939,901116,776864,643136,517542,
New Zealand,NZL,1862000,1923800,2084300,2544400,2961300,3047400,3023200,3198500,3399500,3807300,3497500,3316100,3073900,3222000,3764900,4158600,4527300,4812300,5093600,5723500,5865600,5370800,5784400,6290800,7716100,7676600,9597000,9435400,8654900,9565600,10781314,11467023,11285424,12259437,11305401,11951935,12382205,12545766,12950904,12104116,13295185,13747024,13937354,14413891,15050502,
High income: OECD,OEC,269321492,288714104,317996708,346524100,358246500,359361600,387085796,419106092,470404504,528659700,512431488,503082400,510873608,537202896,575883088,620762904,671965296,723944504,761413812,787606000,822525816,802530904,845481792,863168716,936770804,989205196,1066705004,1113994492,1120862580,1204850400,1290145822,1241931150,1206290251,1236057173,1367141350,1424412599,1470423922,1536400488,1502013159,1454743850,1574269486,1614509325,1641184619,1681281701,1738335387,
OECD members,OED,273323792,293297404,323733208,353336500,365543100,367662300,397188796,430095992,482013704,542499600,526574988,519007000,525745508,553359996,592898688,638635304,688511696,740710304,776323412,804087300,841204216,820591904,865972592,885730316,962433804,1011922996,1089846604,1140640892,1148529280,1235508800,1323227918,1272707882,1236595790,1267463823,1402585066,1463214085,1511028347,1580248276,1546344227,1501811462,1651203796,1697548565,1737444340,1801250636,1871654146,
