,comp_name,comp_overall_link,sal_d,sal_hr,sal_m,sal_max,sal_min,sal_wk,sal_yr
117,TEKsystems,http://www.indeed.com/cmp/TEKsystems,110.0,55.33,0.0,50000.0,45000.0,0.0,47500.0
118,Robert Half Technology,http://www.indeed.com/cmp/Robert-Half-Technology,73.76,64.51,0.0,183848.0,82556.0,0.0,123198.0
119,Jim Crumpley & Associates,http://www.indeed.com/cmp/Jim-Crumpley-&-Associates,0.0,0.0,0.0,189305.0,86940.0,0.0,128290.0
120,Ability Professional Network,http://www.indeed.com/cmp/Ability-Professional-Network,0.0,0.0,0.0,189305.0,86940.0,0.0,128290.0
121,harnham,http://www.indeed.com/cmp/Harnham,0.0,0.0,0.0,198495.0,104189.0,0.0,143809.0
122,ICONSTAFF,http://www.indeed.com/cmp/Iconstaff,0.0,0.0,0.0,153021.0,141611.0,0.0,147205.0
123,Glocomms,http://www.indeed.com/cmp/Glocomms,137.0,0.0,0.0,205190.0,91272.0,0.0,136851.0
124,Affinity Executive Search,http://www.indeed.com/cmp/Affinity-Executive-Search,0.0,0.0,0.0,153651.0,99014.0,0.0,123343.0
125,Analytic Recruiting,http://www.indeed.com/cmp/Analytic-Recruiting,0.0,0.0,0.0,180298.0,103622.0,0.0,136685.0
126,"Clifton Johnson Associates, Inc.","http://www.indeed.com/cmp/Clifton-Johnson-Associates,-Inc.",0.0,0.0,0.0,181332.0,84050.0,0.0,123454.0
127,GQR Global Markets,http://www.indeed.com/cmp/Gqr-Global-Markets,0.0,0.0,0.0,262340.0,120123.0,300.0,177519.0
128,ONESource Technical,http://www.indeed.com/cmp/Onesource-Technical,0.0,0.0,0.0,187442.0,86714.0,0.0,127491.0
129,MMS Group,http://www.indeed.com/cmp/Mms-Group,0.0,0.0,0.0,187442.0,86714.0,0.0,127491.0
130,Diversity Search,http://www.indeed.com/cmp/Diversity-Search,0.0,0.0,0.0,157564.0,99864.0,0.0,125439.0
131,Kforce,http://www.indeed.com/cmp/Kforce,95.0,95.0,0.0,161350.0,96632.0,0.0,124866.0
132,The Bivium Group,http://www.indeed.com/cmp/The-Bivium-Group,0.0,0.0,0.0,150129.0,73181.0,0.0,104817.0
133,"Smith Hanley Associates, LLC","http://www.indeed.com/cmp/Smith-Hanley-Associates,-LLC",0.0,0.0,0.0,145322.0,74078.0,0.0,103756.0
134,MCG Health System,http://www.indeed.com/cmp/Mcg-Health-System,0.0,0.0,0.0,0.0,0.0,0.0,120000.0
135,Request Technology,http://www.indeed.com/cmp/Request-Technology,120.0,0.0,0.0,133275.0,92317.0,0.0,110921.0
136,iStaff,http://www.indeed.com/cmp/Istaff,0.0,0.0,0.0,0.0,0.0,0.0,75000.0
137,The Job Jobber,http://www.indeed.com/cmp/The-Job-Jobber,0.0,0.0,0.0,149376.0,91250.0,0.0,116750.0
138,Selby Jennings Technology,http://www.indeed.com/cmp/Selby-Jennings-Technology,0.0,0.0,0.0,205604.0,143695.0,0.0,171884.0
139,J&S Professional Recruiters,http://www.indeed.com/cmp/J&S-Professional-Recruiters,0.0,0.0,0.0,175306.0,147174.0,0.0,160626.0
140,fulltimeGiGS,http://www.indeed.com/cmp/Fulltimegigs,0.0,0.0,0.0,149282.0,90104.0,0.0,115978.0
141,Request Technology-Robyn Honquest,http://www.indeed.com/cmp/Request-Technology--robyn-Honquest,0.0,0.0,0.0,131996.0,87972.0,0.0,107759.0
142,Career Development Partners,http://www.indeed.com/cmp/Career-Development-Partners,0.0,0.0,0.0,160384.0,102462.0,0.0,128193.0
143,Burtch Works,http://www.indeed.com/cmp/Burtch-Works,0.0,0.0,0.0,160621.0,98032.0,0.0,125483.0
144,Gables Search Group,http://www.indeed.com/cmp/Gables-Search-Group,0.0,0.0,0.0,154304.0,128995.0,0.0,141084.0
145,BeecherMadden,http://www.indeed.com/cmp/Beechermadden,0.0,0.0,0.0,136042.0,129701.0,0.0,132834.0
146,Request Technology-Craig Johnson,http://www.indeed.com/cmp/Request-Technology--craig-Johnson,0.0,0.0,0.0,131967.0,98958.0,0.0,114277.0
147,Randstad,http://www.indeed.com/cmp/Randstad,98.16,0.0,0.0,146339.0,95742.0,0.0,118367.0
148,Opus Recruitment Solutions Ltd,http://www.indeed.com/cmp/Opus-Recruitment-Solutions-Ltd,0.0,0.0,0.0,223372.0,76553.0,0.0,130767.0
149,Lawrence Harvey,http://www.indeed.com/cmp/Lawrence-Harvey,0.0,0.0,0.0,234230.0,123692.0,0.0,170213.0
150,NORTH STAR,http://www.indeed.com/cmp/North-Star,0.0,0.0,0.0,212762.0,169725.0,0.0,190029.0
151,Smith & Keller,http://www.indeed.com/cmp/Smith-&-Keller,0.0,0.0,0.0,162830.0,106067.0,0.0,131419.0
152,Hirewell,http://www.indeed.com/cmp/Hirewell,0.0,0.0,0.0,154494.0,118124.0,0.0,135090.0
153,Nigel Frank International,http://www.indeed.com/cmp/Nigel-Frank-International,0.0,77.61,0.0,180483.0,127553.0,0.0,151727.0
154,Zachary Piper,http://www.indeed.com/cmp/Zachary-Piper,0.0,0.0,0.0,264770.0,149121.0,0.0,198702.0
155,Request Technology-Stephanie Baker,http://www.indeed.com/cmp/Request-Technology--stephanie-Baker,0.0,0.0,0.0,129771.0,88155.0,0.0,106958.0
156,"V Dart, Inc.","http://www.indeed.com/cmp/V-Dart,-Inc.",73.11,0.0,0.0,0.0,0.0,0.0,0.0
157,Rinalytics Advisors,http://www.indeed.com/cmp/Rinalytics-Advisors,0.0,0.0,0.0,239053.0,126062.0,0.0,173596.0
158,SeatGeek,http://www.indeed.com/cmp/Seatgeek,0.0,0.0,0.0,127998.0,65942.0,0.0,91872.0
159,"RightStaff, Inc.","http://www.indeed.com/cmp/Rightstaff,-Inc.",0.0,0.0,0.0,124701.0,118661.0,0.0,121644.0
160,Patreon,http://www.indeed.com/cmp/Patreon,0.0,0.0,0.0,121472.0,108668.0,0.0,114891.0
161,Crowdfunder,http://www.indeed.com/cmp/Crowdfunder,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
162,Ascendo Resources,http://www.indeed.com/cmp/Ascendo-Resources,0.0,0.0,0.0,214332.0,103379.0,0.0,148854.0
163,21,http://www.indeed.com/cmp/21,0.0,0.0,0.0,157986.0,95097.0,0.0,122573.0
164,Piper Companies,http://www.indeed.com/cmp/Piper-Companies,0.0,0.0,0.0,258442.0,141642.0,0.0,191327.0
165,System Edge,http://www.indeed.com/cmp/System-Edge,0.0,80.0,0.0,0.0,0.0,0.0,0.0
166,SupplyFrame,http://www.indeed.com/cmp/Supplyframe,0.0,0.0,0.0,132342.0,71285.0,0.0,97129.0
167,TTS Staffing,http://www.indeed.com/cmp/Tts-Staffing,0.0,0.0,0.0,160794.0,123498.0,0.0,140918.0
168,Vaco - San Francisco,http://www.indeed.com/cmp/Vaco---SAN-Francisco,0.0,78.9,0.0,0.0,0.0,0.0,0.0
169,INDIVIDUAL,http://www.indeed.com/cmp/Individual,0.0,50.0,0.0,0.0,0.0,0.0,0.0
170,NationalTechJobs,http://www.indeed.com/cmp/Nationaltechjobs,0.0,55.0,0.0,0.0,0.0,0.0,0.0
171,Juno Search Partners,http://www.indeed.com/cmp/Juno-Search-Partners,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
172,Tata Consultancy Services (TCS),http://www.indeed.com/cmp/Tata-Consultancy-Services-(tcs),0.0,0.0,0.0,148292.0,83609.0,0.0,111349.0
173,Eagle Technical Staffing,http://www.indeed.com/cmp/Eagle-Technical-Staffing,0.0,0.0,0.0,71502.0,61964.0,0.0,66563.0
174,Situated Consulting LLC,http://www.indeed.com/cmp/Situated-Consulting-LLC,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
175,ITR,http://www.indeed.com/cmp/Itr,0.0,0.0,0.0,0.0,0.0,0.0,75000.0
176,Tandem Recruiting Group,http://www.indeed.com/cmp/Tandem-Recruiting-Group,0.0,0.0,0.0,193612.0,141323.0,0.0,165414.0
177,TellApart,http://www.indeed.com/cmp/Tellapart,0.0,0.0,0.0,182398.0,127821.0,0.0,152690.0
178,MD Insider,http://www.indeed.com/cmp/Md-Insider,0.0,0.0,0.0,148333.0,111667.0,0.0,130000.0
179,Hobson Associates,http://www.indeed.com/cmp/Hobson-Associates,0.0,0.0,0.0,0.0,0.0,0.0,131667.0
180,Georgia IT Inc.,http://www.indeed.com/cmp/Georgia-IT-Inc.,0.0,85.0,0.0,140000.0,80000.0,0.0,110000.0
181,21,http://www.indeed.com/cmp/21,0.0,0.0,0.0,150000.0,100000.0,0.0,125000.0
182,GEICO,http://www.indeed.com/cmp/Geico,0.0,0.0,0.0,123333.0,113333.0,0.0,118333.0
183,Rinalytics,http://www.indeed.com/cmp/Rinalytics,0.0,0.0,0.0,160000.0,143333.0,0.0,151667.0
184,Situated Consulting LLC,http://www.indeed.com/cmp/Situated-Consulting-LLC,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
185,Tessella,http://www.indeed.com/cmp/Tessella,0.0,0.0,0.0,96667.0,63333.0,0.0,80000.0
186,TTS Staffing,http://www.indeed.com/cmp/Tts-Staffing,0.0,0.0,0.0,146667.0,136667.0,0.0,141667.0
187,Connections of New York,http://www.indeed.com/cmp/Connections-of-New-York,0.0,0.0,0.0,161667.0,141667.0,0.0,151667.0
188,City Of Minneapolis,http://www.indeed.com/cmp/City-of-Minneapolis,0.0,0.0,0.0,90565.0,65803.0,0.0,78184.0
189,"GATE Staffing, LLC","http://www.indeed.com/cmp/Gate-Staffing,-LLC",0.0,0.0,0.0,0.0,0.0,0.0,130000.0
190,LaBine and Associates,http://www.indeed.com/cmp/Labine-and-Associates,0.0,0.0,0.0,0.0,0.0,0.0,155000.0
191,AppleOne,http://www.indeed.com/cmp/AppleOne,0.0,0.0,0.0,0.0,0.0,0.0,175000.0
192,Netmining IgnitionOne DISPLAY ADVERTISING,http://www.indeed.com/cmp/Netmining-Ignitionone-Display-Advertising,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
193,"Futures Group IT, llc","http://www.indeed.com/cmp/Futures-Group-It,-LLC",0.0,0.0,0.0,225000.0,150000.0,0.0,187500.0
194,nexChange.in,http://www.indeed.com/cmp/Nexchange.in,0.0,0.0,0.0,0.0,0.0,0.0,120000.0
195,Austin Fraser USA,http://www.indeed.com/cmp/Austin-Fraser-USA,0.0,77.5,0.0,150000.0,100000.0,0.0,125000.0
196,Real Life Sciences,http://www.indeed.com/cmp/Real-Life-Sciences,0.0,52.5,0.0,80000.0,60000.0,0.0,70000.0
197,Emerald Resource Group,http://www.indeed.com/cmp/Emerald-Resource-Group,0.0,0.0,0.0,120000.0,113333.0,0.0,116667.0
198,"Itech US, Inc.","http://www.indeed.com/cmp/Itech-Us,-Inc.",0.0,0.0,0.0,136667.0,100000.0,0.0,118333.0
199,Talent Partners Inc.,http://www.indeed.com/cmp/Talent-Partners-Inc.,0.0,0.0,0.0,0.0,0.0,0.0,191667.0
200,"Prime Team Partners, Inc","http://www.indeed.com/cmp/Prime-Team-Partners,-Inc",0.0,0.0,0.0,0.0,0.0,0.0,148333.0
201,National Science Foundation,http://www.indeed.com/cmp/National-Science-Foundation,0.0,0.0,0.0,118069.0,90823.0,0.0,104446.0
202,#1 Display Advertising Company,http://www.indeed.com/cmp/1-Display-Advertising-Company,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
203,Company Confidential- MBCAA,http://www.indeed.com/cmp/Company-Confidential---Mbcaa-1,0.0,0.0,0.0,0.0,0.0,0.0,180000.0
204,Assero Services,http://www.indeed.com/cmp/Assero-Services,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
205,ITR,http://www.indeed.com/cmp/Itr,0.0,0.0,0.0,0.0,0.0,0.0,75000.0
206,"Smartlink, LLC (HQ)","http://www.indeed.com/cmp/Smartlink,-LLC-(hq)",0.0,56.67,0.0,0.0,0.0,0.0,0.0
207,AVISPA LLC,http://www.indeed.com/cmp/Avispa-LLC,0.0,0.0,0.0,140000.0,133333.0,0.0,136667.0
