,comp_name,comp_rating_overall,comp_review_link,review_cons,review_pros,review_summary,review_votes
25,Providence Health & Services,3.2,http://www.indeed.com/cmp/Providence-Health-&-Services/reviews,l like this job,l never work in the health but to delivery is not a probleme with small trainig,fun workplace,3
26,The University of Texas Medical Branch,3.5,http://www.indeed.com/cmp/The-University-of-Texas-Medical-Branch/reviews,none,always learning something new. Great benefits.,Wonderful place to work at. Great benefits,11
27,Benaroya Research Institute,4.7,http://www.indeed.com/cmp/Benaroya-Research-Institute/reviews,,,a nice place to work,7
28,Department Of Veterans Affairs,4.0,http://www.indeed.com/cmp/Department-of-Veterans-Affairs/reviews,"Not challenging enough, time for career change","LOVED the Veteran's! Rewarding, Excellent Benefits",Working to Help our country's Veterans,19
29,Florida Hospital- Adventist Health System,3.2,http://www.indeed.com/cmp/Florida-Hospital---Adventist-Health-System/reviews,,,its really big,33
30,DreamWorks Animation,4.4,http://www.indeed.com/cmp/Dreamworks-Animation/reviews,,,Technically challenging and fun place to work.,6
31,Emdeon,3.4,http://www.indeed.com/cmp/Emdeon/reviews,,,Great company,3
32,Southwest Research Institute,4.4,http://www.indeed.com/cmp/Southwest-Research-Institute/reviews,,"Full gym, great retirement","Great place to work, very diverse range of projects",0
33,Booz Allen,3.9,http://www.indeed.com/cmp/Booz-Allen-Hamilton/reviews,quick staff turn-arounds,meeting new clients,Great place to work,2
34,Elevate,3.6,http://www.indeed.com/cmp/Elevate/reviews,"Fort Worth Location, Divide Between Business and IT, Artificial Crisis","Benefits, Compensation, People, Challenges",Good Opportunity to Grow,0
35,Keysight Technologies,4.1,http://www.indeed.com/cmp/Keysight-Technologies/reviews,"Management, Segregation, Unfairness, Setup for failure, No support, One minded",Great employees,"Great employees, worse management worked under.",0
36,Hart,3.9,http://www.indeed.com/cmp/Hart/reviews,,Great contact,Great Contracting Company,3
37,Peach State Health Plan,3.2,http://www.indeed.com/cmp/Peach-State-Health-Plan/reviews,,,productive and busy,0
38,Planet Pharma,3.0,http://www.indeed.com/cmp/Planet-Pharma/reviews,Paid biweekly on mondays,"Hands on Contact, respectful, caring",Great Temp Agency,9
39,NYC & Company,4.7,http://www.indeed.com/cmp/Nyc-&-Company/reviews,,,talented hard working people,4
40,St. Vincent Health,3.7,http://www.indeed.com/cmp/St.-Vincent-Health/reviews,,,Ok,0
41,Boston University,4.1,http://www.indeed.com/cmp/Boston-University/reviews,Boring,Stable,Stable and relatively relaxing for entry positions,0
42,MedImmune,3.6,"http://www.indeed.com/cmp/Medimmune,-Inc./reviews",,,Usually great work/life balance,0
43,QIAGEN,3.7,http://www.indeed.com/cmp/Qiagen/reviews,,"quality, reliability, reproducibility, strong peer collaboration",Great products with outstanding quality,0
44,Amec Foster Wheeler,3.9,http://www.indeed.com/cmp/Amec-Foster-Wheeler/reviews,"Mgt. are so busy, they sometimes fail to ""train"" the Company method(s).",Great Mgrs. They listened. Some really understood. All very knowledgeable.,"Great Company, wish I was still there! I could learned the rules.",0
45,University of Alaska,4.3,http://www.indeed.com/cmp/University-of-Alaska/reviews,Ethics of Management,"Flexible schedule, independence",Mis-informed,12
46,University of Rhode Island,4.1,http://www.indeed.com/cmp/University-of-Rhode-Island/reviews,if student can only work part time,flexible schedule,only place i have ever worked,0
47,NYU Langone Medical Center,4.1,http://www.indeed.com/cmp/Nyu-Langone-Medical-Center/reviews,no ot,fair pay vs work,Great staff,15
48,Sandia National Laboratories,4.5,http://www.indeed.com/cmp/Sandia-National-Laboratories/reviews,no cons,Was my own boss and lead on the project,Great place to work,0
49,Merck & Co.,4.1,http://www.indeed.com/cmp/Merck/reviews,No time to have fun,Highly productive,great job,0
50,Thomas Jefferson University and Hospitals,4.0,http://www.indeed.com/cmp/Thomas-Jefferson-University-and-Hospitals/reviews,being a temp,flexibility,Productive learning experience,0
51,Pacific Gas & Electric,3.9,http://www.indeed.com/cmp/Pacific-Gas-and-Electric-Company-(pg&E)/reviews,,,Productive and Positive Culture,0
52,Shire Pharmaceuticals Group,3.9,http://www.indeed.com/cmp/Shire/reviews,My department relocated to MA,Lots of recognition,Great place to work,0
53,MSD,4.1,http://www.indeed.com/cmp/Msd/reviews,short lunches and mandatory layoffs,theres always alot to do.,Good Learning Experience,2
54,DEPT OF HEALTH/MENTAL HYGIENE,4.7,http://www.indeed.com/cmp/Department-of-Mental-Health-and-Hygiene/reviews,assignment was too short,experience working in the epidemiology department,Enjoyed working is such a family oriented environment they were accepting,31
55,Pfizer Inc.,4.2,http://www.indeed.com/cmp/Pfizer-Inc./reviews,bonuses weren't great,long hrs,Great reputation and top company to work for,0
56,Intermountain Healthcare,4.1,http://www.indeed.com/cmp/Intermountain-Healthcare/reviews,"Horrible Supervisors, low pay, too much office Drama!",Great Physicians,Management makes it hard to stay,0
57,Dana-Farber Cancer Institute,4.1,http://www.indeed.com/cmp/Dana--farber-Cancer-Institute/reviews,,,Great Benefits,2
58,Deloitte,3.9,http://www.indeed.com/cmp/Deloitte/reviews,,great management,Productive workplace,2
59,Harlem Village Academies,3.7,http://www.indeed.com/cmp/Harlem-Village-Academies/reviews,weak professional development,"Student culture, autonomy for teaching",Nice Place to Work,15
60,American Engineering Testing Inc,4.5,http://www.indeed.com/cmp/American-Engineering-Testing-Inc/reviews,,,nice place to start,0
61,St John Macomb Hospital,4.4,http://www.indeed.com/cmp/St-John-Macomb-Hospital/reviews,,,Your average hospital/lab setup.,3
62,ADP,3.9,http://www.indeed.com/cmp/ADP/reviews,,,Productive and fun work environment,4
63,The Henry M. Jackson Foundation,5.0,http://www.indeed.com/cmp/The-Henry-M.-Jackson-Foundation/reviews,,,Great place to work and great coworkers!,0
64,St John Hospital & Medical Center,4.0,http://www.indeed.com/cmp/St-John-Hospital-&-Medical-Center/reviews,,,Tough to advance,13
65,IRI,3.4,http://www.indeed.com/cmp/Iri/reviews,"No hours, you don't matter to management",Pay is ok,It's an ok place,7
66,Westar Energy,3.7,http://www.indeed.com/cmp/Westar-Energy/reviews,management is bad,,Ok place to work if not for the rediculous management.,56
67,EBay,4.1,http://www.indeed.com/cmp/Ebay/reviews,no benefits,work on your own pace,Productive,0
68,Booz Allen Hamilton,3.9,http://www.indeed.com/cmp/Booz-Allen-Hamilton/reviews,quick staff turn-arounds,meeting new clients,Great place to work,2
69,Intel,4.3,http://www.indeed.com/cmp/Intel/reviews,,,Productive and fun workplace,1
70,Ace Group,3.0,http://www.indeed.com/cmp/Ace-Group/reviews,little room for growth; micro-managing,"interesting projects, compensation",Interesting work with fair work/life balance and good compensation,36
71,Abiomed,3.0,http://www.indeed.com/cmp/Abiomed/reviews,,,intersitn job,3
72,Airbnb,3.9,http://www.indeed.com/cmp/Airbnb/reviews,,,Always Changes,6
73,Gilead Sciences,3.8,http://www.indeed.com/cmp/Gilead-Sciences/reviews,,,Innovative,0
74,University of New Mexico,4.2,http://www.indeed.com/cmp/University-of-New-Mexico/reviews,,,Department of Landscape and Architecture is AWESOME!,3
75,UnitedHealth Group,3.7,http://www.indeed.com/cmp/UnitedHealth-Group/reviews,,,Summary,0
76,Department of Veterans Affairs,4.0,http://www.indeed.com/cmp/Department-of-Veterans-Affairs/reviews,"Not challenging enough, time for career change","LOVED the Veteran's! Rewarding, Excellent Benefits",Working to Help our country's Veterans,19
77,IM Flash,4.3,http://www.indeed.com/cmp/Im-Flash/reviews,"Implied expectations that you will live at work to get ahead, Lots of turn over and rearrangement of roles as company focus changes","Great compensation/benefits especially right out of university, great people, contribute to cutting edge semiconductor memory innovations.","Great compensation, poor work/life balance",5
78,CCMSI,3.2,http://www.indeed.com/cmp/Ccmsi/reviews,questionable job security,"Ample vacation, time off",Stable company to work for,0
79,Model Metrics,4.0,http://www.indeed.com/cmp/Model-Metrics/reviews,,,N/a,10
80,Microsoft,4.1,http://www.indeed.com/cmp/Microsoft/reviews,,,Great place to work,0
81,Google,4.4,http://www.indeed.com/cmp/Google/reviews,,,Really fun,5
82,AECOM,3.7,http://www.indeed.com/cmp/AECOM/reviews,not enough time with staff,clean company,great company have learned alot their where new company trying to make this work.,2
83,Datanomics,4.5,http://www.indeed.com/cmp/Datanomics/reviews,healthcare,free lunches,what i have learned.,0
84,Sharp Healthcare,4.3,http://www.indeed.com/cmp/Sharp-Healthcare/reviews,On call hours sometimes.,Working independently and with coworkers.,Best place I every worked,1
85,i3,3.6,http://www.indeed.com/cmp/I3-Pharma-Resourcing/reviews,distance for me,"great people, fun activities through out the year",Productive and fun place to work,1
86,Public Health Institute,4.3,http://www.indeed.com/cmp/Public-Health-Institute/reviews,,,"dedicated, caring to well being of employees",0
87,Adobe,4.2,http://www.indeed.com/cmp/Adobe/reviews,,,Internship: Good Benefits,0
88,National Renewable Energy Laboratory,3.3,http://www.indeed.com/cmp/National-Renewable-Energy-Laboratory/reviews,budget,"benefits, work-life balance, beautiful campus in Colorado, great mission",Great mission and friendly people,0
89,Amgen,4.1,http://www.indeed.com/cmp/Amgen/reviews,poor leadership and work life balance,had good benefits but those are being stripped away,exceptionally poor management and dysfunctional sales operations teams lead to very poor morale and strong distrust from the field teams,7
90,Honeywell,3.9,http://www.indeed.com/cmp/Honeywell/reviews,small raises,stability,"If you work hard enough, you can have a great career here looking back",3
91,Specific Media,3.5,http://www.indeed.com/cmp/Specific-Media/reviews,"abysmal management, lack of communication generally, and specifically regarding department goals, poor work/life balance, lack of corporate identity","terrific benefits, great people, good training, great hr department","Great People, Terrible Management",6
92,Kansas State University,4.5,http://www.indeed.com/cmp/Kansas-State-University/reviews,,,Great University,1
93,Kerry,3.4,http://www.indeed.com/cmp/Kerry/reviews,,,kerry,3
94,"Pandora Media, Inc.",3.9,"http://www.indeed.com/cmp/Pandora-Media,-Inc./reviews",Confusing balance between ad-ops and sales,"Free Snacks, Fun Environment",Productive & Fun workplace,6
95,Department Of Energy,4.0,http://www.indeed.com/cmp/Department-of-Energy/reviews,,,Productive environment,1
96,Biogen,4.2,http://www.indeed.com/cmp/Biogen/reviews,,,Great place to work,0
97,Exponent,3.7,http://www.indeed.com/cmp/Exponent/reviews,,,Interesting coworkers,0
98,Lockheed Martin,4.1,http://www.indeed.com/cmp/Lockheed-Martin/reviews,,,productive and fun,5
99,Elbit Systems of America,3.9,http://www.indeed.com/cmp/Elbit-Systems-of-America/reviews,,,excellent place to work,0
100,University of Washington Medical Center,4.2,http://www.indeed.com/cmp/University-of-Washington/reviews,,,Amazing to work with Disability Resources for Students at UW,0
101,BMS,3.8,http://www.indeed.com/cmp/Bms-Sales-Specialists/reviews,Placed into severance when they sold off Virology pipeline,Company Car,Good solid company,0
102,University of Arizona,4.4,http://www.indeed.com/cmp/University-of-Arizona/reviews,pay lower than expected,great group of co-workers,Nice long term work,0
103,Walmart eCommerce,3.5,http://www.indeed.com/cmp/Walmart-Ecommerce/reviews,,,Self-preservation in corporate sinkhole,3
104,SAIC,4.1,http://www.indeed.com/cmp/SAIC/reviews,"constant travel, worked fewer days","long hours, friendly work environment",Federal Contracting Quality Assurance,2
105,Intuit,4.1,http://www.indeed.com/cmp/Intuit/reviews,management,breaks,Very shady environment Concentrix,0
106,Artech Information System LLC,3.8,http://www.indeed.com/cmp/Artech-Information-Systems-L.l.c./reviews,time sheet online submission not automated,401k program but no matching,Artech is a gateway consulting company to IBM contractors,6
107,UCONN Health Center,3.4,http://www.indeed.com/cmp/Uconn-Health-Center/reviews,need efficiency,refers improvements,good place,3
108,Gladstone Institutes,4.0,http://www.indeed.com/cmp/Gladstone-Institutes/reviews,No compensation (although as a visiting student it wasn't expected),"Free coffee, incredible location",Stimulating and enjoyable work environment,0
109,Infogroup,3.1,http://www.indeed.com/cmp/Infogroup/reviews,,,Productive and fun workplace,1
110,"MedImmune, LLC",3.6,"http://www.indeed.com/cmp/Medimmune,-Inc./reviews",,,Usually great work/life balance,0
111,Children's Hospital of Philadelphia,4.2,http://www.indeed.com/cmp/Children's-Hospital-of-Philadelphia/reviews,,,Respiratory Student Clinical Experience,0
112,Shire,3.9,http://www.indeed.com/cmp/Shire/reviews,My department relocated to MA,Lots of recognition,Great place to work,0
113,Pacific Gas and Electric,3.9,http://www.indeed.com/cmp/Pacific-Gas-and-Electric-Company-(pg&E)/reviews,,,Productive and Positive Culture,0
114,Parsons Brinckerhoff,3.9,http://www.indeed.com/cmp/Parsons-Brinckerhoff/reviews,"Negative culture, cut throat management, vindictive leadership",Salaries and benefits start out as good.,Used to be great but no more,17
115,Nationwide Children's Hospital,4.2,http://www.indeed.com/cmp/Nationwide-Children's-Hospital/reviews,short breaks and I was put on contingent,good coworkers,I was very productive and enjoyed my profession.,0
116,Celgene Corporation,4.0,http://www.indeed.com/cmp/Celgene-Corporation/reviews,Hiring Freeze,Great team Environment,Office space was awesome - Management team were great listeners,0
117,Spectrum,3.7,http://www.indeed.com/cmp/Spectrum/reviews,No health care,Great management,Productive place to work,1
118,Colorado State University,4.4,http://www.indeed.com/cmp/Colorado-State-University/reviews,No advancement as a work-study,flexible schedule,Great place for students,1
119,Sealaska Corporation,4.5,http://www.indeed.com/cmp/Sealaska-Corporation/reviews,,,Good Company,5
120,"Fast Switch, Ltd.",4.5,http://www.indeed.com/cmp/Fast-Switch/reviews,was only a temporary job,People were great pay was great,Was a awesome place to work,27
121,Oak Ridge National Laboratory,4.4,http://www.indeed.com/cmp/Oak-Ridge-National-Laboratory/reviews,None,Flexible work schedules,Great place to work,0
122,Spectraforce Technologies Inc,4.3,http://www.indeed.com/cmp/Spectraforce-Technologies-Inc/reviews,Not Available,The two 15 minute breaks were bunched together.,Productive and busy Workplace,18
123,Pfizer,4.2,http://www.indeed.com/cmp/Pfizer-Inc./reviews,bonuses weren't great,long hrs,Great reputation and top company to work for,0
124,Alpha Consulting,3.8,http://www.indeed.com/cmp/Alpha-Consulting/reviews,,,productive,0
125,Mayo Clinic,4.3,http://www.indeed.com/cmp/Mayo-Clinic/reviews,,,Great Company,2
126,CSC,3.7,http://www.indeed.com/cmp/CSC/reviews,,,Hidden Gem within Professional Consulting Industry,1
127,Cornerstone Research,3.0,http://www.indeed.com/cmp/Cornerstone-Research/reviews,paying for parking,free breakfast and snacks,Fun place to work,3
128,Cognizant,4.0,http://www.indeed.com/cmp/Cognizant-Technology-Solutions/reviews,,,Fun,0
129,Eliza Corporation,3.8,http://www.indeed.com/cmp/Eliza-Corporation/reviews,,,THe fun part is that there is pingpong table to play there in spare time.,1
130,AT&T,3.9,http://www.indeed.com/cmp/AT&T/reviews,"erratic work schedule, lack of advancement, ever changing pay scale designed to pay less, no real sick days.","big stable company, 401k, paid vacations, medical benefits.",Big Corporation,3
131,SAS Institute,4.1,http://www.indeed.com/cmp/SAS-Institute/reviews,,,Very closed culture and lacking professional management/leadership,5
132,Spokeo,3.3,http://www.indeed.com/cmp/Spokeo/reviews,,,"Productive Fun place to work: Ping pong, Pool, lots of food, great PTO, great health benefits.",33
133,Commerce Bank,4.0,http://www.indeed.com/cmp/Commerce-Bank/reviews,,,Commerce Bank,2
134,Vencore,3.5,http://www.indeed.com/cmp/Vencore/reviews,,,Used to be a great place to work!,0
135,BNY Mellon,3.6,http://www.indeed.com/cmp/Bny-Mellon/reviews,Being layed off!,Working with such a great manager and team!,Productive and Team oriented.,4
136,Groupon,3.6,http://www.indeed.com/cmp/Groupon/reviews,,,"Great People, Poor Management",5
137,Autodesk,4.2,http://www.indeed.com/cmp/Autodesk/reviews,Insecure Job - Contractor,Great Work Environment,Budget Cuts,0
138,Cotiviti,3.2,http://www.indeed.com/cmp/Cotiviti/reviews,,,Nice place to work,1
139,INC Research,3.5,http://www.indeed.com/cmp/Inc-Research/reviews,Not a lot of job growth,"Benefits, including PTO",Stable Environment,1
140,Quest Diagnostics,3.8,http://www.indeed.com/cmp/Quest-Diagnostics/reviews,,,PRODUCTIVE AND FUN,4
141,JPMorgan Chase,3.9,http://www.indeed.com/cmp/JPMorgan-Chase/reviews,short staffed,working with the public,Enjoyed working with the public and assisting them with their banking issues.,1
142,Cumulus Media,3.3,http://www.indeed.com/cmp/Cumulus-Media/reviews,"Low Salary, Disrespectful to employees, only care about ratings.",Sorry.,Get Out While you Can,7
143,AIR FORCE,4.6,http://www.indeed.com/cmp/U.S.-Air-Force/reviews,,,The military was a great place to me to kick start my career.,2
144,Mesirow Financial,4.4,http://www.indeed.com/cmp/Mesirow-Financial/reviews,,,Excellent Place To Work,0
145,Marin Software,4.0,http://www.indeed.com/cmp/Marin-Software/reviews,,,Growing Pains,1
146,Lawrence Livermore National Laboratory,4.3,http://www.indeed.com/cmp/Lawrence-Livermore-National-Laboratory/reviews,,,Internship,0
147,Altair Engineering,4.4,http://www.indeed.com/cmp/Altair-Engineering/reviews,,,A great company,0
148,Ball Aerospace,3.8,http://www.indeed.com/cmp/Ball-Aerospace/reviews,,,Excellent employer,2
149,Robert Half Technology,3.7,http://www.indeed.com/cmp/Robert-Half-Technology/reviews,,,productive and very busy envirment,16
150,OGSystems,3.7,http://www.indeed.com/cmp/Ogsystems/reviews,"building is cold in the winter, hot in summer, not designed very well",good parking,supports various Government agencies,0
151,IBM,4.0,http://www.indeed.com/cmp/IBM/reviews,,,Field Customer Engineer,1
152,Workbridge Associates,3.4,http://www.indeed.com/cmp/Workbridge-Associates/reviews,,,n/a,0
153,The University of Pittsburgh,3.4,http://www.indeed.com/cmp/The-University-of-Pittsburgh/reviews,None,Educational benefits,Loved working in a department that gave back to the community.,2
154,Leidos,3.9,http://www.indeed.com/cmp/Leidos/reviews,,,Too much stress and work and not enough time,0
155,Capital One,3.9,http://www.indeed.com/cmp/Capital-One/reviews,"most branches short staffed & associates overworked & unappreciated, working saturdays","good benefits, associate discounts, good time off policy",very pro customer environment,3
156,University of Michigan,4.3,http://www.indeed.com/cmp/The-University-of-Michigan/reviews,Sorry management,Good benefits,No room for advancement,0
157,UT Health Science Center at San Antonio,3.5,http://www.indeed.com/cmp/Ut-Health-Science-Center-At-SAN-Antonio/reviews,Short lunches [just 30 mins],Great educational institution,Learned state and government policies and procedures,7
158,University of Washington,4.2,http://www.indeed.com/cmp/University-of-Washington/reviews,,,Amazing to work with Disability Resources for Students at UW,0
159,PepsiCo,3.8,http://www.indeed.com/cmp/PepsiCo/reviews,part-time employees have less benefits but hard work may compensate with full time position.,paid break time 30 min .,"always an active place, always a learnful experience, supportive co-workers, a place were they always prevent any type of injuries",22
160,Department Of Agriculture,4.1,http://www.indeed.com/cmp/Department-of-Agriculture/reviews,,,Government Career,7
161,University of California Berkeley,4.1,http://www.indeed.com/cmp/University-of-California-Berkeley/reviews,Very poor pay.,The work has been interesting. Management is knowlegable and Helpful.,Working as U.C.B. has been rewarding.,0
162,Reed Exhibitions,3.6,http://www.indeed.com/cmp/Reed-Exhibitions/reviews,,,"Interesting, fun, exciting convention atmosphere",0
163,U.S. Department of Labor,3.6,http://www.indeed.com/cmp/U.S.-Department-of-Labor/reviews,no upward mobility,learn safety ad health,Good Agency to work for,6
164,Center for Sustainable Energy,4.8,http://www.indeed.com/cmp/Center-For-Sustainable-Energy/reviews,,,Chemistry,0
165,P&G,4.1,http://www.indeed.com/cmp/Procter-&-Gamble/reviews,,,Great company but only if in Ohio at the headquarters.,0
166,Department Of Health And Human Services,4.0,http://www.indeed.com/cmp/Indian-Health-Service/reviews,Part-Time. Clients needs were great and all could not be filled within the allotted time.,"Very Challenging, but a pleasure to work within in the independent living of each client",This should be Habiliation Health Technician,5
167,"Expedia, Inc.",3.9,"http://www.indeed.com/cmp/Expedia,-Inc./reviews",,,Good,0
168,SDL,3.6,http://www.indeed.com/cmp/Sdl/reviews,"job work/life balance, compensation, advancement, training, job culture",people,Management and Workplace,11
169,Wells Fargo,3.8,http://www.indeed.com/cmp/Wells-Fargo/reviews,,great work culture- fun at work and great bonuses,Great Company,2
170,IDEXX Laboratories,3.6,http://www.indeed.com/cmp/Idexx-Laboratories/reviews,,,Great Place to work fun and open minded workers,5
171,Convey Health Solutions,3.3,http://www.indeed.com/cmp/Convey-Health-Solutions/reviews,"Everyone quits after the training, training is terrible",Meeting new people,If you need quick cash take the training and quit,8
172,Kforce,3.7,http://www.indeed.com/cmp/Kforce/reviews,,,Great work place,2
173,Penn Schoen Berland,4.0,http://www.indeed.com/cmp/Penn-Schoen-Berland/reviews,compensation packages seemed low; no 401k plan,great coworkers,Intelligent people passionate about research,0
174,Department of the Army,4.5,http://www.indeed.com/cmp/U.S.-Army/reviews,,,Excellent place to work,0
175,Eli Lilly,4.1,http://www.indeed.com/cmp/Eli-Lilly/reviews,"working outside in the rain and snow, job stability, limited access with doctors","building great relationships, health benefits, company vehicle plus parking, occasional luncheon, wireless internet card, cell phone reimbursement",Dynamic and compelling sales position that requires strong business acumen and high emotional intelligence,7
176,"Beckman Coulter, Inc.",3.6,"http://www.indeed.com/cmp/Beckman-Coulter,-Inc./reviews",I really don't have one.,Company is a good place to work for.,Great people,0
177,Digital Prospectors,4.7,http://www.indeed.com/cmp/Digital-Prospectors/reviews,'extra' benefits can be a curse if you are not personally accountable,"Wellness stipend, flex time, employee recognition",Awesome company to be a part of!,1
178,The Johns Hopkins Applied Physics Laboratory,3.9,http://www.indeed.com/cmp/Johns-Hopkins-University/applied-Physics-Lab/reviews,,,Apl,3
179,DSM,3.5,http://www.indeed.com/cmp/Dsm/reviews,Short of staff,Training was stressed and managmented very well,Use of my skills was appreicated,1
180,General Motors,4.1,http://www.indeed.com/cmp/GM/reviews,,,Fun Workplace!,3
181,Colorado Mental Health Institute at Pueblo,4.2,http://www.indeed.com/cmp/Colorado-Mental-Health-Institute-At-Pueblo/reviews,Financial constraints imposed by the state,Encouragement for innovation,The employees are very dedicated and kind,0
182,Diverse Lynx,4.5,http://www.indeed.com/cmp/Diverse-Lynx/reviews,,"good health insurance, long lunch breaks and coffee breaks",great learning place for interns,21
183,Department Of The Interior,4.1,http://www.indeed.com/cmp/Department-of-the-Interior/reviews,no benefits or permanent opportunity is lacking,being able to share nature with the public is great fun.,Wonderful opportunity,18
184,Central Bank,3.9,http://www.indeed.com/cmp/Central-Bank/reviews,,,Productive workplace,1
185,IGT,3.6,http://www.indeed.com/cmp/Igt/reviews,,,good place to work,1
186,Card Services,3.9,http://www.indeed.com/cmp/Card-Services/reviews,off days,Friendly coworkers,Nice bright and breakrooms,0
187,Canon USA,3.7,"http://www.indeed.com/cmp/Canon-U.s.a.,-Inc./reviews",,A variety of opportunities,Great place to learn or grow,1
188,Genentech,4.1,http://www.indeed.com/cmp/Genentech/reviews,,,Productive and Great Place to work,0
189,Array BioPharma,3.5,http://www.indeed.com/cmp/Array-Biopharma/reviews,,,mgmt team disfunctional,0
190,Kimble Companies,3.6,http://www.indeed.com/cmp/Kimble-Companies/reviews,"hourly wages, management, almost no time off, odor","outdoors, low supervision, equipment and experience learned","All outdoors, work weekends, work with very low supervision",4
191,McKinsey & Company,4.3,http://www.indeed.com/cmp/Mckinsey-&-Company/reviews,,,Good,1
192,Johns Hopkins University,4.1,http://www.indeed.com/cmp/Johns-Hopkins-University/reviews,"Alot of introverted work, tedious work, and requires alot of seating","Research and Great resources, Strong connections, Brilliant minds to work with",Productive and great place to research,0
193,Proteus Digital Health,3.9,http://www.indeed.com/cmp/Proteus-Digital-Health/reviews,,,great work place,0
194,American Chemical Society,3.9,http://www.indeed.com/cmp/American-Chemical-Society/reviews,,,Great employee benefits,0
195,Stanford University,4.3,http://www.indeed.com/cmp/Stanford-University/reviews,Pay,"Work/Life Balance, Benefits, Time off, Training",Great Company,1
196,Abbott Laboratories,4.2,http://www.indeed.com/cmp/Abbott-Laboratories/reviews,,,Best company to ever work for in Pharmaceuticals Product Division,4
197,Clark University,4.2,http://www.indeed.com/cmp/Clark-University/reviews,Could get slow at times,"Excellent co-workers, low-stress",Well-paced job with nice and competent co-workers,0
198,Baylor Scott & White Health,3.8,http://www.indeed.com/cmp/Baylor-Scott-&-White-Health/reviews,,,Ethics,0
199,Alcatel-Lucent,4.0,http://www.indeed.com/cmp/Alcatel/reviews,,,"Alcatel-Lucent, New York, NY",1
200,Environmental Defense Fund,4.1,http://www.indeed.com/cmp/Environmental-Defense-Fund/reviews,"long hours, hard work","freedome, benefits, great location, travel",Wonderful Company,3
