"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"4084","Pasadena","TX","77505-1699",-95.1501,29.6648,"Texas Chiropractic College Foundation Inc",24205,15205,NA,31665.87,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","0.43000000715255",0.23999999463558,68.2699966430664,"15.6300001144409","4.53999996185302","21.8999996185302","85.0100021362304","9.8100004196167",NA,"PrivacySuppressed",7.8
"3428","Glenside","PA","19038-3295",-75.1652,40.0919,"Arcadia University",16331,8548,7962,83924.41,"48907","NULL","36810","36810","NULL","NULL","24572",4,3,"3",2,"66","0","0","0","0","0","0","0","0.5969","0.5969","578","27","2400","0.73000001907348",0.01999999955296,81.8300018310547,"11.3100004196167","3.11999988555908","4.51999998092651","91.0999984741211","5.78000020980835",22000,"27000",4.9
"549","Los Angeles","CA","90020-1704",-118.2899,34.0662,"Dongguk University-Los Angeles",4819,1350,3983,32109.62,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","9","0.43000000715255",0.37999999523162,50.4000015258789,"3.64000010490417","22.1700000762939","35.7400016784668","55.0999984741211","15.6099996566772",NA,"PrivacySuppressed",4.4
"6653","Eden Prairie","MN","55344",-93.4416,44.865,"Empire Beauty School-Eden Prairie",8519,10075,NA,NA,"NULL","16232","NULL","NULL","15717","NULL","11846",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","50","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",8100,"11096",17.7
"3586","DuBois","PA","15801-2549",-78.7518,41.1269,"Pennsylvania State University-Penn State Dubois",9136,6633,7294,81964.64,"21299","NULL","13354","19960","NULL","15147","NULL",3,2,"3",1,"NULL","0","0","0","0","0","0","0","0.6488","0.8793","550","24","591","0.47999998927116",0.05000000074505,87.5999984741211,"7.34000015258789","2.23000001907348","3.47000002861023","93.4300003051757","6.78999996185302",21500,"27000",7.7
"3930","Houston","TX","77027",-95.4545,29.7287,"Vet Tech Institute of Houston",11566,2599,3967,36418.3,"18534","NULL","13570","13570","NULL","NULL","14546",2,2,"2",3,"NULL","0","0","0","0","0","0","0","0.6525","0.6525","NULL","NULL","196","0.81999999284744",0.17000000178813,55.3400001525879,"19.5499992370605","4.51999998092651","38.1800003051757","76.4899978637695","13.3500003814697",11164,"15939",11.5
"2586","New York","NY","10019",-73.9938,40.769,"American Academy McAllister Institute of Funeral Service",11549,3072,NA,40562.11,"17167","NULL","14498","14498","NULL","NULL","14451",2,2,"2",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","408","0.64999997615814",0.17000000178813,47.5800018310546,"32.9799995422363","5.23999977111816","20.8500003814697","68.6299972534179","15.3800001144409",7950,"13600",12.8
"5603","Lincoln","RI","02865",-71.4808,41.9362,"Lincoln Technical Institute-Lincoln",10720,4517,NA,28807.88,"NULL","26387","NULL","NULL","15395","NULL","22433",1,1,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","607","0.80000001192092",0.2199999988079,68.5899963378906,"19.8600006103515","3.15000009536743","9.34000015258789","85.2799987792968","8.76000022888183",8228,"9504",25.4
"4535","Arecibo","PR","00612",-66.7195,18.4742,"National University College-Arecibo",493,1398,2595,11230.67,"13413","NULL","6495","6495","NULL","NULL","8483",3,2,"2",3,"NULL","0","0","0","0","0","0","0","0.8571","0.7589","NULL","NULL","1646","0.69999998807907",0.18999999761581,80.1399993896484,"9.19999980926513","0.2199999988079","98.8300018310547","73.9599990844726","45.1699981689453",5500,"7533",11.4
"7015","Phoenix","AZ","85021",-112.1124,33.5741,"Sanford-Brown College-Phoenix",9527,2593,4181,NA,"22863","NULL","14245","14245","NULL","NULL","17025",2,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","291","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",9500,"9500",25.9
