,Member,State,Party,Chamber,Raised,Spent,Cash on Hand,Debts
24,"Bishop, Mike",Michigan,R,H,"$747,319","$201,520","$586,387","$31,871"
25,"Bishop, Rob",Utah,R,H,"$539,528","$281,655","$299,654","$43,859"
26,"Bishop, Sanford",Georgia,D,H,"$487,572","$423,898","$207,990",$0
27,"Black, Diane",Tennessee,R,H,"$698,388","$435,409","$1,329,794",$0
28,"Blackburn, Marsha",Tennessee,R,H,"$931,659","$572,257","$2,222,029","$7,402"
29,"Blum, Rod",Iowa,R,H,"$1,073,421","$82,571","$1,035,407","$610,000"
30,"Blumenauer, Earl",Oregon,D,H,"$712,621","$431,375","$936,294",$0
31,"Blumenthal, Richard",Connecticut,D,S,"$4,186,327","$957,232","$3,865,135",$0
32,"Blunt, Roy",Missouri,R,S,"$4,933,354","$2,103,736","$5,043,553","$103,758"
33,"Bonamici, Suzanne",Oregon,D,H,"$474,510","$279,822","$427,060","$150,000"
34,"Booker, Cory",New Jersey,D,S,"$900,087","$858,646","$888,420","$13,690"
35,"Boozman, John",Arkansas,R,S,"$1,869,438","$578,633","$1,559,406",$0
36,"Bordallo, Madeleine Z",Guam,D,S,"$50,457","$46,792","$24,498",$0
37,"Bost, Mike",Illinois,R,H,"$1,219,721","$509,197","$737,818","$33,500"
38,"Boustany, Charles W Jr",Louisiana,R,H,$0,$0,$0,$0
39,"Boxer, Barbara",California,D,S,$0,$0,$0,$0
40,"Boyle, Brendan",Pennsylvania,D,H,"$573,363","$259,838","$689,969",$0
41,"Brady, Kevin",Texas,R,H,"$1,802,632","$1,500,664","$960,256",$0
42,"Brady, Robert A",Pennsylvania,D,H,"$283,180","$233,145","$599,508",$0
43,"Brat, Dave",Virginia,R,H,"$497,629","$276,265","$281,783",$859
44,"Bridenstine, James",Oklahoma,R,H,"$474,865","$271,679","$573,491",$543
45,"Brooks, Mo",Alabama,R,H,"$237,687","$55,115","$997,008",$602
46,"Brooks, Susan",Indiana,R,H,"$825,527","$450,447","$1,221,741",$0
47,"Brown, Corrine",Florida,D,H,"$286,601","$218,376","$76,067","$20,475"
48,"Brown, Sherrod",Ohio,D,S,"$1,692,695","$1,005,307","$2,048,810",$0
49,"Brownley, Julia",California,D,H,"$1,573,943","$344,366","$1,504,956",$0
50,"Buchanan, Vernon",Florida,R,H,"$983,054","$249,572","$1,458,194",$0
51,"Buck, Kenneth R",Colorado,R,H,"$415,518","$270,362","$285,621",$0
52,"Bucshon, Larry",Indiana,R,H,"$471,223","$330,563","$445,928",$0
53,"Burgess, Michael",Texas,R,H,"$712,400","$548,036","$369,419",$0
54,"Burr, Richard",North Carolina,R,S,"$5,648,537","$1,098,685","$5,296,975",$0
55,"Bustos, Cheri",Illinois,D,H,"$1,804,612","$482,338","$1,457,381",$0
56,"Butterfield, G K",North Carolina,D,H,"$522,548","$383,995","$525,643",$0
57,"Byrne, Bradley",Alabama,R,H,"$820,038","$605,006","$466,630",$0
58,"Calvert, Ken",California,R,H,"$749,440","$348,730","$806,269","$2,370"
59,"Cantwell, Maria",Washington,D,S,"$559,695","$599,881","$737,872","$2,171,350"
60,"Capito, Shelley Moore",West Virginia,R,S,"$58,364","$208,419","$532,180",$0
61,"Capps, Lois",California,D,H,$0,$0,$0,$0
62,"Capuano, Michael E",Massachusetts,D,H,"$281,239","$245,872","$735,257",$0
63,"Cardenas, Tony",California,D,H,"$618,319","$629,979","$182,457","$7,716"
64,"Cardin, Ben",Maryland,D,S,"$239,794","$196,608","$734,121","$3,000"
65,"Carney, John",Delaware,D,H,"$241,346","$131,465","$649,505",$0
66,"Carper, Tom",Delaware,D,S,"$333,011","$346,562","$364,482",$0
67,"Carson, Andre",Indiana,D,H,"$514,873","$303,290","$896,793","$4,285"
68,"Carter, Buddy",Georgia,R,H,"$581,243","$366,207","$433,991","$500,000"
69,"Carter, John",Texas,R,H,"$513,382","$672,219","$439,241",$0
70,"Cartwright, Matt",Pennsylvania,D,H,"$447,087","$249,348","$650,812","$390,000"
71,"Casey, Bob",Pennsylvania,D,S,"$1,233,028","$563,985","$1,026,059",$0
72,"Cassidy, Bill",Louisiana,R,S,"$538,237","$405,116","$1,025,576","$4,731"
73,"Castor, Kathy",Florida,D,H,"$362,253","$177,845","$938,781",$0
74,"Castro, Joaquin",Texas,D,H,"$589,263","$551,762","$298,060",$0
75,"Chabot, Steve",Ohio,R,H,"$498,831","$229,830","$909,533",$0
76,"Chaffetz, Jason",Utah,R,H,"$777,245","$499,013","$587,609",$0
77,"Chu, Judy",California,D,H,"$541,893","$350,207","$1,879,594","$1,612"
78,"Cicilline, David",Rhode Island,D,H,"$708,232","$282,978","$548,141",$0
79,"Clark, Katherine",Massachusetts,D,H,"$674,186","$359,026","$618,821","$250,000"
80,"Clarke, Yvette D",New York,D,H,"$228,754","$274,618","$73,073","$77,748"
81,"Clawson, Curt",Florida,R,H,"$343,923","$172,413","$208,126","$3,825,000"
82,"Clay, William L Jr",Missouri,D,H,"$295,331","$189,134","$423,250",$0
83,"Cleaver, Emanuel",Missouri,D,H,"$442,241","$322,455","$193,219",$0
84,"Clyburn, James E",South Carolina,D,H,"$1,006,733","$1,021,662","$1,236,290",$936
85,"Coats, Dan",Indiana,R,S,$0,$0,$0,$0
86,"Cochran, Thad",Mississippi,R,S,"$519,149","$332,703","$7,623","$278,500"
87,"Coffman, Mike",Colorado,R,H,"$1,410,008","$361,483","$1,071,048",$0
88,"Cohen, Steve",Tennessee,D,H,"$268,739","$100,067","$786,508",$0
89,"Cole, Tom",Oklahoma,R,H,"$810,510","$281,919","$1,511,916",$0
90,"Coleman, Bonnie",New Jersey,D,H,"$434,716","$322,534","$119,825","$25,550"
91,"Collins, Chris",New York,R,H,"$523,699","$192,386","$942,106","$500,000"
92,"Collins, Doug",Georgia,R,H,"$451,975","$345,119","$397,480",$0
93,"Collins, Susan M",Maine,R,S,"$98,528","$136,249","$891,045",$0
94,"Comstock, Barbara",Virginia,R,H,"$1,917,138","$547,423","$1,430,703",$0
95,"Conaway, Mike",Texas,R,H,"$943,968","$890,305","$1,110,770",$0
96,"Connolly, Gerry",Virginia,D,H,"$952,291","$382,229","$1,979,226","$2,500"
97,"Conyers, John Jr",Michigan,D,H,"$282,048","$253,696","$36,344",$0
98,"Cook, Paul",California,R,H,"$492,402","$119,633","$908,991",$0
99,"Coons, Chris",Delaware,D,S,"$201,381","$293,550","$626,065",$0
100,"Cooper, Jim",Tennessee,D,H,"$254,382","$218,777","$891,145",$0
101,"Corker, Bob",Tennessee,R,S,"$350,865","$313,491","$5,714,500",$0
102,"Cornyn, John",Texas,R,S,"$484,637","$649,997","$2,746,422",$0
103,"Costa, Jim",California,D,H,"$765,723","$252,135","$1,131,595","$4,724"
104,"Costello, Ryan",Pennsylvania,R,H,"$1,102,699","$363,366","$861,492",$0
105,"Cotton, Tom",Arkansas,R,S,"$725,895","$787,734","$154,948","$332,607"
106,"Courtney, Joe",Connecticut,D,H,"$533,932","$272,185","$836,968",$0
107,"Cramer, Kevin",North Dakota,R,H,"$666,857","$226,097","$461,658",$0
108,"Crapo, Mike",Idaho,R,S,"$2,280,501","$1,143,540","$4,637,600",$0
109,"Crawford, Rick",Arkansas,R,H,"$396,385","$338,938","$455,477",$0
110,"Crenshaw, Ander ",Florida,R,H,"$905,882","$456,004","$462,981",$0
111,"Crowley, Joseph",New York,D,H,"$1,192,643","$1,584,033","$841,867",$0
112,"Cruz, Ted",Texas,R,S,$0,$0,$0,$0
113,"Cuellar, Henry",Texas,D,H,"$892,460","$393,324","$1,816,888",$0
114,"Culberson, John",Texas,R,H,"$633,450","$554,468","$139,515",$0
115,"Cummings, Elijah E",Maryland,D,H,"$566,277","$360,964","$1,095,970",$0
116,"Curbelo, Carlos",Florida,R,H,"$1,865,842","$355,356","$1,510,767","$27,250"
117,"Daines, Steven",Montana,R,S,"$272,728","$276,174","$855,673",$0
118,"Davis, Danny K",Illinois,D,H,"$244,851","$170,404","$329,749","$58,954"
119,"Davis, Rodney",Illinois,R,H,"$1,336,284","$500,209","$962,412",$0
120,"Davis, Susan A",California,D,H,"$175,258","$187,039","$230,022",$0
121,"DeFazio, Peter",Oregon,D,H,"$681,761","$329,182","$449,026",$0
122,"DeGette, Diana",Colorado,D,H,"$453,998","$411,552","$62,603",$0
123,"Delaney, John K",Maryland,D,H,"$745,270","$449,788","$319,985","$913,250"
124,"DeLauro, Rosa L",Connecticut,D,H,"$519,102","$466,536","$71,931",$0
125,"DelBene, Suzan",Washington,D,H,"$964,740","$376,178","$687,209","$495,000"
126,"Denham, Jeff",California,R,H,"$1,286,071","$312,452","$2,138,049","$12,762"
127,"Dent, Charlie",Pennsylvania,R,H,"$765,042","$465,336","$1,237,521",$0
128,"DeSantis, Ron",Florida,R,H,"$2,922,339","$1,050,199","$2,581,891","$236,774"
129,"Desaulnier, Mark",California,D,H,"$314,952","$178,080","$157,697",$0
130,"Desjarlais, Scott",Tennessee,R,H,"$332,611","$116,747","$240,802",$0
131,"Deutch, Ted",Florida,D,H,"$1,063,454","$533,107","$1,060,313",$0
132,"Diaz-Balart, Mario",Florida,R,H,"$629,832","$358,478","$906,719",$0
133,"Dingell, Debbie",Michigan,D,H,"$407,483","$351,603","$383,850",$0
134,"Doggett, Lloyd",Texas,D,H,"$478,268","$195,589","$3,324,289",$0
135,"Dold, Bob",Illinois,R,H,"$2,237,151","$938,808","$1,501,906","$138,701"
136,"Donnelly, Joe",Indiana,D,S,"$850,010","$324,683","$990,231",$0
137,"Donovan, Dan",New York,R,H,"$1,159,488","$819,831","$339,657",$0
138,"Doyle, Mike",Pennsylvania,D,H,"$339,253","$290,213","$259,571",$0
139,"Duckworth, Tammy",Illinois,D,H,"$5,682,889","$2,029,703","$3,653,185",$0
140,"Duffy, Sean P",Wisconsin,R,H,"$1,141,961","$737,511","$1,078,863",$0
141,"Duncan, Jeff",South Carolina,R,H,"$280,525","$279,485","$163,303",$0
142,"Duncan, John J Jr",Tennessee,R,H,"$163,106","$224,261","$1,025,374",$0
143,"Durbin, Dick",Illinois,D,S,"$477,206","$510,831","$708,390",$0
144,"Edwards, Donna",Maryland,D,H,"$2,166,226","$1,866,767","$299,459","$18,094"
145,"Ellison, Keith",Minnesota,D,H,"$1,028,206","$917,642","$273,312",$0
146,"Ellmers, Renee",North Carolina,R,H,"$891,176","$628,248","$415,073",$0
147,"Emmer, Tom",Minnesota,R,H,"$880,543","$667,921","$215,821",$0
148,"Engel, Eliot L",New York,D,H,"$343,589","$400,501","$217,074",$0
149,"Enzi, Mike",Wyoming,R,S,"$51,724","$218,848","$699,758",$0
150,"Ernst, Joni",Iowa,R,S,"$673,823","$767,145","$34,962",$0
151,"Eshoo, Anna",California,D,H,"$576,824","$470,055","$449,990",$0
152,"Esty, Elizabeth",Connecticut,D,H,"$913,467","$299,556","$661,239","$158,250"
153,"Farenthold, Blake",Texas,R,H,"$580,068","$564,794","$62,274","$42,781"
154,"Farr, Sam",California,D,H,"$212,350","$190,209","$130,853",$0
155,"Fattah, Chaka",Pennsylvania,D,H,"$166,335","$162,592","$7,673","$-1,785"
156,"Feinstein, Dianne",California,D,S,"$282,118","$73,912","$2,505,967",$0
157,"Fincher, Steve",Tennessee,R,H,"$509,604","$347,280","$2,706,654",$0
158,"Fischer, Deb",Nebraska,R,S,"$545,712","$200,459","$449,721",$0
159,"Fitzpatrick, Michael G",Pennsylvania,R,H,$0,$0,$0,$0
160,"Flake, Jeff",Arizona,R,S,"$436,475","$212,484","$333,596",$0
161,"Fleischmann, Chuck",Tennessee,R,H,"$1,113,444","$214,911","$931,895","$234,527"
162,"Fleming, John",Louisiana,R,H,"$1,081,337","$2,018,409","$4,948",$0
163,"Flores, Bill",Texas,R,H,"$933,827","$600,515","$483,561","$274,483"
164,"Forbes, Randy",Virginia,R,H,"$638,134","$423,578","$753,987",$0
165,"Fortenberry, Jeff",Nebraska,R,H,"$403,847","$142,583","$1,420,611",$0
166,"Foster, Bill",Illinois,D,H,"$1,316,506","$411,852","$1,933,094","$1,183,604"
167,"Foxx, Virginia",North Carolina,R,H,"$613,296","$226,857","$2,423,350",$0
168,"Frankel, Lois J",Florida,D,H,"$1,033,104","$347,242","$758,618",$0
169,"Franken, Al",Minnesota,D,S,"$1,497,909","$1,113,471","$682,358",$0
170,"Franks, Trent",Arizona,R,H,"$140,907","$62,013","$29,942","$121,100"
171,"Frelinghuysen, Rodney",New Jersey,R,H,"$843,099","$428,090","$562,770","$441,079"
172,"Fudge, Marcia L",Ohio,D,H,"$290,715","$312,194","$646,366",$0
173,"Gabbard, Tulsi",Hawaii,D,H,"$816,546","$354,454","$1,542,891",$0
174,"Gallego, Ruben",Arizona,D,H,"$542,009","$274,801","$291,371","$2,500"
175,"Garamendi, John",California,D,H,"$502,232","$264,522","$415,168",$840
176,"Gardner, Cory",Colorado,R,S,"$359,229","$564,913","$71,370",$0
177,"Garrett, Scott",New Jersey,R,H,"$727,557","$330,359","$2,378,619",$0
178,"Gibbs, Bob",Ohio,R,H,"$448,050","$92,582","$1,222,569","$10,000"
179,"Gibson, Chris",New York,R,H,$0,$0,$0,$0
180,"Gillibrand, Kirsten",New York,D,S,"$910,524","$500,300","$2,069,664",$0
181,"Gohmert, Louis B Jr",Texas,R,H,"$381,239","$366,823","$187,537",$0
182,"Goodlatte, Bob",Virginia,R,H,"$786,739","$578,092","$1,187,149",$0
183,"Gosar, Paul",Arizona,R,H,"$225,819","$81,718","$256,912",$0
184,"Gowdy, Trey",South Carolina,R,H,"$279,119","$350,952","$281,093",$0
185,"Graham, Gwen",Florida,D,H,"$2,031,962","$359,469","$1,704,859",$0
186,"Graham, Lindsey",South Carolina,R,S,"$104,564","$2,228,368","$271,187",$0
187,"Granger, Kay",Texas,R,H,"$712,668","$625,762","$203,369","$5,747"
188,"Grassley, Chuck",Iowa,R,S,"$3,463,658","$921,698","$4,380,608","$11,257"
189,"Graves, Garret",Louisiana,R,H,"$751,495","$563,524","$682,708",$0
190,"Graves, Sam",Missouri,R,H,"$710,395","$421,568","$683,309","$5,522"
191,"Graves, Tom",Georgia,R,H,"$597,123","$200,846","$685,040",$0
192,"Grayson, Alan",Florida,D,H,"$1,745,265","$1,579,072","$211,525","$2,560,993"
193,"Green, Al",Texas,D,H,"$380,329","$283,681","$226,700","$50,000"
194,"Green, Gene",Texas,D,H,"$1,027,209","$1,142,402","$1,067,931",$200
195,"Griffith, Morgan",Virginia,R,H,"$406,319","$419,387","$143,624",$0
196,"Grijalva, Raul M",Arizona,D,H,"$280,119","$197,381","$118,825","$13,748"
197,"Grisham, Michelle Lujan",New Mexico,D,H,"$934,228","$512,705","$604,975",$0
198,"Grothman, Glenn S",Wisconsin,R,H,"$420,609","$186,979","$237,139","$133,160"
199,"Guinta, Frank",New Hampshire,R,H,"$629,748","$281,351","$367,171","$355,000"
200,"Guthrie, Brett",Kentucky,R,H,"$801,722","$636,618","$1,532,622",$0
201,"Gutierrez, Luis V",Illinois,D,H,"$210,982","$213,490","$189,056",$0
202,"Hahn, Janice",California,D,H,$0,$0,$0,$0
203,"Hanna, Richard",New York,R,H,"$325,624","$162,572","$253,702","$194,000"
204,"Hardy, Cresent",Nevada,R,H,"$864,508","$257,780","$659,591","$57,500"
205,"Harper, Gregg",Mississippi,R,H,"$377,161","$370,613","$819,730",$0
206,"Harris, Andy",Maryland,R,H,"$617,501","$268,049","$647,050",$0
207,"Hartzler, Vicky",Missouri,R,H,"$474,296","$167,225","$659,908",$0
208,"Hastings, Alcee L",Florida,D,H,"$396,166","$280,029","$270,593",$0
209,"Hatch, Orrin G",Utah,R,S,"$1,292,657","$286,910","$1,808,454",$0
210,"Heck, Dennis",Washington,D,H,"$682,460","$316,829","$578,191","$325,000"
211,"Heck, Joe",Nevada,R,H,"$3,979,144","$1,117,208","$2,861,935",$0
212,"Heinrich, Martin",New Mexico,D,S,"$641,016","$204,305","$847,411",$0
213,"Heitkamp, Heidi",North Dakota,D,S,"$550,426","$301,659","$374,400",$0
214,"Heller, Dean",Nevada,R,S,"$968,808","$371,605","$919,629",$0
215,"Hensarling, Jeb",Texas,R,H,"$1,391,396","$1,825,421","$1,163,027",$0
216,"Herrera Beutler, Jaime",Washington,R,H,"$561,889","$417,956","$999,105","$2,200"
217,"Hice, Jody B",Georgia,R,H,"$280,091","$203,151","$79,382",$0
218,"Higgins, Brian M",New York,D,H,"$292,409","$221,501","$691,828",$0
219,"Hill, French",Arkansas,R,H,"$1,078,675","$614,579","$513,347",$0
220,"Himes, Jim",Connecticut,D,H,"$1,053,519","$353,044","$1,745,888",$0
221,"Hinojosa, Ruben",Texas,D,H,"$153,082","$117,614","$242,148",$0
222,"Hirono, Mazie K",Hawaii,D,S,"$516,260","$216,262","$507,752","$125,000"
223,"Hoeven, John",North Dakota,R,S,"$1,462,614","$333,985","$2,212,942","$100,000"
224,"Holding, George",North Carolina,R,H,"$849,132","$632,352","$238,762","$279,500"
225,"Honda, Mike",California,D,H,"$1,281,718","$730,456","$572,199","$22,507"
226,"Hoyer, Steny H",Maryland,D,H,"$1,772,148","$1,774,717","$800,466",$0
227,"Hudson, Richard",North Carolina,R,H,"$762,048","$587,633","$631,227",$0
228,"Huelskamp, Tim",Kansas,R,H,"$390,976","$102,612","$774,713","$5,375"
229,"Huffman, Jared",California,D,H,"$480,506","$418,393","$446,665","$1,160"
230,"Huizenga, Bill",Michigan,R,H,"$665,500","$596,006","$385,105",$0
231,"Hultgren, Randy",Illinois,R,H,"$639,281","$510,589","$409,553",$0
232,"Hunter, Duncan D",California,R,H,"$574,225","$425,006","$601,791",$0
233,"Hurd, Will",Texas,R,H,"$1,689,351","$676,606","$1,021,010",$0
234,"Hurt, Robert",Virginia,R,H,"$464,098","$380,535","$292,578",$0
235,"Inhofe, James M",Oklahoma,R,S,"$254,792","$177,163","$198,135",$0
236,"Isakson, Johnny",Georgia,R,S,"$4,723,448","$1,586,004","$5,568,918",$0
237,"Israel, Steve",New York,D,H,"$1,437,248","$1,180,439","$933,503",$0
238,"Issa, Darrell",California,R,H,"$515,518","$447,097","$3,818,444",$0
239,"Jackson Lee, Sheila",Texas,D,H,"$171,170","$197,651","$186,128",$0
240,"Jeffries, Hakeem",New York,D,H,"$849,869","$336,455","$1,021,778",$0
241,"Jenkins, Evan",West Virginia,R,H,"$653,095","$174,298","$485,355","$5,045"
242,"Jenkins, Lynn",Kansas,R,H,"$1,085,780","$352,923","$1,041,576",$0
243,"Johnson, Bill",Ohio,R,H,"$931,775","$340,787","$926,951",$0
244,"Johnson, Eddie Bernice",Texas,D,H,"$227,754","$168,124","$138,396",$0
245,"Johnson, Hank",Georgia,D,H,"$224,200","$174,211","$65,316","$6,211"
246,"Johnson, Ron",Wisconsin,R,S,"$6,283,618","$2,527,369","$4,362,226","$734,257"
247,"Johnson, Sam",Texas,R,H,"$577,571","$305,348","$777,940",$0
248,"Jolly, David",Florida,R,H,"$1,013,504","$727,400","$507,442","$12,435"
249,"Jones, Walter B Jr",North Carolina,R,H,"$265,082","$225,761","$164,796",$0
250,"Jordan, Jim",Ohio,R,H,"$416,783","$185,666","$1,234,354",$0
251,"Joyce, David P",Ohio,R,H,"$1,097,936","$591,970","$780,996","$25,000"
252,"Kaine, Tim",Virginia,D,S,"$1,930,585","$453,449","$2,058,211",$0
253,"Kaptur, Marcy",Ohio,D,H,"$378,568","$262,087","$485,725",$0
254,"Katko, John",New York,R,H,"$1,156,585","$264,471","$885,897",$0
255,"Keating, Bill",Massachusetts,D,H,"$552,859","$199,256","$400,140",$0
256,"Kelly, Mike",Pennsylvania,R,H,"$962,364","$482,538","$618,217","$277,995"
257,"Kelly, Robin",Illinois,D,H,"$547,751","$384,425","$285,392",$270
258,"Kelly, Trent",Mississippi,R,H,"$649,960","$490,322","$152,547",$0
259,"Kennedy, Joe III",Massachusetts,D,H,"$1,502,826","$804,346","$2,098,488",$0
260,"Kildee, Dan",Michigan,D,H,"$491,341","$335,037","$273,756",$0
261,"Kilmer, Derek",Washington,D,H,"$1,085,046","$431,499","$1,594,168",$0
262,"Kind, Ron",Wisconsin,D,H,"$1,101,452","$453,141","$2,107,641",$0
263,"King, Angus",Maine,I,S,"$179,713","$148,668","$89,174","$80,000"
264,"King, Pete",New York,R,H,"$455,279","$421,038","$2,946,085",$0
265,"King, Steven A",Iowa,R,H,"$397,547","$414,708","$118,909",$0
266,"Kinzinger, Adam",Illinois,R,H,"$996,081","$481,212","$1,181,508",$0
267,"Kirk, Mark",Illinois,R,S,"$4,941,865","$3,145,748","$3,802,261",$0
268,"Kirkpatrick, Ann",Arizona,D,H,"$1,870,146","$1,013,389","$856,755",$0
269,"Kline, John",Minnesota,R,H,"$639,339","$192,023","$563,098",$0
270,"Klobuchar, Amy",Minnesota,D,S,"$882,655","$676,730","$1,697,953",$0
271,"Knight, Steve",California,R,H,"$613,491","$211,146","$406,971","$18,403"
272,"Kuster, Ann Mclane",New Hampshire,D,H,"$1,603,328","$312,275","$1,321,247",$0
273,"Labrador, Raul",Idaho,R,H,"$211,653","$217,140","$364,711",$0
274,"LaHood, Darin",Illinois,R,H,"$1,592,221","$1,442,602","$149,619",$0
275,"LaMalfa, Doug",California,R,H,"$283,893","$156,900","$225,160","$5,665"
276,"Lamborn, Douglas L",Colorado,R,H,"$286,817","$111,656","$241,806",$0
277,"Lance, Leonard",New Jersey,R,H,"$415,430","$292,353","$441,550","$50,000"
278,"Langevin, Jim",Rhode Island,D,H,"$557,838","$296,315","$723,378","$29,495"
279,"Lankford, James",Oklahoma,R,S,"$1,378,397","$932,116","$769,574",$0
280,"Larsen, Rick",Washington,D,H,"$414,960","$337,375","$380,195",$0
281,"Larson, John B",Connecticut,D,H,"$754,947","$762,337","$416,681","$12,001"
282,"Latta, Robert E",Ohio,R,H,"$407,245","$323,982","$576,141",$0
283,"Lawrence, Brenda",Michigan,D,H,"$357,917","$297,545","$141,481",$0
284,"Leahy, Patrick",Vermont,D,S,"$2,211,272","$757,964","$2,729,479",$0
285,"Lee, Barbara",California,D,H,"$583,870","$552,259","$115,301","$8,803"
286,"Lee, Mike",Utah,R,S,"$2,273,606","$1,535,780","$1,105,090",$0
287,"Levin, Sander",Michigan,D,H,"$472,731","$431,643","$240,752",$0
288,"Lewis, John",Georgia,D,H,"$454,468","$527,420","$111,467",$0
289,"Lieu, Ted",California,D,H,"$911,059","$394,558","$637,264","$18,338"
290,"Lipinski, Daniel",Illinois,D,H,"$422,831","$292,102","$1,178,398",$0
291,"LoBiondo, Frank A",New Jersey,R,H,"$763,747","$372,792","$784,115","$29,614"
292,"Loebsack, David",Iowa,D,H,"$789,418","$263,110","$559,778",$0
293,"Lofgren, Zoe",California,D,H,"$717,412","$440,886","$1,327,829","$21,657"
294,"Long, Billy",Missouri,R,H,"$697,846","$560,599","$700,310",$0
295,"Loudermilk, Barry",Georgia,R,H,"$236,586","$261,308","$67,950",$0
296,"Love, Mia",Utah,R,H,"$1,891,419","$1,401,200","$781,031",$0
297,"Lowenthal, Alan",California,D,H,"$356,842","$209,025","$505,700","$1,909"
298,"Lowey, Nita M",New York,D,H,"$1,165,105","$539,000","$845,477",$0
299,"Lucas, Frank D",Oklahoma,R,H,"$648,598","$533,741","$401,874",$0
300,"Luetkemeyer, Blaine",Missouri,R,H,"$975,338","$338,282","$1,603,032","$1,050,000"
301,"Lujan, Ben R",New Mexico,D,H,"$878,123","$744,229","$670,580",$0
302,"Lummis, Cynthia",Wyoming,R,H,"$100,084","$54,084","$301,358",$0
303,"Lynch, Stephen F",Massachusetts,D,H,"$522,025","$278,775","$649,836",$0
304,"MacArthur, Thomas",New Jersey,R,H,"$761,883","$481,189","$285,079","$506,230"
305,"Maloney, Carolyn B",New York,D,H,"$849,674","$646,739","$679,886",$0
306,"Maloney, Sean Patrick",New York,D,H,"$1,982,322","$630,688","$1,457,596","$1,255"
307,"Manchin, Joe",West Virginia,D,S,"$299,107","$179,792","$1,553,061","$3,540"
308,"Marchant, Kenny",Texas,R,H,"$486,185","$224,956","$1,139,120",$0
309,"Marino, Tom",Pennsylvania,R,H,"$578,842","$338,355","$323,761","$1,935"
310,"Markey, Ed",Massachusetts,D,S,"$156,723","$370,821","$2,013,236",$0
311,"Massie, Thomas",Kentucky,R,H,"$230,359","$190,822","$241,810",$0
312,"Matsui, Doris O",California,D,H,"$546,413","$391,466","$430,181","$1,400"
313,"McCain, John",Arizona,R,S,"$5,589,142","$2,506,758","$5,101,560",$0
314,"McCarthy, Kevin",California,R,H,"$4,814,110","$2,739,613","$3,929,130","$10,000"
315,"McCaskill, Claire",Missouri,D,S,"$614,176","$220,752","$527,979",$0
316,"McCaul, Michael",Texas,R,H,"$941,401","$849,057","$154,006","$155,000"
317,"McClintock, Tom",California,R,H,"$520,352","$413,684","$323,766","$17,422"
318,"McCollum, Betty",Minnesota,D,H,"$422,504","$309,364","$284,302",$0
319,"McConnell, Mitch",Kentucky,R,S,"$876,126","$461,645","$412,722",$0
320,"McDermott, Jim",Washington,D,H,"$277,655","$195,568","$120,887",$0
321,"McGovern, James P",Massachusetts,D,H,"$461,610","$406,597","$428,660",$0
322,"McHenry, Patrick",North Carolina,R,H,"$1,566,957","$1,127,408","$1,279,756",$0
323,"McKinley, David",West Virginia,R,H,"$499,568","$319,769","$602,211","$415,000"
324,"McMorris Rodgers, Cathy",Washington,R,H,"$1,538,365","$1,330,291","$390,828","$109,253"
325,"McNerney, Jerry",California,D,H,"$535,252","$240,169","$442,096","$2,954"
326,"McSally, Martha",Arizona,R,H,"$3,832,661","$2,331,909","$1,969,358","$12,500"
