,Rank2015,Rank2014,CompanyName,Link,Tractors2015,StraightTrucks2015,PickupCargoVan2015,Trailers2015,AnnualSales_Billion
0,73.0,0.0,Energy Transfer Partners,,508.0,108.0,0.0,543.0,51.2
0,74.0,66.0,H.E.B. Grocery Co.,,505.0,9.0,0.0,2840.0,0
0,74.0,71.0,Oldcastle Inc.,,505.0,1732.0,0.0,1509.0,0
0,76.0,79.0,Shamrock Foods Co.,,504.0,60.0,75.0,757.0,0
0,77.0,0.0,Veolia North America,,489.0,1546.0,0.0,1231.0,0
0,78.0,75.0,Pepsi Bottling Ventures,,466.0,147.0,202.0,530.0,0
0,79.0,82.0,Ace Hardware Corp.,,450.0,0.0,0.0,1126.0,4.7
0,80.0,67.0,Foster Farms,,449.0,136.0,0.0,1089.0,0
0,80.0,0.0,SE Independent Delivery Services,,449.0,150.0,0.0,1126.0,0
0,82.0,84.0,Sentinel Transportation,,439.0,55.0,41.0,1168.0,0
0,83.0,71.0,Supervalu Inc.,,437.0,4.0,0.0,1807.0,17.8
0,83.0,81.0,Bimbo Bakeries USA,,437.0,4135.0,0.0,1365.0,0
0,83.0,85.0,The H.T. Hackney Co.,,437.0,172.0,0.0,593.0,0
0,86.0,77.0,Sherwin-Williams Co.,,436.0,1.0,0.0,1447.0,11.1
0,87.0,0.0,Coca-Cola Bottling Co. United,,426.0,231.0,0.0,465.0,0
0,88.0,74.0,Mohawk Industries,,420.0,138.0,0.0,2217.0,7.8
0,89.0,77.0,Sanderson Farms Inc.,,408.0,31.0,0.0,575.0,2.8
0,90.0,68.0,Patterson-UTI Energy Co.,,407.0,432.0,0.0,605.0,3.2
0,91.0,69.0,BlueLinx Holdings,,401.0,6.0,0.0,615.0,2
0,92.0,0.0,Hertz Equipment Rental,,397.0,745.0,0.0,431.0,1.6
0,93.0,94.0,Valley Proteins Inc.,,380.0,107.0,30.0,1033.0,0
0,94.0,0.0,KeHE Distributors,,375.0,0.0,0.0,575.0,0
0,95.0,87.0,Castellini Group,,373.0,0.0,0.0,530.0,0
0,96.0,83.0,Maines Paper & Food Service,,371.0,62.0,0.0,501.0,4
0,96.0,0.0,Ecolab Inc.,,371.0,576.0,0.0,369.0,14
0,98.0,86.0,J.R. Simplot Co.,,370.0,793.0,0.0,1444.0,0
0,98.0,90.0,AmeriGas Partners,,370.0,8775.0,0.0,1040.0,3.7
0,100.0,90.0,Nexeo Solutions,,369.0,3.0,0.0,643.0,4.5
