,Rank2015,Rank2014,CompanyName,Link,Revenue,NetIncome,Employees,Tractors,Trailers
0,77.0,72.0,Comcar Industries,http://www.ttnews.com/top100/companies/profile.aspx?co=comcar,315972.0,0.0,2409.0,1937.0,4226.0
0,78.0,77.0,Challenger Group,http://www.ttnews.com/top100/companies/profile.aspx?co=challenger,300130.0,0.0,1900.0,1640.0,3300.0
0,79.0,94.0,Koch Companies Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=koch,285000.0,0.0,980.0,839.0,4584.0
0,80.0,87.0,The Dependable Cos.,http://www.ttnews.com/top100/companies/profile.aspx?co=dependable,282000.0,0.0,1777.0,496.0,1130.0
0,81.0,88.0,John Christner Trucking,http://www.ttnews.com/top100/companies/profile.aspx?co=johnchristner,271104.0,15033.0,213.0,733.0,1184.0
0,82.0,69.0,Graebel Moving and Workplace Solutions,http://www.ttnews.com/top100/companies/profile.aspx?co=graebel,270000.0,0.0,2000.0,420.0,800.0
0,83.0,90.0,Trans-System Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=trans-system,262627.0,0.0,965.0,924.0,1463.0
0,84.0,94.0,Paschall Truck Lines,http://www.ttnews.com/top100/companies/profile.aspx?co=paschall,261211.0,0.0,0.0,1150.0,3000.0
0,85.0,89.0,Superior Bulk Logistics,http://www.ttnews.com/top100/companies/profile.aspx?co=superior,260200.0,7600.0,1416.0,1189.0,2099.0
0,86.0,100.0,Foodliner/Quest Liner,http://www.ttnews.com/top100/companies/profile.aspx?co=foodliner,249244.0,0.0,1083.0,1081.0,2096.0
0,87.0,91.0,Groendyke Transport Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=groendyke,241313.0,0.0,1423.0,975.0,1500.0
0,88.0,0.0,Black Horse Carriers,http://www.ttnews.com/top100/companies/profile.aspx?co=blackhorse,238000.0,0.0,1965.0,950.0,2800.0
0,89.0,0.0,Transport Investments Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=transportinvestments,237068.0,0.0,115.0,755.0,1101.0
0,90.0,0.0,Melton Truck Lines,http://www.ttnews.com/top100/companies/profile.aspx?co=melton,236000.0,0.0,1378.0,1107.0,1837.0
0,90.0,0.0,IMC Cos.,http://www.ttnews.com/top100/companies/profile.aspx?co=imc,236000.0,0.0,1522.0,1037.0,88.0
0,92.0,0.0,Dicom Transportation Group,http://www.ttnews.com/top100/companies/profile.aspx?co=dicom,230874.0,0.0,1200.0,812.0,450.0
0,93.0,97.0,Brown Integrated Logistics,http://www.ttnews.com/top100/companies/profile.aspx?co=brown,224655.0,0.0,1104.0,1047.0,5100.0
0,94.0,85.0,Fastfrate Group,http://www.ttnews.com/top100/companies/profile.aspx?co=fastfrate,222960.0,0.0,710.0,504.0,1371.0
0,95.0,96.0,A&R Logistics,http://www.ttnews.com/top100/companies/profile.aspx?co=arlogistics,222000.0,0.0,1100.0,750.0,1400.0
0,95.0,0.0,Martin Transportation Systems,http://www.ttnews.com/top100/companies/profile.aspx?co=martin,222000.0,0.0,1551.0,930.0,1800.0
0,97.0,93.0,Calyx Transportation Group,http://www.ttnews.com/top100/companies/profile.aspx?co=calyx,218198.0,0.0,0.0,500.0,750.0
0,98.0,0.0,Navajo Express,http://www.ttnews.com/top100/companies/profile.aspx?co=navajo,218000.0,0.0,1300.0,1000.0,1800.0
0,99.0,0.0,Central Freight Lines,http://www.ttnews.com/top100/companies/profile.aspx?co=centralfreight,214000.0,0.0,0.0,1448.0,6648.0
0,100.0,95.0,Wheaton World Wide Moving,http://www.ttnews.com/top100/companies/profile.aspx?co=wheaton,210527.0,6945.0,180.0,717.0,1075.0
0,,,,,,,,,
