Miss 25ft jumper 8:41 in 3rd Qtr.,400828096267,false,Otto Porter Jr.,2594922,3,h,1,83,400828096
Made 26ft 3-pointer 8:36 in 3rd Qtr.,400828096269,true,John Wall,4237,3,h,11,66,400828096
Miss 2ft jumper 8:21 in 3rd Qtr.,400828096270,false,Ian Mahinmi,2774,3,a,23,6,400828096
Miss 26ft jumper 8:14 in 3rd Qtr.,400828096272,false,Jared Dudley,3201,3,h,38,66,400828096
Made 26ft 3-pointer 8:06 in 3rd Qtr.,400828096274,true,Paul George,4251,3,a,51,10,400828096
Made 20ft jumper 7:45 in 3rd Qtr.,400828096280,true,C.J. Miles,2778,3,a,35,23,400828096
Miss 1ft jumper 7:28 in 3rd Qtr.,400828096281,false,Bradley Beal,6580,3,h,26,88,400828096
Made 0ft jumper 7:13 in 3rd Qtr.,400828096290,true,Monta Ellis,2751,3,a,25,6,400828096
Miss 2ft jumper 6:48 in 3rd Qtr.,400828096294,false,Marcin Gortat,2758,3,h,23,88,400828096
Miss 4ft jumper 6:45 in 3rd Qtr.,400828096296,false,Marcin Gortat,2758,3,h,22,90,400828096
Miss 21ft jumper 6:37 in 3rd Qtr.,400828096298,false,Paul George,4251,3,a,25,27,400828096
Miss 24ft jumper 6:28 in 3rd Qtr.,400828096300,false,Bradley Beal,6580,3,h,1,86,400828096
Miss 27ft jumper 6:03 in 3rd Qtr.,400828096302,false,C.J. Miles,2778,3,a,42,27,400828096
Miss 1ft jumper 5:35 in 3rd Qtr.,400828096318,false,John Wall,4237,3,h,25,87,400828096
Made 2ft jumper 5:31 in 3rd Qtr.,400828096320,true,Marcin Gortat,2758,3,h,23,88,400828096
Made 30ft 3-pointer 5:09 in 3rd Qtr.,400828096321,true,C.J. Miles,2778,3,a,10,32,400828096
Miss 26ft jumper 5:01 in 3rd Qtr.,400828096322,false,Jared Dudley,3201,3,h,44,70,400828096
Miss 6ft jumper 4:37 in 3rd Qtr.,400828096325,false,Bradley Beal,6580,3,h,25,82,400828096
Miss 18ft jumper 4:31 in 3rd Qtr.,400828096327,false,Monta Ellis,2751,3,a,11,18,400828096
Made 5ft jumper 4:24 in 3rd Qtr.,400828096336,true,Garrett Temple,4023,3,h,20,88,400828096
Miss 6ft jumper 3:43 in 3rd Qtr.,400828096346,false,Marcin Gortat,2758,3,h,26,82,400828096
Made 15ft jumper 3:33 in 3rd Qtr.,400828096348,true,Paul George,4251,3,a,12,13,400828096
Made 1ft jumper 3:15 in 3rd Qtr.,400828096349,true,Jared Dudley,3201,3,h,24,89,400828096
Made 21ft jumper 3:00 in 3rd Qtr.,400828096350,true,Monta Ellis,2751,3,a,9,20,400828096
Made 5ft jumper 2:45 in 3rd Qtr.,400828096351,true,Marcin Gortat,2758,3,h,30,88,400828096
Made 28ft 3-pointer 2:20 in 3rd Qtr.,400828096355,true,Paul George,4251,3,a,39,30,400828096
Miss 26ft jumper 1:30 in 3rd Qtr.,400828096366,false,Garrett Temple,4023,3,h,8,68,400828096
Miss 27ft jumper 0:39 in 3rd Qtr.,400828096380,false,Rodney Stuckey,3235,3,a,42,27,400828096
Miss 13ft jumper 0:36 in 3rd Qtr.,400828096382,false,Lavoy Allen,6424,3,a,12,7,400828096
Miss 30ft jumper 0:22 in 3rd Qtr.,400828096384,false,Gary Neal,4300,3,h,9,63,400828096
Miss 27ft jumper 0:00 in 3rd Qtr.,400828096386,false,Paul George,4251,3,a,24,33,400828096
Miss 1ft jumper 0:00 in 3rd Qtr.,400828096388,false,Lavoy Allen,6424,3,a,25,5,400828096
Made 1ft jumper 11:36 in 4th Qtr.,400828096398,true,George Hill,3438,4,a,24,6,400828096
Miss 21ft jumper 11:22 in 4th Qtr.,400828096399,false,Bradley Beal,6580,4,h,33,69,400828096
Miss 16ft jumper 11:04 in 4th Qtr.,400828096401,false,Rodney Stuckey,3235,4,a,11,14,400828096
Miss 25ft jumper 10:55 in 4th Qtr.,400828096403,false,Kris Humphries,2433,4,h,35,65,400828096
Miss 15ft jumper 10:33 in 4th Qtr.,400828096405,false,Jordan Hill,3994,4,a,22,21,400828096
Miss 2ft jumper 10:30 in 4th Qtr.,400828096407,false,George Hill,3438,4,a,26,4,400828096
Miss 18ft jumper 10:11 in 4th Qtr.,400828096412,false,Lavoy Allen,6424,4,a,21,24,400828096
Made 0ft jumper 9:56 in 4th Qtr.,400828096414,true,Nene Hilario,1713,4,h,25,88,400828096
Made 1ft jumper 9:48 in 4th Qtr.,400828096415,true,George Hill,3438,4,a,24,5,400828096
Made 4ft jumper 9:33 in 4th Qtr.,400828096417,true,Chase Budinger,3968,4,a,22,8,400828096
Made 11ft jumper 9:02 in 4th Qtr.,400828096426,true,Jordan Hill,3994,4,a,35,11,400828096
Miss 12ft jumper 8:18 in 4th Qtr.,400828096434,false,Bradley Beal,6580,4,h,28,76,400828096
Miss 28ft jumper 7:50 in 4th Qtr.,400828096444,false,George Hill,3438,4,a,45,25,400828096
Miss 26ft jumper 7:24 in 4th Qtr.,400828096449,false,Bradley Beal,6580,4,h,46,72,400828096
Made 27ft 3-pointer 7:15 in 4th Qtr.,400828096451,true,Paul George,4251,4,a,12,30,400828096
Made 28ft 3-pointer 6:58 in 4th Qtr.,400828096452,true,Gary Neal,4300,4,h,12,63,400828096
Miss 1ft jumper 6:43 in 4th Qtr.,400828096453,false,C.J. Miles,2778,4,a,25,7,400828096
Miss 6ft jumper 6:37 in 4th Qtr.,400828096455,false,Gary Neal,4300,4,h,28,83,400828096
Miss 21ft jumper 6:33 in 4th Qtr.,400828096457,false,Bradley Beal,6580,4,h,23,67,400828096
Made 13ft jumper 6:15 in 4th Qtr.,400828096460,true,Paul George,4251,4,a,31,17,400828096
Made 17ft jumper 6:01 in 4th Qtr.,400828096461,true,John Wall,4237,4,h,33,73,400828096
